m_chi_GeV,delta_keV,f_band_216_280_eff,percentile_248_eff,percentile_216_eff,f_above_248_eff
100,0,4.648613505827224e-06,0.9999998778780018,0.9999953474063605,1.221219981806243e-07
100,100,6.297773121787362e-06,0.9999999789525883,0.9999937022268786,2.104741170239066e-08
100,200,0.0,1.0000000000000002,1.0000000000000002,-2.220446049250313e-16
200,0,4.578249137230832e-05,0.9999980173135613,0.9999540993195689,1.982686438695147e-06
200,100,0.00021252408337820827,0.9999910909271812,0.9997869496754673,8.909072818807928e-06
200,200,0.00590313532106192,0.9997761376940923,0.9940843914053147,0.00022386230590765166
400,0,9.571993535993982e-05,0.9999952839545193,0.9999039629398068,4.7160454806904895e-06
400,25,0.0001049498636126094,0.9999948556739763,0.9998947041265426,5.144326023720502e-06
400,50,0.00014935907189263971,0.9999926988880102,0.9998501485689102,7.301111989765907e-06
400,75,0.0002504188017987886,0.9999877596888193,0.999748751312946,1.2240311180744534e-05
400,100,0.0004659261380940952,0.9999771559882644,0.9995325136733715,2.2844011735578817e-05
400,125,0.0009310745241838739,0.999954124994451,0.9990657589162272,4.587500554897872e-05
400,150,0.001970673024874639,0.9999020478448737,0.9980224842484731,9.795215512631295e-05
400,175,0.004411090600005667,0.9997785531072025,0.9955731698581651,0.0002214468927974611
400,200,0.010290664693103423,0.9994764742274335,0.9896714049371453,0.0005235257725665354
400,225,0.0228436583842921,0.9988197489234464,0.9770687091420587,0.0011802510765536178
400,250,0.03961467402350041,0.9979127667623979,0.9602253695385262,0.002087233237602071
400,275,0.05320996069091193,0.9971239280621423,0.946558933668423,0.0028760719378576605
400,300,0.07773555065529654,0.9956232778474048,0.9218803102332593,0.004376722152595214
400,310,0.1021081249672495,0.9940734733061715,0.8973353255731372,0.005926526693828538
400,320,0.1526044204465877,0.9906166740171277,0.8464057996459761,0.009383325982872281
400,325,0.19826547963419566,0.9871030931505035,0.800230204605144,0.012896906849496514
400,330,0.26500570102449694,0.9810950201825064,0.7323816461822181,0.018904979817493617
400,340,0.454671952862557,0.9360080257097152,0.531591907821031,0.0639919742902848
400,350,0.894579721287389,0.00996876754489913,0.0,0.9900312324551008
1000,0,0.00013467234334912928,0.9999929679600172,0.9998648299247349,7.032039982757254e-06
1000,25,0.0001495555069682877,0.9999922166883102,0.9998498927825656,7.783311689824046e-06
1000,50,0.00021365951356576836,0.9999888903731353,0.999785549750289,1.1109626864680422e-05
1000,75,0.00035778843552490916,0.9999813620684164,0.9996408768411712,1.8637931583631584e-05
1000,100,0.0006614331537429148,0.9999653914637241,0.9993360668191105,3.46085362759041e-05
1000,125,0.0013040809787420624,0.9999312497030283,0.9986908920375596,6.87502969717313e-05
1000,150,0.0026941049061602286,0.9998564035449391,0.9972952406951477,0.00014359645506090146
1000,175,0.005762292417928889,0.9996884259100487,0.9942141846233327,0.0003115740899513053
1000,200,0.012471035541257593,0.9993131985422342,0.987476004459452,0.0006868014577657844
1000,225,0.025372244945428155,0.9985716331198697,0.9745146273695032,0.0014283668801302607
1000,250,0.04291956726875442,0.9975128283646517,0.9568772189899191,0.0024871716353482842
1000,275,0.058547067426533594,0.9964830207350369,0.9411536687354717,0.0035169792649630827
1000,300,0.07521358476989387,0.995244827913647,0.9243587853199712,0.00475517208635301
1000,310,0.08565278433224768,0.9944373328870769,0.9138310529658351,0.005562667112923081
1000,320,0.10092272149490152,0.9932150281215804,0.8984259612583089,0.006784971878419643
1000,325,0.11134857368446487,0.9923522444473462,0.8878989217381378,0.0076477555526538454
1000,330,0.12446780128935678,0.9912394641231027,0.8746490408360054,0.00876053587689729
1000,340,0.16286440421374976,0.9877719910300389,0.8358253662998664,0.012228008969961124
1000,350,0.22971794039109505,0.9809897537623503,0.768058595991355,0.019010246237649686
1000,360,0.3518735384854762,0.9654518781900758,0.6435017328284454,0.03454812180992417
1000,370,0.5617929749089776,0.9200321622728913,0.4247803619506275,0.07996783772710869
1000,375,0.6813197730974812,0.8617640971620142,0.29096621630860814,0.1382359028379858
1000,380,0.7665036685916103,0.7411932227698586,0.16843120499008163,0.25880677723014145
1000,390,0.7190812520186606,0.1352912917905905,0.0,0.8647087082094095
1000,400,0.5194868997505954,0.0,0.0,1.0
4000,0,0.00015565126597267865,0.9999916721880464,0.9998437467121004,8.327811953590114e-06
4000,25,0.0001737931265338575,0.9999907261114152,0.9998255352365663,9.273888584848677e-06
4000,50,0.0002486370271343573,0.9999867355301583,0.9997503980932216,1.3264469841733906e-05
4000,75,0.0004157961314155149,0.9999777656851292,0.9995825760135204,2.223431487080596e-05
4000,100,0.0007655695600916,0.9999588469957287,0.9992313894287417,4.1153004271321514e-05
4000,125,0.001499500169982209,0.9999187083713679,0.9984944196551885,8.129162863212969e-05
4000,150,0.0030615621247875426,0.9998321117806245,0.99692569860115,0.00016788821937552267
4000,175,0.006418938787137428,0.9996427007478287,0.9935534546423043,0.00035729925217131697
4000,200,0.013459991186989147,0.9992361624832655,0.9864797249456714,0.000763837516734478
4000,225,0.026438576503647802,0.9984650044169581,0.9734371055721667,0.0015349955830419315
4000,250,0.04393943734450157,0.9973731490058382,0.955841245066606,0.0026268509941618223
4000,275,0.06012594261753347,0.9962727615609388,0.9395511661700388,0.003727238439061198
4000,300,0.07559897655314762,0.9950854361327447,0.9239535623858065,0.004914563867255306
4000,310,0.08377384675527308,0.9944156250403982,0.9157056101666278,0.0055843749596018455
4000,320,0.09472806078329393,0.9935078449976114,0.9046489288906,0.006492155002388644
4000,325,0.10168458953849283,0.9929096548154299,0.8976250859925793,0.007090345184570079
4000,330,0.11003352848076345,0.9921882218471088,0.8891922758278468,0.007811778152891247
4000,340,0.132293567886977,0.9901842357763108,0.8666935712383658,0.009815764223689238
4000,350,0.16614923577937382,0.9869457193863042,0.8324342872385158,0.013054280613695846
4000,360,0.21947669023718433,0.9813334535320832,0.7783631587199725,0.018666546467916767
4000,370,0.3068460437585434,0.9705075171688093,0.689420070975506,0.02949248283119066
4000,375,0.3716317437347175,0.9611348158464819,0.6231556931334874,0.03886518415351814
4000,380,0.45287273284402646,0.9466442447375453,0.5394417651008195,0.05335575526245473
4000,390,0.667500538811428,0.8828688165831082,0.3118201372271119,0.11713118341689177
4000,400,0.8219435899333813,0.673050478026263,0.09699674862450663,0.32694952197373695
