m_chi_GeV,dmax_E216_June_vesc544,dmax_E248_June_vesc544,dmax_E280_June_vesc544,dabs_June_vesc544,dmax_E216_avg_vesc544,dmax_E248_avg_vesc544,dmax_E280_avg_vesc544,dabs_avg_vesc544,dmax_E216_Dec_vesc544,dmax_E248_Dec_vesc544,dmax_E280_Dec_vesc544,dabs_Dec_vesc544,dmax_E216_June_vesc500,dmax_E248_June_vesc500,dmax_E280_June_vesc500,dabs_June_vesc500,dmax_E216_June_vesc600,dmax_E248_June_vesc600,dmax_E280_June_vesc600,dabs_June_vesc600
39.99999999999999,-256.30387021169105,-341.8310961915682,-430.1406629457916,109.79886305662166,-267.4766513155552,-353.80291830208904,-442.8614338224737,105.88089551224799,-278.98122885532206,-366.13026585167506,-455.9599715594909,101.92095709163478,-290.0513331798495,-377.9920680731752,-468.56383978032096,98.18181410291737,-213.35255370676208,-295.8080410695229,-381.23843788366315,125.52340324691198
40.79210639517529,-243.4706480459746,-327.09665592722695,-413.50500458282573,111.42963011149914,-254.64342914983874,-339.0684780377478,-426.22577545950793,107.45347168777046,-266.1480066896056,-351.39582558733383,-439.32431319652505,103.4347190232215,-277.21811101413306,-363.25762780883394,-451.9281814173552,99.640041113379,-200.51933154104563,-281.0736008051817,-364.60277952069737,127.3877160907126
41.59989860388251,-230.88662304722234,-312.64833092865956,-397.1923795844432,113.07646542227953,-242.05940415108648,-324.6201530391805,-409.9131504611254,109.0415427534672,-253.56398169085332,-336.9475005887665,-423.0116881981425,104.96339633712485,-264.63408601538083,-348.8093028102666,-435.61555641897263,101.11263631008681,-187.93530654229338,-266.62527580661435,-348.29015452231477,129.27039836119968
42.423687246951985,-218.54695627263206,-298.48056537264847,-381.1965152470113,114.73928636447233,-229.7197373764962,-310.4523874831694,-393.91728612369343,110.64502903314846,-241.22431491626304,-322.7797350327554,-407.0158238607106,106.50691233703925,-252.29441924079055,-334.6415372542555,-419.61969208154073,102.59952581046919,-175.5956397677031,-252.45751025060326,-332.29429018488287,131.17135560104506
43.26378909633265,-206.44690274261916,-284.58791131967075,-365.5112606710686,116.4180024961439,-217.6196838464833,-296.5597334301916,-378.2320315477508,112.26384331213222,-229.12426138625014,-308.8870809797777,-391.33056928476793,108.06518307010596,-240.19436571077762,-320.74888320127775,-403.93443750559805,104.10062874162021,-163.49558623769016,-238.56485619762552,-316.6090356089402,133.090484415924
44.12052719690066,-194.58180961622506,-270.96502661899603,-350.13058439611336,118.11251546842234,-205.75459072008923,-282.9368487295169,-362.8513552727955,113.8978907509426,-217.25916825985607,-295.2641962791029,-375.9498930098127,109.63811724383915,-228.32927258438355,-307.12599850060303,-388.5537612306428,105.6158571602736,-151.6304931112961,-224.9419714969508,-301.22835933398494,135.02767237220314
44.99423099067991,-182.94711440195962,-257.606672854469,-335.04857208132483,119.82271894231125,-194.11989550582376,-269.57849496498994,-347.769342958007,115.5470688050918,-205.6244730455906,-281.90584251457597,-360.86788069502416,111.22561614890803,-216.6945773701181,-293.7676447360761,-373.4717489158542,107.14511597841762,-139.99579789703063,-211.58361773242382,-286.1463470191964,136.98279790184117
45.88523644352271,-171.53834320338112,-244.50771333017525,-320.2594242313158,121.54849851210498,-182.71112430724529,-256.4795354406961,-332.980195107998,117.21126715122834,-194.21570184701213,-268.80688299028213,-346.0787328450151,112.82757358804709,-205.2858061715396,-280.66868521178225,-358.68260106584523,108.6883028948133,-128.58702669845215,-198.48465820813,-271.35719916918737,138.95573021483594
46.79388617429881,-160.35110899874817,-231.66311109522624,-305.75745396605066,123.28973163569285,-171.5238901026123,-243.6349332057471,-318.47822484273286,118.89036761992809,-183.02846764237916,-255.96228075533313,-331.57676257975,114.44387581136077,-194.09857196690663,-267.82408297683327,-344.1806308005801,110.24530833267276,-117.39979249381918,-185.640055973181,-256.85522890392224,140.94632921954775
47.72052958664299,-149.3811099540737,-219.06792700689635,-291.53708483406535,125.04628757203557,-160.55389105793785,-231.03974911741724,-304.25785571074755,120.58424413540178,-172.0584685977047,-243.36709666700327,-317.3563934477647,116.07440145828592,-183.1285729222322,-255.22889888850338,-329.9602616685948,111.81601538375071,-106.42979344914473,-173.04487188485112,-242.63485977193696,142.95444545122135
48.665523003311264,-138.62412776894044,-206.717317831373,-277.5928486681518,126.81802732608983,-149.7969088728046,-218.6891399418939,-290.313619544834,122.29276266238485,-161.30148641257145,-231.01648749147992,-303.41215728185114,117.7190215064679,-172.37159073709893,-242.87828971298003,-316.01602550268126,113.40029975909619,-95.67281126401147,-160.69426270932777,-228.69062360602342,144.979920009023
49.6292298031981,-128.07602605443245,-194.6065343813823,-263.9193834826785,128.6048036014514,-139.24880715829661,-206.57835649190318,-276.6401543593607,124.0157811604704,-150.75338469806343,-218.9057040414892,-289.7386920963778,119.37759922780157,-161.82348902259093,-230.76750626298931,-302.3425603172079,114.99802974670624,-85.12470954950346,-148.58347925933705,-215.0171584205501,147.02258450190183
50.612020561066544,-117.73274874256941,-182.73091968998386,-250.5114314117449,130.40646076097738,-128.90552984643355,-194.70274180050475,-263.23220228842706,125.75314954613656,-140.4101073862004,-207.03008935009078,-276.33074002544424,121.04999015187869,-151.4802117107279,-218.8918915715909,-288.9346082462743,116.60906617631433,-74.78143223764043,-136.70786456793863,-201.60920634961647,149.08226100357237
51.61427319004563,-107.59031852662322,-171.08590721982353,-237.3638366873702,132.22283479564095,-118.76309963048737,-183.05772933034442,-250.08460756405236,127.50470966271261,-130.26767717025422,-195.38507687993044,-263.18314530106954,122.73604203707754,-141.3377814947817,-207.24687910143055,-275.7870135218996,118.23326239154056,-64.63900202169424,-125.0628520977783,-188.46161162524177,151.1587620169091
52.63637308694963,-97.64483533172168,-159.66701910715884,-224.47154365694234,134.05375330186175,-108.81761643558583,-171.63884121767973,-237.1923145336245,129.27029525851825,-120.32219397535268,-183.96618876726575,-250.29085227064166,124.43559484951949,-131.39229829988017,-195.82799098876586,-262.8947204914718,119.87046422962023,-54.6935188267927,-113.6439639851136,-175.56931859481392,153.2518904480302
53.678713280474746,-87.89247481515108,-148.46986443998512,-211.82959483916562,135.8990354675426,-99.06525591901521,-160.441686550506,-224.55036571584782,131.04973197339856,-110.56983345878206,-172.76903410009203,-237.64890345286494,126.14848075010782,-121.63993778330955,-184.63083632159214,-250.25277167369507,121.52051000891831,-44.941158310222086,-102.44680931793988,-162.92736977703723,155.36143959033456
54.74169458233088,-78.32948689577829,-137.49013756959417,-199.4331290177565,137.75849206703484,-89.50226799964243,-149.46195968011503,-212.15389989443867,132.84283733386906,-101.00684553940927,-161.78930722970105,-225.25243763145582,127.87452408985419,-112.07694986393676,-173.65110945120117,-237.85630585228594,123.18323052442712,-35.3781703908493,-91.46708244754892,-150.53090395562808,157.48719311874618
55.82572574136578,-68.95219431203114,-126.72361645492153,-187.27737937215826,139.63192546523817,-80.12497541589529,-138.6954385654424,-199.99815024884046,134.6494207570693,-91.62955295566213,-151.02278611502842,-213.09668798585759,129.61354141368435,-102.69965728018963,-162.88458833652854,-225.7005562066877,124.85844905143269,-26.00087780710216,-80.70056133287629,-138.37515431002987,159.62892509440098
56.93122360074173,-59.75699120787717,-116.16616103904094,-175.3576716445513,141.51912963103095,-70.92977231174132,-128.13798314956182,-188.07844252123346,136.46928356371367,-82.43434985150816,-140.46533069914784,-201.1769802582506,131.3653414729047,-93.50445417603565,-152.32713292064795,-213.78084847908073,126.54598135752374,-16.80567470294819,-70.14310591699571,-126.45544658242288,161.78639998000065
58.05861325822426,-50.740341746263304,-105.813711657188,-163.66942234245914,143.4198901602088,-61.91312285012745,-117.78553376770887,-176.39019321914134,138.30221900021178,-73.41770038989429,-130.1128813172949,-189.48873095615846,133.12972524649538,-84.48780471442178,-141.974683538795,-202.09259917698859,128.2456357231037,-7.789025241334321,-59.79065653514276,-114.76719728033073,163.95937266603627
59.20832822964548,-41.89877874947665,-95.66228747569228,-152.20813697625437,145.33398430809788,-53.071559853340794,-107.63410958621316,-164.92890785293656,140.14801227011785,-64.57613739310763,-119.96145713579918,-178.0274455899537,134.90648597138332,-75.64624171763512,-131.8232593572993,-190.6313138107838,129.95721297055312,1.0525377554523396,-49.63923235364704,-103.30591191412596,166.14758850807226
60.38081061560396,-33.22890236591035,-85.70798496122724,-140.9694083308906,147.26118103198948,-44.4016834697745,-97.67980707174812,-153.69017920757278,142.00644057505107,-55.90626100954133,-110.00715462133415,-166.7887169445899,136.69540918183228,-66.97636533406883,-121.86895684283427,-179.39258516542003,131.6805065021747,9.722414139018637,-39.684929839182004,-92.06718326876218,168.35078337525795
61.576511271466174,-24.727378762714437,-75.94697637978011,-129.94891477119225,149.2012410435283,-35.90015986657858,-87.91879849030099,-142.66968564787442,143.8772731652146,-47.404737406345426,-100.24614603988701,-155.76822338489157,138.49627275807237,-58.47484173087292,-112.10794826138712,-168.37209160572166,133.4153023470386,18.223937742214545,-29.92392125773487,-81.04668970906383,170.56868371021875
62.795889980733946,-16.390938843837223,-66.37550832477292,-119.14241858005498,151.15391687116696,-27.56371994770137,-78.34733043529381,-131.86318945673716,145.76027139962147,-39.068297487468215,-90.67467798487984,-144.9617271937543,140.30884698427354,-50.138401811995706,-102.53648020637995,-157.5655954145844,135.1613792168292,26.56037766109176,-20.35245320272769,-70.24019351792657,172.8010066004547
64.03941563184554,-8.21637699295575,-56.98990027376083,-108.54576432891237,153.11895293278246,-19.389158096819898,-68.96172238428171,-121.26653520559455,147.65518881611985,-30.89373563658674,-81.28906993386774,-134.3650729426117,142.13289461595215,-41.96383996111423,-93.15087215536785,-146.9689411634418,136.91850857077864,34.73493951197323,-10.966845151715596,-59.64353926678396,175.0474598613568
65.30756639847735,-0.20054984082012312,-47.78654317316071,-98.15487727984777,155.09608561852966,-11.37333094468427,-59.75836528368159,-110.87564815652993,149.56177121128997,-22.877908484451112,-72.08571283326762,-123.97418589354709,143.9681709568792,-33.9480128089786,-83.94751505476773,-136.5780541143772,138.68645468975373,42.75076666410886,-1.7634880511154754,-49.25265221771935,177.3077421309256
66.60082992341658,7.659624943469833,-38.76189805045746,-87.96576181873111,157.0850433839878,-3.5131561603943133,-50.73372016097834,-100.68653269541328,151.47975673026704,-15.017733700161155,-63.061067710564366,-113.78507043243043,145.81442394554443,-26.087838024688647,-74.92286993206449,-126.38893865326054,140.46497475954774,50.61094144839882,7.261157071587776,-39.063536756602694,179.58154297625796
67.9197035060746,15.36716983771406,-29.91249465336221,-77.97449991878494,159.08554685363484,4.194388733849913,-41.88431676388309,-90.69527079546711,153.40887596652323,-7.310188805916928,-54.211664313469115,-103.79380853248426,147.67139425120612,-18.38029313044442,-66.07346653496923,-116.39767675331437,142.25381896340656,58.31848634264304,16.110560468683026,-29.072274856656527,181.8685430118399
