m_chi_GeV,delta_keV,R_June_eff,R_June_sharp,R_June_200_270_eff,R_June_total_noeff,R_Dec_eff,June_over_Dec,R_avg_eff,June_over_avg
400,0,334726560.5667096,328346549.8836505,85858.06097236654,462658575.4505524,,,,
400,25,235923683.57432482,238331491.8180439,66493.4501651469,298145887.179862,,,,
400,50,124292038.08922076,128866134.03025909,49917.675924072995,140373574.81056023,,,,
400,75,53845386.48033593,55008530.69414249,36246.50573839481,57508976.65767788,,,,
400,100,20325128.738559924,20413976.2113641,25418.292034689523,21273606.61370828,,,,
400,125,6890317.540464676,6891104.256153848,17167.124617183214,7184423.338288249,,,,
400,150,2118211.8999287416,2118199.166878437,11120.593671929215,2210548.9054644275,,,,
400,175,588444.55342939,588436.203337426,6872.4974233921275,615546.0000353171,,,,
400,200,148426.27232795907,148421.03315100932,4013.2359738589794,156166.1553346863,80900.9432420184,1.8346667712382037,,
400,225,36665.71061757828,36662.60488093917,2179.8150325000156,39064.33460635632,18351.932406055825,1.9979209712803445,,
400,250,10483.92697039141,10482.225312650335,1068.577780291786,11359.12340228845,5040.151589242687,2.080081677060567,,
400,275,3290.508775358002,3289.6816775335114,443.18806391331253,3611.913313880244,1192.8617753696308,2.7584996378464517,,
400,300,687.2990208033792,686.9763982309961,131.28323901999048,769.366556766744,78.37805339479496,8.769023866176068,,
400,310,268.9971140382583,268.79979315024616,66.0108515889663,306.3260605628457,,,,
400,320,72.88546133817297,72.77887217678418,25.62101536690511,85.79994912429703,,,,
400,325,30.119080952408936,30.046473626644794,13.253787877102152,36.57843823887838,0.0007020109819706208,42904.00253833838,,
400,330,9.74650642879735,9.701313235773759,5.385407887821338,12.495809686934829,,,,
400,340,0.3048813568693881,0.29589871569137305,0.2445958109539572,0.5427612421402039,,,,
400,350,6.876951259183242e-05,4.103702069264246e-05,2.593984572196314e-05,0.00020213053098004847,0.0,inf,,
400,360,0.0,0.0,0.0,0.0,,,,
400,370,0.0,0.0,0.0,0.0,,,,
400,375,0.0,0.0,0.0,0.0,0.0,inf,,
400,380,0.0,0.0,0.0,0.0,,,,
400,390,0.0,0.0,0.0,0.0,,,,
