operator,isospin,m_chi_GeV,response,q_v_scaling,dRdE_10keV,dRdE_50keV,dRdE_150keV,dRdE_248keV,R_lo,R_hi,R_5_300,ratio_hi_lo,N_lo_per_hi,frac_hi,N_lo_hardcut,N_lo_sighi15,N_lo_sighi4
O1,s,200,M,q^0,3.3508e+07,2.1825e+06,19826,153.54,5.9284e+08,75087,6.0835e+08,0.00012666,7895.3,0.00012343,8564.3,7922.6,7890.8
O1,s,1000,M,q^0,6.9764e+06,5.4322e+05,8412.1,118.31,1.2884e+08,46814,1.3319e+08,0.00036336,2752.1,0.00035148,2972,2763.7,2750
O1,s,4000,M,q^0,1.7544e+06,1.401e+05,2329.5,35.579,3.2603e+07,13674,3.3748e+07,0.00041941,2384.3,0.00040517,2573.2,2394.7,2382.4
O1,v,200,M,q^0,9.0857e+05,14191,414.76,151.23,1.3158e+07,8178.2,1.332e+07,0.00062153,1608.9,0.00061399,1703.7,1687.3,1569.6
O1,v,1000,M,q^0,1.8917e+05,3532.1,175.94,116.93,2.8229e+06,5922.9,2.8792e+06,0.0020982,476.6,0.0020571,498.31,502.74,463.01
O1,v,4000,M,q^0,47571,910.98,48.72,35.117,7.1299e+05,1765,7.2829e+05,0.0024755,403.96,0.0024235,421.62,426.45,392.22
O3,s,200,Phi''+ v^2 Sigma',"q^4 Phi'', q^2 v^2 Sigma'",2.6267,7.6717,0.059038,0.10022,318.94,8.5619,493.4,0.026845,37.251,0.017353,36.665,38.259,36.793
O3,s,1000,Phi''+ v^2 Sigma',"q^4 Phi'', q^2 v^2 Sigma'",0.5469,1.9099,0.025082,0.077495,73.937,5.8457,128.03,0.079063,12.648,0.045658,12.367,13.054,12.456
O3,s,4000,Phi''+ v^2 Sigma',"q^4 Phi'', q^2 v^2 Sigma'",0.13753,0.49257,0.0069533,0.023271,18.882,1.7284,33.354,0.091533,10.925,0.051819,10.672,11.283,10.754
O3,v,200,Phi''+ v^2 Sigma',"q^4 Phi'', q^2 v^2 Sigma'",0.11463,0.21048,0.098192,0.0042099,10.573,0.74526,25.236,0.07049,14.186,0.029532,14.225,14.342,14.133
O3,v,1000,Phi''+ v^2 Sigma',"q^4 Phi'', q^2 v^2 Sigma'",0.023875,0.052472,0.041675,0.0032679,2.4325,0.48279,7.9291,0.19848,5.0384,0.060889,5.0367,5.1065,5.0135
O3,v,4000,Phi''+ v^2 Sigma',"q^4 Phi'', q^2 v^2 Sigma'",0.0060036,0.013527,0.011545,0.00098012,0.62057,0.14166,2.1271,0.22827,4.3808,0.066596,4.3774,4.4416,4.3584
O4,s,200,Sigma'+Sigma'',q^0,29.114,3.7316,0.44233,0.065435,547.62,6.3477,685.77,0.011592,86.269,0.0092564,91.428,88.358,85.302
O4,s,1000,Sigma'+Sigma'',q^0,6.0614,0.9283,0.1878,0.050464,119.84,4.2619,166.79,0.035563,28.119,0.025553,29.498,28.936,27.724
O4,s,4000,Sigma'+Sigma'',q^0,1.5244,0.23943,0.052014,0.01518,30.358,1.2585,43.065,0.041457,24.122,0.029224,25.267,24.839,23.773
O4,v,200,Sigma'+Sigma'',q^0,25.999,3.4408,0.39541,0.056751,492.43,5.46,619.47,0.011088,90.188,0.0088139,95.461,92.412,89.147
O4,v,1000,Sigma'+Sigma'',q^0,5.413,0.85595,0.16789,0.043781,107.82,3.6705,150.71,0.034043,29.374,0.024355,30.77,30.243,28.95
O4,v,4000,Sigma'+Sigma'',q^0,1.3613,0.22078,0.046507,0.013169,27.315,1.084,38.911,0.039687,25.197,0.02786,26.355,25.959,24.822
O5,s,200,Delta + v^2 M,"q^2 v^2 M, q^4 Delta",0.027245,0.011168,0.00092163,0.00030034,1.0044,0.023349,1.2759,0.023247,43.016,0.018299,42.919,44.431,42.306
O5,s,1000,Delta + v^2 M,"q^2 v^2 M, q^4 Delta",0.0057194,0.0028521,0.00039838,0.00023221,0.22936,0.016156,0.32777,0.070439,14.197,0.049291,14.021,14.745,13.911
O5,s,4000,Delta + v^2 M,"q^2 v^2 M, q^4 Delta",0.0014401,0.00073876,0.00011071,6.984e-05,0.058474,0.0047901,0.085426,0.081918,12.207,0.056073,12.039,12.688,11.956
O5,v,200,Delta + v^2 M,"q^2 v^2 M, q^4 Delta",0.0011085,0.0018179,0.00075312,0.00032899,0.077157,0.024511,0.24293,0.31767,3.1479,0.10089,3.0903,3.2564,3.0934
O5,v,1000,Delta + v^2 M,"q^2 v^2 M, q^4 Delta",0.00023205,0.00045264,0.00031979,0.00025423,0.017843,0.016968,0.085177,0.951,1.0515,0.19921,1.0226,1.0941,1.0293
