E_keV,ratio_wimpydd_2mv2_over_fig1
5.0000,1.0043
10.0000,1.0119
15.0000,1.0143
20.0000,1.0114
25.0000,1.0132
30.0000,1.0243
35.0000,1.0241
40.0000,1.0213
45.0000,1.0234
50.0000,1.0275
55.0000,1.0333
60.0000,1.0399
65.0000,1.0544
70.0000,1.0651
75.0000,1.0916
80.0000,1.1125
85.0000,1.1627
90.0000,1.2713
95.0000,1.5564
100.0000,2.0574
105.0000,0.8030
110.0000,0.7810
115.0000,0.8201
120.0000,0.8478
125.0000,0.8665
130.0000,0.8774
135.0000,0.8883
140.0000,0.8941
145.0000,0.8975
150.0000,0.9027
155.0000,0.9056
160.0000,0.9087
165.0000,0.9067
170.0000,0.9105
175.0000,0.9120
180.0000,0.9124
185.0000,0.9126
190.0000,0.9102
195.0000,0.9096
200.0000,0.9092
205.0000,0.9077
210.0000,0.9084
215.0000,0.9045
220.0000,0.9037
225.0000,0.9006
230.0000,0.8994
235.0000,0.8933
240.0000,0.8918
245.0000,0.8875
250.0000,0.8836
255.0000,0.8932
260.0000,0.9369
265.0000,1.0661
270.0000,1.1634
275.0000,1.1023
280.0000,1.0423
285.0000,1.0133
290.0000,0.9852
295.0000,0.9694
