E_keV,L10s_50GeV,L10s_200GeV,L10s_1000GeV
1,,,
2,0.0050971,0.0013404,
3,0.010381,0.0028289,
4,0.016671,0.0046416,
5,0.023423,0.0067754,0.0013827
6,0.030471,0.0090421,0.001854
7,0.037256,0.011424,0.0023442
8,0.04391,0.013764,0.0028576
9,0.050118,0.016141,0.0033515
10,0.055333,0.018591,0.0038574
11,0.060081,0.020773,0.0043462
12,0.064284,0.022889,0.0048027
13,0.067562,0.024909,0.0052596
14,0.070126,0.026669,0.0056582
15,0.071954,0.02838,0.0060211
16,0.07305,0.029783,0.0063548
17,0.07378,0.031119,0.0066841
18,0.07378,0.032204,0.0069396
19,0.07378,0.033189,0.0071954
20,0.072685,0.03398,0.007378
21,0.071589,0.034601,0.0075607
22,0.070128,0.03505,0.0076703
23,0.067936,0.035374,0.0077798
24,0.06611,0.03557,0.0078529
25,0.063919,0.035636,0.0079259
26,0.061362,0.035612,0.0079259
27,0.059169,0.035447,0.0079259
28,0.056614,0.03521,0.0079259
29,0.054057,0.034867,0.0078894
30,0.051495,0.034481,0.0078163
31,0.048944,0.034041,0.0077433
32,0.046384,0.033475,0.0076703
33,0.044195,0.032927,0.0075607
34,0.041638,0.032325,0.0074876
35,0.039447,0.031677,0.0073415
36,0.03689,0.031046,0.007232
37,0.034845,0.030425,0.0071224
38,0.032744,0.029713,0.0069763
39,0.030786,0.029023,0.0068667
40,0.028963,0.028343,0.0067206
41,0.027102,0.027706,0.006611
42,0.025512,0.027028,0.0064649
43,0.023997,0.026408,0.0063553
44,0.02239,0.025787,0.0062458
45,0.021056,0.025202,0.0061362
46,0.019796,0.024654,0.0060266
47,0.018544,0.024106,0.0059171
48,0.017459,0.023583,0.0058075
49,0.016417,0.02312,0.0057344
50,0.015449,0.022682,0.0056248
51,0.0145,0.022207,0.0055518
52,0.01366,0.021878,0.0054787
53,0.012966,0.021525,0.0054422
54,0.012199,0.021184,0.0053692
55,0.011505,0.020929,0.0053326
56,0.01092,0.020673,0.0052961
57,0.010337,0.020454,0.0052596
58,0.0098617,0.020308,0.0052596
59,0.0093869,0.020141,0.0052231
60,0.0088756,0.020016,0.0052231
61,0.0084738,0.019929,0.0052231
62,0.0081085,0.019871,0.0052231
63,0.0077068,0.01988,0.0052596
64,0.007378,0.01989,0.0052961
65,0.0070859,0.019899,0.0053326
66,0.0067937,0.019924,0.0053692
67,0.0065014,0.020016,0.0054057
68,0.0062458,0.020089,0.0054787
69,0.0060266,0.02021,0.0055153
70,0.0057709,0.020381,0.0055883
71,0.0055518,0.020539,0.0056614
72,0.0053326,0.02071,0.0057344
73,0.00515,0.020929,0.005844
74,0.0049309,0.021136,0.0059171
75,0.0047482,0.021355,0.0059901
76,0.0046022,0.021623,0.0060997
77,0.0044561,0.021891,0.0062092
78,0.0042734,0.022158,0.0063188
79,0.0041273,0.022481,0.0064649
80,0.0039812,0.022773,0.0065745
81,0.0038351,0.023078,0.0066841
82,0.003689,0.023415,0.0068302
83,0.0035751,0.023778,0.0069763
84,0.0034497,0.02407,0.0071224
85,0.0033267,0.024474,0.007232
86,0.0032069,0.024852,0.0074146
87,0.0030877,0.025236,0.0075607
88,0.0029722,0.025626,0.0077068
89,0.0028587,0.026006,0.0078529
90,0.0027649,0.026407,0.0080355
91,0.0026559,0.026846,0.0081816
92,0.0025475,0.027229,0.0083642
93,0.0024399,0.027668,0.0085468
94,0.0023477,0.028106,0.0087294
95,0.0022682,0.028544,0.0089121
96,0.0021675,0.028982,0.0090947
97,0.002071,0.029421,0.0092773
98,0.0019886,0.029896,0.0094965
99,0.0019103,0.030352,0.0096791
100,0.0018299,0.030827,0.0098983
101,0.0017385,0.031338,0.010081
102,0.0016627,0.031762,0.0103
103,0.0015897,0.032264,0.010519
104,0.0015012,0.032738,0.010702
105,0.0014318,0.033238,0.010957
106,0.0013587,0.033761,0.011177
107,0.001293,0.03426,0.011396
108,0.0012236,0.034781,0.011615
109,0.0011578,0.03532,0.011858
110,0.0010958,0.035776,0.012102
111,0.0010337,0.036305,0.012338
112,,0.03689,0.012607
113,,0.037256,0.012829
114,,0.037986,0.013076
115,,0.038351,0.013347
116,,0.039082,0.013629
117,,0.039447,0.013857
118,,0.039812,0.014093
119,,0.040543,0.014375
120,,0.041273,0.01466
121,,0.041638,0.014944
122,,0.042004,0.015194
123,,0.042734,0.015476
124,,0.043465,0.015758
125,,0.04383,0.016046
126,,0.044195,0.016344
127,,0.044926,0.016641
128,,0.045291,0.016905
129,,0.046021,0.017244
130,,0.046387,0.017501
131,,0.047117,0.017804
132,,0.047483,0.01808
133,,0.047848,0.018418
134,,0.048578,0.018692
135,,0.048944,0.019032
136,,0.049309,0.019305
137,,0.050039,0.019602
138,,0.050404,0.019918
139,,0.05077,0.020193
140,,0.0515,0.020533
141,,0.051865,0.020804
142,,0.052231,0.02115
143,,0.052961,0.02144
144,,0.053327,0.021748
145,,0.053692,0.022019
146,,0.054057,0.022362
147,,0.054422,0.022636
148,,0.055153,0.02298
149,,0.055518,0.023293
150,,0.055518,0.023542
151,,0.056248,0.023887
152,,0.056248,0.024106
153,,0.056979,0.024403
154,,0.057344,0.024715
155,,0.057709,0.02502
156,,0.057709,0.025312
157,,0.058075,0.025604
158,,0.05844,0.025882
159,,0.05844,0.026127
160,,0.059171,0.026444
161,,0.059171,0.026668
162,,0.059536,0.026992
163,,0.059536,0.027211
164,,0.060266,0.02743
165,,0.060266,0.027686
166,,0.060631,0.027941
167,,0.060631,0.028197
168,,0.060997,0.028416
169,,0.060631,0.028672
170,,0.060997,0.028911
171,,0.060997,0.029133
172,,0.061362,0.02935
173,,0.060997,0.029591
174,,0.061362,0.029783
175,,0.061362,0.029987
176,,0.061362,0.030188
177,,0.061362,0.030394
178,,0.061362,0.030571
179,,0.061362,0.030728
180,,0.061362,0.030912
181,,0.060997,0.031083
182,,0.061362,0.031247
183,,0.061362,0.031412
184,,0.060997,0.031536
185,,0.060997,0.031685
186,,0.060631,0.031801
187,,0.060997,0.031941
188,,0.060266,0.032047
189,,0.060631,0.032157
190,,0.060631,0.032266
191,,0.059901,0.032361
192,,0.059901,0.032452
193,,0.059536,0.032532
194,,0.059536,0.032599
195,,0.059536,0.032672
196,,0.058805,0.032726
197,,0.058805,0.032763
