E_keV,O1s_delta0_1000GeV,O1s_delta200_1000GeV,O1s_delta300_1000GeV
1,4.535e+07,,
2,4.3174e+07,,
3,4.0635e+07,,
4,3.8459e+07,,
5,3.6646e+07,,
6,3.4566e+07,,
7,3.2719e+07,,
8,3.0921e+07,,
9,2.9201e+07,,
10,2.7577e+07,,
11,2.6043e+07,,
12,2.4595e+07,,
13,2.3227e+07,,
14,2.1935e+07,,
15,2.0715e+07,,
16,1.9563e+07,,
17,1.8475e+07,,
18,1.7447e+07,,
19,1.6477e+07,,
20,1.5519e+07,,
21,1.4626e+07,,
22,1.3765e+07,,
23,1.2966e+07,,
24,1.2194e+07,,
25,1.147e+07,,
26,1.0757e+07,,
27,1.0089e+07,,
28,9.4622e+06,,
29,8.8743e+06,,
30,8.323e+06,,
31,7.8059e+06,,
32,7.321e+06,8.4782,
33,6.8661e+06,61.594,
34,6.4396e+06,207.07,
35,6.0395e+06,460.1,
36,5.6643e+06,837.09,
37,5.3124e+06,1266.5,
38,4.9764e+06,1756.2,
39,4.6394e+06,2271.8,
40,4.3396e+06,2805.1,
41,4.0512e+06,3312.8,
42,3.7704e+06,3894.3,
43,3.5237e+06,4357.4,
44,3.2841e+06,4876.6,
45,3.0576e+06,5313.1,
46,2.8407e+06,5749.6,
47,2.6387e+06,6077,
48,2.451e+06,6411.2,
49,2.2767e+06,6695.4,
50,2.1147e+06,6906.2,
51,1.9581e+06,7131.9,
52,1.8116e+06,7241.1,
53,1.6759e+06,7338,
54,1.5504e+06,7386.6,
55,1.4311e+06,7386.6,
56,1.3196e+06,7393.8,
57,1.2169e+06,7313.8,
58,1.1192e+06,7277.5,
59,1.0302e+06,7131.9,
60,9.4489e+05,6993.5,
61,8.6552e+05,6768.2,
62,7.9185e+05,6622.7,
63,7.2241e+05,6403.9,
64,6.5906e+05,6142.3,
65,6.0127e+05,5895.2,
66,5.4855e+05,5625.5,
67,4.9958e+05,5367.6,
68,4.5297e+05,5094.3,
69,4.086e+05,4828.8,
70,3.6929e+05,4549.1,
71,3.3307e+05,4275.9,
72,2.9897e+05,3995.7,
73,2.6836e+05,3731.6,
74,2.4055e+05,3457.7,
75,2.1291e+05,3199.1,
76,1.8845e+05,2944.1,
77,1.6679e+05,2688.1,
78,1.4763e+05,2445.5,
79,1.3066e+05,2224.8,
80,1.1517e+05,2013.6,
81,1.0027e+05,1797.1,
82,87062,1603.5,
83,75262,1430.8,
84,64394,1253.7,
85,54843,1098.6,
86,46375,952.6,
87,38779,812.81,
88,32044,692.03,
89,26268,577.77,
90,21234,478.11,
91,16939,387.6,
92,13038,308.31,
93,10036,239.53,
94,7544.8,182.3,
95,5519.1,132.22,
96,3879.1,95.904,
97,2617.4,67.047,
98,1755.8,46.139,
99,1206.8,33.41,
100,942.75,27.214,
101,938.04,28.976,
102,1172.9,37.509,
103,1584.3,51.994,0.12892
104,2156.1,72.523,0.19682
105,2934.4,96.549,0.29057
106,3853.2,128.53,0.41791
107,4868.4,162.9,0.58405
108,6004.3,201.14,0.78545
109,7132.9,243.29,1.0496
110,8430.3,290.91,1.3713
111,9731.3,338.66,1.7304
112,11057,391.44,2.1757
113,12424,447.98,2.6851
114,13791,498.96,3.2476
115,15173,557.21,3.9038
116,16546,614.21,4.6593
117,17914,672.06,5.4524
118,19278,729.67,6.3163
119,20578,789.99,7.3125
120,21866,846.34,8.3313
121,23139,906.68,9.5101
122,24314,963.67,10.636
123,25388,1020.2,11.985
124,26509,1077.8,13.27
125,27680,1130.2,14.627
126,28724,1185.1,16.08
127,29728,1235.7,17.59
128,30625,1288.9,19.25
129,31506,1335.6,20.818
130,32324,1379.1,22.445
131,32984,1426.4,24.17
132,33657,1462.3,25.956
133,34344,1499,27.779
134,34930,1536.7,29.37
135,35447,1575.3,31.004
136,35927,1614.9,33.209
137,36331,1655.5,34.976
138,36731,1683.3,36.649
139,37095,1712.4,38.516
140,37276,1738.9,40.461
141,37458,1757.1,42.283
142,37822,1783.4,44.105
143,37822,1802.7,45.416
144,37822,1816.6,47.384
145,37822,1831.1,48.841
146,37822,1840.2,50.481
147,37822,1851.9,52.181
148,37458,1859.1,53.396
149,37458,1862.6,54.671
150,37276,1866.2,56.249
151,37095,1869.7,57.495
152,36731,1873.3,58.824
153,36368,1867.6,59.954
154,36144,1862.6,61.138
155,35784,1857.6,62.322
156,35371,1845,63.253
157,34963,1838,64.144
158,34559,1831.1,64.873
159,34160,1813.7,65.783
160,33713,1798.4,66.532
161,33241,1783.1,67.22
162,32685,1767.8,67.666
163,32189,1748.5,68.347
164,31700,1727.9,68.516
165,31180,1707,69.244
166,30593,1685.9,69.211
167,30048,1670.6,69.164
168,29470,1646.2,69.117
169,28903,1620,69.069
170,28260,1595.3,69.022
171,27698,1566.7,68.975
172,27089,1541.3,68.927
173,26488,1511.6,68.88
174,25870,1485.9,68.516
175,25253,1455.4,68.021
176,24650,1427.9,67.423
177,24053,1398.4,67.423
178,23455,1367.7,66.512
179,22882,1338.6,66.117
180,22234,1308.6,65.601
181,21638,1280,64.66
182,21039,1249.3,63.962
183,20459,1220.7,62.918
184,19872,1189.9,62.249
185,19277,1161.5,60.865
186,18724,1130.6,60.44
187,18148,1101.7,59.225
188,17587,1071.7,58.436
189,17037,1042.4,57.463
190,16505,1013.8,56.047
191,15953,983.12,55.327
192,15424,950.64,54.033
193,14905,921.93,52.97
194,14381,893.94,52.121
195,13889,864.68,50.299
196,13388,837.83,49.69
197,12893,810.64,48.354
198,12433,782.91,46.837
199,11969,755.59,45.926
200,11500,730.13,44.833
201,11060,704.25,43.193
202,10634,679.16,42.283
203,10192,651.86,41.067
204,9779.8,626.38,39.732
205,9388.9,603.31,38.639
206,8969.1,579.94,37.546
207,8588.8,555.99,36.085
208,8218,534.14,34.821
209,7848.1,514.41,33.805
210,7494.8,491.68,32.6
211,7157.4,468.6,31.258
212,6825.5,449.19,29.919
213,6522.6,429.78,29.055
214,6193.7,409.13,27.883
215,5903.2,389.73,26.759
216,5612.1,372.72,25.508
217,5322.6,354.03,24.536
218,5043.4,336.07,23.54
219,4785.6,319.29,22.423
220,4530.6,303.21,21.358
221,4294.5,287.66,20.344
222,4039.8,272.48,19.442
223,3813.8,257.64,18.548
224,3607.3,243.16,17.686
225,3397.6,229.49,16.694
226,3193.7,216.5,15.757
227,3001.9,204.03,14.873
228,2816.6,191.72,14.221
229,2635.2,179.83,13.399
230,2465.4,168.48,12.65
231,2306.6,157.77,11.876
232,2152.8,147.75,11.118
233,2003.4,137.82,10.392
234,1863.2,128.23,9.6961
235,1732.9,119.15,9.0472
236,1603.5,110.43,8.4416
237,1483.4,102.59,7.8766
238,1367.8,94.305,7.3495
239,1258.3,86.995,6.8079
240,1156.7,80.225,6.2735
241,1061.4,73.754,5.7631
242,971.86,67.433,5.2956
243,886.85,61.594,4.8329
244,805.29,56.037,4.4067
245,730.71,50.947,4.0059
246,659.99,46.356,3.6528
247,594.21,41.554,3.3383
248,533.98,37.359,3.0057
249,478.25,33.401,2.6852
250,426.14,29.729,2.3847
251,377.53,26.35,2.1178
252,332.79,23.217,1.8808
253,293.6,20.457,1.6618
254,256.36,18.025,1.4571
255,223.22,15.6,1.2723
256,193.14,13.522,1.1039
257,166.64,11.721,0.95708
258,142.81,10.085,0.82715
259,122.2,8.6224,0.71486
260,104.57,7.4304,0.61781
261,89.477,6.4064,0.5367
262,76.959,5.5151,0.47073
263,66.999,4.8154,0.41911
264,58.856,4.3045,0.38177
265,53.214,3.9603,0.3598
266,49.48,3.721,0.35028
267,47.816,3.6481,0.35179
268,48.044,3.733,0.36509
269,49.821,3.9212,0.39119
270,53.266,4.2489,0.42999
271,58.189,4.6711,0.47574
272,64.873,5.1796,0.53376
273,72.585,5.8117,0.59888
274,81.723,6.53,0.67277
275,91.925,7.3282,0.75538
276,103.09,8.2239,0.84812
277,114.68,9.2291,0.94893
278,127.58,10.256,1.0542
279,141.93,11.372,1.1638
280,157.89,12.5,1.2828
281,173.4,13.74,1.4116
282,188.4,15.012,1.5412
283,204.13,16.335,1.6758
284,221.16,17.677,1.8138
285,239.62,19.013,1.9448
286,259.28,20.438,2.0912
287,277.27,21.904,2.2389
288,296.51,23.338,2.3902
289,315.4,24.865,2.5518
290,333.73,26.288,2.6996
291,353.11,27.759,2.8446
292,371.52,29.217,2.9909
293,392.14,30.751,3.1448
294,412.46,32.366,3.2899
295,429.78,33.838,3.4417
296,450.41,35.319,3.6005
297,469.83,36.864,3.7666
298,489.24,38.394,3.9404
299,506.24,40.096,4.1221
300,525.65,41.189,4.268
301,543.85,42.767,4.4139
302,560.85,44.105,4.584
303,580.26,45.682,4.7421
304,597.25,47.092,4.8651
305,614.23,48.386,4.9791
306,631.23,49.57,5.1309
307,647,51.088,5.2981
308,663.99,52.302,5.4349
309,678.56,53.474,5.5807
310,693.73,54.567,5.7266
311,708.89,55.946,5.836
312,723.45,57.039,5.9891
313,737.41,58.132,6.1094
314,749.42,59.262,6.1575
315,765.32,60.084,6.2735
316,775.63,61.229,6.4267
317,786.56,62.322,6.5288
318,799.29,63.233,6.6503
319,810.58,63.962,6.7475
320,821.74,64.873,6.8715
321,830.24,65.561,6.9602
322,841.76,66.512,7.0197
323,852.48,67.24,7.0757
324,859.35,67.751,7.1632
325,866.23,68.516,7.258
326,875.74,69.184,7.3674
327,885.17,69.84,7.422
328,888.48,70.459,7.5168
329,894.67,71.066,7.5861
330,901.11,71.326,7.5364
331,905.39,71.855,7.6069
332,911.77,72.159,7.6793
333,915.41,72.645,7.7441
334,918.23,72.796,7.8049
335,921.39,73.278,7.8309
336,924.56,73.408,7.8778
337,928.41,73.538,7.8003
338,928.14,73.974,7.8626
339,927.86,73.939,7.9197
340,927.59,73.903,7.9379
341,927.32,73.868,7.9872
342,927.04,73.833,7.9872
343,926.77,73.798,7.8846
344,926.49,73.763,7.9074
345,926.22,73.728,7.9507
346,925.95,73.693,7.9507
347,925.67,73.658,7.9507
348,925.4,73.623,7.9507
349,925.13,73.486,7.8413
