sigma_low,sigma_high,total,mssi,accidentals,nrs
-8.0,-7.5,3.950e-05,6.777e-06,3.264e-05,0.000e+00
-7.5,-7.0,4.449e-05,8.807e-06,3.506e-05,0.000e+00
-7.0,-6.5,4.142e-05,9.687e-06,3.187e-05,0.000e+00
-6.5,-6.0,4.666e-05,1.352e-05,3.264e-05,0.000e+00
-6.0,-5.5,4.449e-05,1.598e-05,2.898e-05,0.000e+00
-5.5,-5.0,4.666e-05,1.636e-05,3.039e-05,0.000e+00
-5.0,-4.5,4.045e-05,1.385e-05,2.634e-05,0.000e+00
-4.5,-4.0,4.344e-05,1.320e-05,2.968e-05,0.000e+00
-4.0,-3.5,4.242e-05,1.418e-05,2.763e-05,0.000e+00
-3.5,-3.0,4.344e-05,1.487e-05,2.830e-05,0.000e+00
-3.0,-2.5,4.344e-05,1.560e-05,2.698e-05,0.000e+00
-2.5,-2.0,3.591e-05,1.487e-05,1.933e-05,0.000e+00
-2.0,-1.5,3.950e-05,1.598e-05,1.933e-05,0.000e+00
-1.5,-1.0,4.666e-05,1.598e-05,2.512e-05,0.000e+00
-1.0,-0.5,4.242e-05,1.598e-05,2.076e-05,0.000e+00
-0.5,0.0,3.766e-05,1.675e-05,1.560e-05,0.000e+00
0.0,0.5,4.556e-05,2.339e-05,1.757e-05,0.000e+00
0.5,1.0,5.133e-05,2.968e-05,1.887e-05,0.000e+00
1.0,1.5,3.796e-04,2.830e-05,1.352e-05,0.000e+00
1.5,2.0,9.611e-04,2.763e-05,1.636e-05,0.000e+00
2.0,2.5,1.008e-03,2.763e-05,1.487e-05,0.000e+00
2.5,3.0,4.703e-04,2.898e-05,1.289e-05,0.000e+00
3.0,3.5,5.828e-04,3.112e-05,1.385e-05,0.000e+00
3.5,4.0,1.057e-03,3.187e-05,1.289e-05,0.000e+00
4.0,4.5,2.552e-03,3.264e-05,1.418e-05,0.000e+00
4.5,5.0,2.433e-03,2.076e-05,8.200e-06,0.000e+00
5.0,5.5,3.063e-04,2.060e-06,0.000e+00,0.000e+00
5.5,6.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
6.0,6.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00
6.5,7.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
7.0,7.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00
7.5,8.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00
