model,experiment,exposure_tyr,roi_max_keV,N_expected,N_lo,N_hi,P_zero,P_zero_hi,P_ge1
O1s_d250,XENONnT,3.1,55.0,1.0482647125493467e-06,3.1447941376480403e-07,2.515835310118432e-06,0.9999989517358369,0.9999974841678546,1.0482641631393008e-06
O1s_d250,XENONnT,3.1,70.0,0.029312658497169138,0.008793797549150743,0.07035038039320593,0.9711127903303227,0.9320671846193486,0.028887209669677283
O1s_d250,XENONnT,3.1,100.0,0.11746925236721288,0.03524077571016387,0.2819262056813109,0.8891678511327079,0.7543293476995316,0.11083214886729209
O1s_d250,XENONnT,3.1,150.0,0.40811478148945657,0.12243443444683699,0.9794754755746957,0.6649025559365446,0.37550801032775977,0.33509744406345543
O1s_d250,XENONnT,3.1,270.0,1.0233274647887323,0.30699823943661975,2.4559859154929575,0.3593970672518801,0.08577858330356901,0.64060293274812
O1s_d250,PandaX-4T,1.54,55.0,5.207508572019335e-07,1.5622525716058007e-07,1.2498020572846404e-06,0.9999994792492783,0.9999987501987238,5.207507216553608e-07
O1s_d250,PandaX-4T,1.54,70.0,0.014561772285690474,0.004368531685707143,0.03494825348565714,0.9855437375627001,0.9656553842649124,0.014456262437299916
O1s_d250,PandaX-4T,1.54,100.0,0.05835569311145414,0.017506707933436245,0.14005366346748993,0.9433143573379525,0.8693115838731559,0.05668564266204745
O1s_d250,PandaX-4T,1.54,150.0,0.202740891449601,0.06082226743488031,0.4865781394790424,0.8164897735011692,0.6147263070121615,0.18351022649883075
O1s_d250,PandaX-4T,1.54,270.0,0.508362676056338,0.15250880281690143,1.2200704225352113,0.6014795899541897,0.2952093767992438,0.3985204100458103
O1s_d250,XENONnT+PandaX-4T,4.640000000000001,55.0,1.5690155697512803e-06,4.707046709253841e-07,3.7656373674030726e-06,0.9999984309856611,0.9999962343697226,1.5690143388980005e-06
O1s_d250,XENONnT+PandaX-4T,4.640000000000001,70.0,0.043874430782859616,0.013162329234857885,0.10529863387886308,0.9570741289770889,0.900055695324312,0.04292587102291112
O1s_d250,XENONnT+PandaX-4T,4.640000000000001,100.0,0.17582494547866703,0.05274748364360011,0.42197986914880087,0.8387648000568186,0.6557472400106843,0.16123519994318136
O1s_d250,XENONnT+PandaX-4T,4.640000000000001,150.0,0.6108556729390576,0.18325670188171728,1.4660536150537382,0.5428861372969778,0.23083465244226833,0.45711386270302223
O1s_d250,XENONnT+PandaX-4T,4.640000000000001,270.0,1.5316901408450705,0.4595070422535211,3.676056338028169,0.21617000064139913,0.02532264211976862,0.7838299993586009
O1s_d300,XENONnT,3.1,55.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d300,XENONnT,3.1,70.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d300,XENONnT,3.1,100.0,9.682104880690577e-06,2.9046314642071736e-06,2.3237051713657382e-05,0.9999903179419908,0.9999767632182646,9.682058009219396e-06
O1s_d300,XENONnT,3.1,150.0,0.20156861046569044,0.06047058313970714,0.48376466511765703,0.8174474901830512,0.616458258974972,0.18255250981694882
O1s_d300,XENONnT,3.1,270.0,1.0233274647887323,0.30699823943661975,2.4559859154929575,0.3593970672518801,0.08577858330356901,0.64060293274812
O1s_d300,PandaX-4T,1.54,55.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d300,PandaX-4T,1.54,70.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d300,PandaX-4T,1.54,100.0,4.809819843955964e-06,1.4429459531867895e-06,1.1543567625494313e-05,0.9999951901917232,0.9999884564990013,4.809808276773353e-06
O1s_d300,PandaX-4T,1.54,150.0,0.10013408390876234,0.030040225172628707,0.2403218013810296,0.9047161020315987,0.7863747638602052,0.09528389796840131
O1s_d300,PandaX-4T,1.54,270.0,0.508362676056338,0.15250880281690143,1.2200704225352113,0.6014795899541897,0.2952093767992438,0.3985204100458103
O1s_d300,XENONnT+PandaX-4T,4.640000000000001,55.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d300,XENONnT+PandaX-4T,4.640000000000001,70.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d300,XENONnT+PandaX-4T,4.640000000000001,100.0,1.4491924724646542e-05,4.347577417393963e-06,3.47806193391517e-05,0.9999855081802828,0.9999652199854996,1.4491819717243892e-05
O1s_d300,XENONnT+PandaX-4T,4.640000000000001,150.0,0.3017026943744528,0.09051080831233584,0.7240864664986867,0.7395579069339236,0.4847672178311168,0.26044209306607635
O1s_d300,XENONnT+PandaX-4T,4.640000000000001,270.0,1.5316901408450705,0.4595070422535211,3.676056338028169,0.21617000064139913,0.02532264211976862,0.7838299993586009
O1s_d350,XENONnT,3.1,55.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d350,XENONnT,3.1,70.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d350,XENONnT,3.1,100.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d350,XENONnT,3.1,150.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d350,XENONnT,3.1,270.0,1.0233274647887325,0.3069982394366198,2.455985915492958,0.35939706725188003,0.08577858330356897,0.64060293274812
O1s_d350,PandaX-4T,1.54,55.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d350,PandaX-4T,1.54,70.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d350,PandaX-4T,1.54,100.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d350,PandaX-4T,1.54,150.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d350,PandaX-4T,1.54,270.0,0.5083626760563381,0.15250880281690146,1.2200704225352115,0.6014795899541896,0.29520937679924375,0.3985204100458104
O1s_d350,XENONnT+PandaX-4T,4.640000000000001,55.0,0.0,0.0,0.0,1.0,1.0,0.0
O1s_d350,XENONnT+PandaX-4T,4.640000000000001,70.0,0.0,0.0,0.0,1.0,1.0,0.0
