E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.640265454823958702e-06,2.201399235324894704e-02,5.484599498953490856e-07,2.851502046472002838e-02,7.387862237174502706e-07,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.015196710463125602e-05,2.131857432898776744e-02,2.155287416691048464e-06,2.776118564232011102e-02,2.882878124511891036e-06,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.195418766956964306e-05,2.064621690436175411e-02,4.764654981476846887e-06,2.702637767580576972e-02,6.328672141561508009e-06,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750734538672539659e-05,1.999597739449594097e-02,8.323224362206069836e-06,2.630991614996823491e-02,1.097858835101035752e-05,0.000000000000000000e+00
2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.630078243722511794e-05,1.936367799982442045e-02,1.277792549013774790e-05,2.561009661617260832e-02,1.673792232986027575e-05,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.788285849758936708e-05,1.875454367830185765e-02,1.808245255119977571e-05,2.492738456166058644e-02,2.352348825457115106e-05,0.000000000000000000e+00
3.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.018427082542008844e-04,1.816942782217536093e-02,2.419402065950729695e-05,2.426261270458414041e-02,3.125901085207244846e-05,7.575820369518673726e-05
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.277028699153507372e-04,1.759389757474876664e-02,3.104953117529045257e-05,2.360754877022807827e-02,3.984368998762650749e-05,8.328053296047341781e-05
4.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.552027691243361960e-04,1.704447710148150955e-02,3.863096913810009432e-05,2.297663229682648384e-02,4.923744104566529724e-05,9.082406314970616382e-05
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.839463238641669742e-04,1.651141849428863773e-02,4.688297325030473878e-05,2.235781728694318307e-02,5.935390170825374486e-05,1.046566281480657435e-04
5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.136166668722336997e-04,1.599431307106994812e-02,5.576399673357454326e-05,2.175515964392254337e-02,7.012647472188331674e-05,1.218018884068948249e-04
