E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.051235255858989035e+02,4.071740124027177429e+10,2.661864365018251988e+02,4.311462653280884800e+16,1.553428781037897579e+03,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.942227970355852904e+03,3.943114592278137207e+10,1.046034951495880705e+03,4.197483051283367200e+16,6.061761450162173787e+03,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.200174894068328285e+03,3.818754382662034607e+10,2.312450582621378089e+03,4.086380304263439200e+16,1.330715318564782501e+04,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.175733978754025884e+03,3.698485134809877014e+10,4.039546431063111413e+03,3.978051533642951200e+16,2.308442492851542556e+04,0.000000000000000000e+00
2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.077120850328740380e+04,3.581534116822348785e+10,6.201565771128055530e+03,3.872239027292856000e+16,3.519444386922682315e+04,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.490019270415863502e+04,3.468867744541201019e+10,8.776034802059159119e+03,3.769013166746304800e+16,4.946229709209266730e+04,0.000000000000000000e+00
3.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.948408170647677616e+04,3.360643862640780640e+10,1.174218855038479342e+04,3.668499858741375200e+16,6.572760233677101496e+04,1.016475443199348939e-03
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.443152970138767341e+04,3.254192948902169418e+10,1.506940308071705294e+04,3.569454385778039200e+16,8.377840948101124377e+04,1.117405277868983816e-03
4.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.969268479331981871e+04,3.152571337062455368e+10,1.874893511448728896e+04,3.474060001762914000e+16,1.035304335266620910e+05,1.218619573065837835e-03
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.519177038016005099e+04,3.053976039828924561e+10,2.275391591398830496e+04,3.380495355449492800e+16,1.248020824164130609e+05,1.404216141509615238e-03
5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.086816486473541590e+04,2.958331466764427948e+10,2.706418140183603100e+04,3.289373698222820400e+16,1.474533236388054793e+05,1.634260350193363900e-03
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.666614950970134669e+04,2.865563270298730087e+10,3.166022277015237341e+04,3.200029268338573200e+16,1.713516081487788470e+05,1.877393819868719560e-03
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.253467075965299591e+04,2.775598349018389893e+10,3.652316877148245840e+04,3.113177848200611600e+16,1.963715629472188884e+05,2.119735357422637256e-03
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.843550329497890198e+04,2.688823525075968170e+10,4.164391065035555948e+04,3.028415706083715600e+16,2.224390902773000416e+05,2.377283337422506602e-03
7.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.435027862631378957e+04,2.605785402959659576e+10,4.701333599040004628e+04,2.946235012750785600e+16,2.494999347949480580e+05,2.617238525204520529e-03
