doy,vE_lz_cosine_kms,vE_wimpydd_kms,vE_wimprates_kms
1.000000000000000000e+00,2.375863469376170940e+02,2.395731105336436428e+02,2.394774429406334946e+02
1.250000000000000000e+00,2.376189013145323088e+02,2.396072812831669694e+02,2.395109492173183696e+02
1.500000000000000000e+00,2.376516949001604360e+02,2.396416887639425681e+02,2.395446939889269800e+02
1.750000000000000000e+00,2.376847270879781320e+02,2.396763322369105254e+02,2.395786765307373400e+02
2.000000000000000000e+00,2.377179972670490145e+02,2.397112109582780306e+02,2.396128961132440054e+02
2.250000000000000000e+00,2.377515048220350593e+02,2.397463241795422846e+02,2.396473520021802983e+02
2.500000000000000000e+00,2.377852491332078841e+02,2.397816711475130660e+02,2.396820434585406474e+02
2.750000000000000000e+00,2.378192295764602591e+02,2.398172511043354120e+02,2.397169697386031544e+02
3.000000000000000000e+00,2.378534455233176743e+02,2.398530632875129243e+02,2.397521300939519904e+02
3.250000000000000000e+00,2.378878963409499363e+02,2.398891069299303354e+02,2.397875237715002470e+02
3.500000000000000000e+00,2.379225813921828774e+02,2.399253812598770708e+02,2.398231500135126169e+02
3.750000000000000000e+00,2.379575000355100940e+02,2.399618855010702134e+02,2.398590080576283583e+02
4.000000000000000000e+00,2.379926516251048838e+02,2.399986188726778948e+02,2.398950971368840897e+02
4.250000000000000000e+00,2.380280355108322112e+02,2.400355805893428851e+02,2.399314164797371518e+02
4.500000000000000000e+00,2.380636510382605593e+02,2.400727698612059555e+02,2.399679653100883741e+02
4.750000000000000000e+00,2.380994975486742646e+02,2.401101858939295823e+02,2.400047428473065168e+02
5.000000000000000000e+00,2.381355743790855399e+02,2.401478278887217925e+02,2.400417483062499002e+02
5.250000000000000000e+00,2.381718808622468373e+02,2.401856950423597539e+02,2.400789808972912738e+02
5.500000000000000000e+00,2.382084163266630412e+02,2.402237865472138481e+02,2.401164398263408373e+02
5.750000000000000000e+00,2.382451800966040878e+02,2.402621015912716871e+02,2.401541242948700301e+02
6.000000000000000000e+00,2.382821714921173282e+02,2.403006393581621865e+02,2.401920334999354338e+02
6.250000000000000000e+00,2.383193898290400909e+02,2.403393990271797236e+02,2.402301666342024760e+02
6.500000000000000000e+00,2.383568344190124435e+02,2.403783797733084668e+02,2.402685228859694178e+02
6.750000000000000000e+00,2.383945045694898397e+02,2.404175807672467045e+02,2.403071014391914275e+02
7.000000000000000000e+00,2.384323995837559380e+02,2.404570011754313441e+02,2.403459014735048527e+02
7.250000000000000000e+00,2.384705187609355335e+02,2.404966401600623271e+02,2.403849221642512077e+02
7.500000000000000000e+00,2.385088613960074326e+02,2.405364968791273554e+02,2.404241626825016453e+02
7.750000000000000000e+00,2.385474267798175845e+02,2.405765704864267320e+02,2.404636221950812853e+02
8.000000000000000000e+00,2.385862141990921828e+02,2.406168601315976332e+02,2.405032998645934583e+02
8.250000000000000000e+00,2.386252229364507684e+02,2.406573649601396028e+02,2.405431948494454275e+02
8.500000000000000000e+00,2.386644522704196163e+02,2.406980841134390232e+02,2.405833063038711828e+02
8.750000000000000000e+00,2.387039014754450079e+02,2.407390167287942688e+02,2.406236333779574466e+02
9.000000000000000000e+00,2.387435698219067035e+02,2.407801619394408590e+02,2.406641752176681734e+02
9.250000000000000000e+00,2.387834565761313286e+02,2.408215188745764124e+02,2.407049309648693338e+02
9.500000000000000000e+00,2.388235610004060732e+02,2.408630866593862265e+02,2.407458997573540103e+02
9.750000000000000000e+00,2.388638823529922490e+02,2.409048644150681753e+02,2.407870807288671813e+02
1.000000000000000000e+01,2.389044198881391026e+02,2.409468512588583167e+02,2.408284730091311303e+02
1.025000000000000000e+01,2.389451728560974573e+02,2.409890463040562736e+02,2.408700757238703716e+02
1.050000000000000000e+01,2.389861405031337256e+02,2.410314486600506427e+02,2.409118879948369738e+02
1.075000000000000000e+01,2.390273220715437787e+02,2.410740574323447731e+02,2.409539089398358840e+02
1.100000000000000000e+01,2.390687167996669587e+02,2.411168717225821467e+02,2.409961376727502227e+02
1.125000000000000000e+01,2.391103239219001750e+02,2.411598906285722137e+02,2.410385733035666362e+02
1.150000000000000000e+01,2.391521426687121163e+02,2.412031132443161425e+02,2.410812149384015868e+02
1.175000000000000000e+01,2.391941722666574037e+02,2.412465386600325985e+02,2.411240616795256813e+02
1.200000000000000000e+01,2.392364119383908587e+02,2.412901659621835790e+02,2.411671126253899331e+02
1.225000000000000000e+01,2.392788609026821121e+02,2.413339942335004196e+02,2.412103668706515407e+02
1.250000000000000000e+01,2.393215183744297292e+02,2.413780225530096857e+02,2.412538235061995806e+02
1.275000000000000000e+01,2.393643835646759896e+02,2.414222499960593495e+02,2.412974816191806156e+02
1.300000000000000000e+01,2.394074556806213252e+02,2.414666756343447673e+02,2.413413402930247287e+02
1.325000000000000000e+01,2.394507339256390992e+02,2.415112985359347988e+02,2.413853986074714442e+02
1.350000000000000000e+01,2.394942174992902437e+02,2.415561177652981257e+02,2.414296556385956762e+02
1.375000000000000000e+01,2.395379055973380389e+02,2.416011323833293147e+02,2.414741104588336214e+02
1.400000000000000000e+01,2.395817974117632048e+02,2.416463414473754199e+02,2.415187621370091051e+02
1.425000000000000000e+01,2.396258921307785101e+02,2.416917440112619317e+02,2.415636097383595597e+02
1.450000000000000000e+01,2.396701889388441202e+02,2.417373391253194370e+02,2.416086523245620867e+02
1.475000000000000000e+01,2.397146870166824328e+02,2.417831258364099369e+02,2.416538889537595196e+02
1.500000000000000000e+01,2.397593855412933124e+02,2.418291031879533648e+02,2.416993186805879645e+02
1.525000000000000000e+01,2.398042836859694376e+02,2.418752702199540465e+02,2.417449405562011862e+02
1.550000000000000000e+01,2.398493806203113365e+02,2.419216259690273887e+02,2.417907536282982619e+02
1.575000000000000000e+01,2.398946755102429620e+02,2.419681694684262538e+02,2.418367569411495310e+02
1.600000000000000000e+01,2.399401675180270672e+02,2.420148997480677622e+02,2.418829495356232826e+02
1.625000000000000000e+01,2.399858558022805823e+02,2.420618158345598943e+02,2.419293304492119603e+02
1.650000000000000000e+01,2.400317395179903883e+02,2.421089167512282927e+02,2.419758987160589925e+02
1.675000000000000000e+01,2.400778178165287216e+02,2.421562015181427796e+02,2.420226533669850824e+02
1.700000000000000000e+01,2.401240898456690047e+02,2.422036691521444141e+02,2.420695934295148959e+02
1.725000000000000000e+01,2.401705547496015924e+02,2.422513186668719811e+02,2.421167179279038635e+02
1.750000000000000000e+01,2.402172116689496022e+02,2.422991490727891915e+02,2.421640258831645269e+02
1.775000000000000000e+01,2.402640597407847451e+02,2.423471593772112271e+02,2.422115163130935969e+02
1.800000000000000000e+01,2.403110980986433560e+02,2.423953485843317992e+02,2.422591882322983565e+02
1.825000000000000000e+01,2.403583258725423946e+02,2.424437156952499492e+02,2.423070406522233498e+02
1.850000000000000000e+01,2.404057421889955322e+02,2.424922597079971638e+02,2.423550725811782627e+02
1.875000000000000000e+01,2.404533461710293238e+02,2.425409796175642327e+02,2.424032830243630201e+02
1.900000000000000000e+01,2.405011369381994086e+02,2.425898744159282217e+02,2.424516709838958093e+02
1.925000000000000000e+01,2.405491136066067668e+02,2.426389430920795576e+02,2.425002354588394837e+02
1.950000000000000000e+01,2.405972752889141759e+02,2.426881846320489444e+02,2.425489754452287912e+02
1.975000000000000000e+01,2.406456210943624399e+02,2.427375980189346762e+02,2.425978899360970331e+02
2.000000000000000000e+01,2.406941501287871006e+02,2.427871822329294105e+02,2.426469779215030371e+02
2.025000000000000000e+01,2.407428614946347523e+02,2.428369362513473959e+02,2.426962383885582426e+02
2.050000000000000000e+01,2.407917542909797248e+02,2.428868590486516155e+02,2.427456703214535025e+02
2.075000000000000000e+01,2.408408276135408812e+02,2.429369495964808436e+02,2.427952727014863399e+02
