doy,R_roi_arb,R_200_270_arb,dRdE_248_arb
1.000000000000000000e+00,3.103594043046699600e+16,4.848023355575775781e+13,1.387128849725816345e+11
1.100000000000000000e+01,3.138941891048987200e+16,4.895833985831538281e+13,1.401877405572237549e+11
2.100000000000000000e+01,3.182158247004032000e+16,4.954141899948021094e+13,1.419879858340177917e+11
3.100000000000000000e+01,3.232010020509253600e+16,5.021204473294900000e+13,1.440606604753067322e+11
4.100000000000000000e+01,3.287063227611269200e+16,5.095018376676295312e+13,1.463446262401525269e+11
5.100000000000000000e+01,3.345719874063011600e+16,5.173381042263663281e+13,1.487723514143230591e+11
6.100000000000000000e+01,3.406222917519191600e+16,5.253930457626827344e+13,1.512709800075594177e+11
7.100000000000000000e+01,3.466729670513342800e+16,5.334234131619228906e+13,1.537650745993307495e+11
8.100000000000000000e+01,3.525443682267154400e+16,5.411918836267761719e+13,1.561807650628013000e+11
9.100000000000000000e+01,3.580617942913358800e+16,5.484704537511996875e+13,1.584467388644915466e+11
1.010000000000000000e+02,3.630607472233667200e+16,5.550469945793374219e+13,1.604963405932831421e+11
1.110000000000000000e+02,3.673919803216216800e+16,5.607311927203490625e+13,1.622695130678575745e+11
1.210000000000000000e+02,3.709260722083641600e+16,5.653596716683071094e+13,1.637145027686232605e+11
1.310000000000000000e+02,3.735573748294100000e+16,5.688002078489996875e+13,1.647892894597746582e+11
1.410000000000000000e+02,3.752072154466488000e+16,5.709550068007121094e+13,1.654627155238614197e+11
1.510000000000000000e+02,3.758262650077925600e+16,5.717630412691272656e+13,1.657153031559361267e+11
1.525000000000000000e+02,3.758286608603367200e+16,5.717661680194495312e+13,1.657162806237635193e+11
1.530000000000000000e+02,3.758241994119273600e+16,5.717603455225817969e+13,1.657144604264147949e+11
1.600000000000000000e+02,3.754861373762684800e+16,5.713191113985828906e+13,1.655765289558999329e+11
1.610000000000000000e+02,3.753960148732331200e+16,5.712014713815187500e+13,1.655397558193464661e+11
1.678909999999999911e+02,3.744943027618958400e+16,5.700241269145118750e+13,1.651717659543392334e+11
1.710000000000000000e+02,3.739293290940401600e+16,5.692861681860303906e+13,1.649411441494865112e+11
1.810000000000000000e+02,3.714700606375056800e+16,5.660713502772037500e+13,1.639367768632081299e+11
1.910000000000000000e+02,3.680917395940346400e+16,5.616483266586002344e+13,1.625557562609981079e+11
2.010000000000000000e+02,3.638953620958727200e+16,5.561433258979296875e+13,1.608382178675193176e+11
2.110000000000000000e+02,3.590063331177386000e+16,5.497143900445394531e+13,1.588342568182482605e+11
2.210000000000000000e+02,3.535706450959720800e+16,5.425473268080201562e+13,1.566025510025691833e+11
2.310000000000000000e+02,3.477504065369794400e+16,5.348507468580828906e+13,1.542087029019930420e+11
2.410000000000000000e+02,3.417188667515890800e+16,5.268502617058060938e+13,1.517233372906035156e+11
2.510000000000000000e+02,3.356551127102706800e+16,5.187819769215136719e+13,1.492200089474169922e+11
2.610000000000000000e+02,3.297425392564804400e+16,5.108882923517684375e+13,1.467739331291985474e+11
2.710000000000000000e+02,3.241600023577984800e+16,5.034081042806849219e+13,1.444588917216491089e+11
2.810000000000000000e+02,3.190698812959218000e+16,4.965646030126233594e+13,1.423433772395253296e+11
2.910000000000000000e+02,3.146188186557233600e+16,4.905621908007014062e+13,1.404898202059661865e+11
3.010000000000000000e+02,3.109340006581162000e+16,4.855802511028996094e+13,1.389527761219090271e+11
3.110000000000000000e+02,3.081199049961007200e+16,4.817676825244336719e+13,1.377773624811752625e+11
3.210000000000000000e+02,3.062557976566140400e+16,4.792384101878705469e+13,1.369979968492985535e+11
3.310000000000000000e+02,3.053939278486162800e+16,4.780679896658508594e+13,1.366374557622580872e+11
3.350000000000000000e+02,3.053361651629272400e+16,4.779895249683635156e+13,1.366132876751156769e+11
3.410000000000000000e+02,3.055583879748956000e+16,4.782913761704095312e+13,1.367062632578230286e+11
3.510000000000000000e+02,3.067445842025931200e+16,4.799018988455375781e+13,1.372024115826961670e+11
3.610000000000000000e+02,3.089193371573801200e+16,4.828514561579506250e+13,1.381114143031157532e+11
