doy,R_roi_arb,R_200_270_arb,dRdE_248_arb
1.000000000000000000e+00,5.057087389843325440e+17,1.479904913603602812e+14,4.226675559579608154e+11
1.100000000000000000e+01,5.044381150564476160e+17,1.485639485075905000e+14,4.247122948410542603e+11
2.100000000000000000e+01,5.028957229226880000e+17,1.492573242437567188e+14,4.271888832616777344e+11
3.100000000000000000e+01,5.011313963404977920e+17,1.500467225558613750e+14,4.300142318193045044e+11
4.100000000000000000e+01,4.992011780521500800e+17,1.509056645994374688e+14,4.330956545733637085e+11
5.100000000000000000e+01,4.971652027536882560e+17,1.518062450412343750e+14,4.363346937138482056e+11
6.100000000000000000e+01,4.950851672134869760e+17,1.527199725364577188e+14,4.396299581257160645e+11
7.100000000000000000e+01,4.930225256980226560e+17,1.536189567144702188e+14,4.428812127159288330e+11
8.100000000000000000e+01,4.910374116086922880e+17,1.544773350409217500e+14,4.459943594013803101e+11
9.100000000000000000e+01,4.891864508193135360e+17,1.552715721060010625e+14,4.488827217877979736e+11
1.010000000000000000e+02,4.875213323509533440e+17,1.559809245264429688e+14,4.514689422531364746e+11
1.110000000000000000e+02,4.860876402516640640e+17,1.565877289135404688e+14,4.536863183410451660e+11
1.210000000000000000e+02,4.849239288853317120e+17,1.570775377165056875e+14,4.554796326255993652e+11
1.310000000000000000e+02,4.840610203949232640e+17,1.574391439250433750e+14,4.568055853050604248e+11
1.410000000000000000e+02,4.835214969563116160e+17,1.576645391571768750e+14,4.576329540992421265e+11
1.510000000000000000e+02,4.833193597981358080e+17,1.577488471369900625e+14,4.579426025210913086e+11
1.525000000000000000e+02,4.833185778037619840e+17,1.577491731469095000e+14,4.579438000841043091e+11
1.530000000000000000e+02,4.833200340006623360e+17,1.577485660641839688e+14,4.579415700307910767e+11
1.600000000000000000e+02,4.834304007402090240e+17,1.577025431929003750e+14,4.577725244098203735e+11
1.610000000000000000e+02,4.834598312025777280e+17,1.576902669024409062e+14,4.577274374504203491e+11
1.678909999999999911e+02,4.837544867999166080e+17,1.575672694331349688e+14,4.572758181602987061e+11
1.710000000000000000e+02,4.839392833070572800e+17,1.574900485331176250e+14,4.569923838249281616e+11
1.810000000000000000e+02,4.847452874225607680e+17,1.571525101859288438e+14,4.557544027548184204e+11
1.910000000000000000e+02,4.858567882453124480e+17,1.566850903180894375e+14,4.540425347306419067e+11
2.010000000000000000e+02,4.872444174824040320e+17,1.560984146956040000e+14,4.518979071228828735e+11
2.110000000000000000e+02,4.888709695196423680e+17,1.554063456856757500e+14,4.493736101920640259e+11
2.210000000000000000e+02,4.906920667167646720e+17,1.546259728600770000e+14,4.465343230165192261e+11
2.310000000000000000e+02,4.926570422131706880e+17,1.537775004164536875e+14,4.434555640679840088e+11
2.410000000000000000e+02,4.947100630362535040e+17,1.528839893174428125e+14,4.402224529642927246e+11
2.510000000000000000e+02,4.967915054110980480e+17,1.519709210285756875e+14,4.369279014889458618e+11
2.610000000000000000e+02,4.988399754339287680e+17,1.510658466542225938e+14,4.336711440774075928e+11
2.710000000000000000e+02,5.007937980254513280e+17,1.501973087950178750e+14,4.305539089558081665e+11
2.810000000000000000e+02,5.025923356615975680e+17,1.493933531562163750e+14,4.276753036009362793e+11
2.910000000000000000e+02,5.041786491563735040e+17,1.486808014234258750e+14,4.251293393989317017e+11
3.010000000000000000e+02,5.055016327554754560e+17,1.480840998708328125e+14,4.230011137536704102e+11
3.110000000000000000e+02,5.065180307304774400e+17,1.476241960479531875e+14,4.213631297966787109e+11
3.210000000000000000e+02,5.071942204769536000e+17,1.473175252645673125e+14,4.202720191036381226e+11
3.310000000000000000e+02,5.075076455816147840e+17,1.471751880432321250e+14,4.197658990711976318e+11
3.350000000000000000e+02,5.075286692917356160e+17,1.471656361492321250e+14,4.197319415244424438e+11
3.410000000000000000e+02,5.074477998514849920e+17,1.472023753450392500e+14,4.198625562784334717e+11
3.510000000000000000e+02,5.070166917735604480e+17,1.473980938314935938e+14,4.205585888729348145e+11
3.610000000000000000e+02,5.062287554312731520e+17,1.477552184952984062e+14,4.218295710607550049e+11
