m_GeV,delta_keV,halo,eff_sigma_keV,N_events,N_noeff_all_E
300.0,0.0,sun,8.0,381668743.8563151,524967277.12641174
300.0,0.0,sun,11.5,381668988.1811379,524967277.12641174
300.0,0.0,sun,15.0,381669279.2397165,524967277.12641174
300.0,0.0,annual,8.0,380751960.9394523,523610977.3788147
300.0,0.0,annual,11.5,380752208.16726303,523610977.3788147
300.0,0.0,annual,15.0,380752502.7655637,523610977.3788147
300.0,0.0,june16,8.0,372889897.9982832,511789350.1446181
300.0,0.0,june16,11.5,372890168.4603896,511789350.1446181
300.0,0.0,june16,15.0,372890491.294114,511789350.1446181
300.0,0.0,dec16,8.0,388712005.4300688,535623719.93337584
300.0,0.0,dec16,11.5,388712229.5168423,535623719.93337584
300.0,0.0,dec16,15.0,388712496.0167001,535623719.93337584
300.0,0.0,annual_vesc528,8.0,381488238.67059296,524659332.14433014
300.0,0.0,annual_vesc528,11.5,381488483.5101528,524659332.14433014
300.0,0.0,annual_vesc528,15.0,381488775.14161843,524659332.14433014
300.0,0.0,annual_vesc560,8.0,380157124.0826791,522766010.62533253
300.0,0.0,annual_vesc560,11.5,380157373.20942646,522766010.62533253
300.0,0.0,annual_vesc560,15.0,380157670.1675782,522766010.62533253
300.0,50.0,sun,8.0,125300196.16929144,136953697.7412874
300.0,50.0,sun,11.5,125300323.57889353,136953697.7412874
300.0,50.0,sun,15.0,125300475.16927844,136953697.7412874
300.0,50.0,annual,8.0,125945807.60704145,137712861.16612598
300.0,50.0,annual,11.5,125945937.10120687,137712861.16612598
300.0,50.0,annual,15.0,125946091.2174051,137712861.16612598
300.0,50.0,june16,8.0,131714472.15716766,144394780.63384533
300.0,50.0,june16,11.5,131714617.52231139,144394780.63384533
300.0,50.0,june16,15.0,131714790.81609885,144394780.63384533
300.0,50.0,dec16,8.0,120051096.53787692,130907509.1717969
300.0,50.0,dec16,11.5,120051210.42753862,130907509.1717969
300.0,50.0,dec16,15.0,120051345.7020273,130907509.1717969
300.0,50.0,annual_vesc528,8.0,125617205.37704511,137272697.70725745
300.0,50.0,annual_vesc528,11.5,125617332.52035514,137272697.70725745
300.0,50.0,annual_vesc528,15.0,125617483.7360558,137272697.70725745
300.0,50.0,annual_vesc560,8.0,126205815.13480987,138062663.46749437
300.0,50.0,annual_vesc560,11.5,126205946.51284689,138062663.46749437
300.0,50.0,annual_vesc560,15.0,126206102.95461197,138062663.46749437
300.0,100.0,sun,8.0,16492928.681815442,17192303.094095163
300.0,100.0,sun,11.5,16492987.564288704,17192303.094095163
300.0,100.0,sun,15.0,16493057.596960189,17192303.094095163
300.0,100.0,annual,8.0,16756911.099481637,17467970.48663545
300.0,100.0,annual,11.5,16756971.286010236,17467970.48663545
300.0,100.0,annual,15.0,16757042.893624797,17467970.48663545
300.0,100.0,june16,8.0,18758594.855029203,19557134.11928119
300.0,100.0,june16,11.5,18758664.51171427,19557134.11928119
300.0,100.0,june16,15.0,18758747.53042812,19557134.11928119
300.0,100.0,dec16,8.0,14791020.506775044,15416460.24529141
300.0,100.0,dec16,11.5,14791071.502786491,15416460.24529141
300.0,100.0,dec16,15.0,14791132.043511521,15416460.24529141
300.0,100.0,annual_vesc528,8.0,16422588.370035212,17117549.44341808
300.0,100.0,annual_vesc528,11.5,16422646.481564997,17117549.44341808
300.0,100.0,annual_vesc528,15.0,16422715.540456299,17117549.44341808
300.0,100.0,annual_vesc560,8.0,17030197.346800294,17754815.08804238
300.0,100.0,annual_vesc560,11.5,17030259.21770973,17754815.08804238
300.0,100.0,annual_vesc560,15.0,17030332.895858206,17754815.08804238
300.0,150.0,sun,8.0,1338031.0803506775,1395572.6131948542
300.0,150.0,sun,11.5,1338054.3007604654,1395572.6131948542
300.0,150.0,sun,15.0,1338081.9250165985,1395572.6131948542
300.0,150.0,annual,8.0,1380274.7556775606,1439632.7144511521
300.0,150.0,annual,11.5,1380298.6898687507,1439632.7144511521
300.0,150.0,annual,15.0,1380327.1755805835,1439632.7144511521
300.0,150.0,june16,8.0,1666636.8937944167,1738314.216990674
300.0,150.0,june16,11.5,1666665.7628777334,1738314.216990674
300.0,150.0,june16,15.0,1666700.1920193094,1738314.216990674
300.0,150.0,dec16,8.0,1108020.3250510732,1155664.0077607015
300.0,150.0,dec16,11.5,1108039.538842684,1155664.0077607015
300.0,150.0,dec16,15.0,1108062.3430677643,1155664.0077607015
300.0,150.0,annual_vesc528,8.0,1279212.9908913823,1334227.586972794
300.0,150.0,annual_vesc528,11.5,1279235.289405329,1334227.586972794
300.0,150.0,annual_vesc528,15.0,1279261.772970632,1334227.586972794
300.0,150.0,annual_vesc560,8.0,1468561.7090447985,1531708.660639261
