mu_GeV,tanb,hierarchy,delta_target_keV,M1_TeV,M2_TeV,leading_order_delta_keV,tree_charged_neutral_MeV
300.0,2.0,bino_only(M2=1e9),300.0,6542.805400075747,inf,293.5907766839224,0.2648454830591618
300.0,2.0,bino_only(M2=1e9),350.0,5590.8343109058405,inf,343.5815143641361,0.30984044212800654
300.0,2.0,bino_only(M2=1e9),370.0,5283.110772711529,inf,363.5939887957535,0.32785113643285513
300.0,2.0,bino_only(M2=1e9),385.0,5073.979620611039,inf,378.5800225324265,0.34134392194573593
300.0,2.0,M2=2M1,300.0,17061.044346582363,34122.088693164726,299.9969758929371,0.1185614917744715
300.0,2.0,M2=2M1,350.0,14623.764913211093,29247.529826422186,349.9961699279074,0.13831704649192034
300.0,2.0,M2=2M1,370.0,13833.327218183502,27666.654436367004,369.99498593673076,0.1462225892510105
300.0,2.0,M2=2M1,385.0,13294.364411440629,26588.728822881258,384.9948407571419,0.15214872371416277
300.0,2.0,wino_only(M1=1e9),300.0,inf,21453.209710006668,298.0770181870381,0.029124298634997103
300.0,2.0,wino_only(M1=1e9),350.0,inf,18371.622771182567,348.0753366507524,0.033717211806560954
300.0,2.0,wino_only(M1=1e9),370.0,inf,17373.306351717598,368.0766718459317,0.03555699362323139
300.0,2.0,wino_only(M1=1e9),385.0,inf,16693.107545023217,383.0747968077687,0.03693920626801628
300.0,2.0,M2=-2M1,300.0,4254.165804476812,-8508.331608953624,-300.0463851236707,0.6373271846200623
300.0,2.0,M2=-2M1,350.0,3646.3339946291853,-7292.667989258371,-350.0631245602087,0.7435622636648986
300.0,2.0,M2=-2M1,370.0,3449.197048559087,-6898.394097118174,-370.070788470389,0.7860585282628563
300.0,2.0,M2=-2M1,385.0,3314.7865893767375,-6629.573178753475,-385.0766970762977,0.8179301653967741
300.0,10.0,bino_only(M2=1e9),300.0,6538.142370119209,inf,293.8001668301048,0.17843792630856115
300.0,10.0,bino_only(M2=1e9),350.0,5587.217973133455,inf,343.8038981720103,0.20839222304402938
300.0,10.0,bino_only(M2=1e9),370.0,5280.026122991471,inf,363.8064044296212,0.2203722750664383
300.0,10.0,bino_only(M2=1e9),385.0,5070.91322107426,inf,378.8089512391736,0.2293595389346592
300.0,10.0,M2=2M1,300.0,17060.961313277632,34121.922626555264,299.9984359361234,0.14221792548596568
300.0,10.0,M2=2M1,350.0,14623.59225949153,29247.18451898306,350.0003021643305,0.16592055567343778
300.0,10.0,M2=2M1,370.0,13833.141886934834,27666.28377386967,369.9999429908335,0.1754011631760477
