n_low,model,cls,op,tau,mass,delta,q0,s_hat,p_local,Z_local,Z_asymptotic
0,O1s_m10,elastic,1,s,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O1s_m12,elastic,1,s,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O1s_m14,elastic,1,s,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O1s_m17,elastic,1,s,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O1s_m21,elastic,1,s,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O1s_m30,elastic,1,s,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O1s_m40,elastic,1,s,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O1s_m50,elastic,1,s,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O1s_m100,elastic,1,s,100,0.0,0.0,0.0,1.0,0.0,0.0
0,O1s_m200,elastic,1,s,200,0.0,0.0,0.0,1.0,0.0,0.0
0,O1s_m400,elastic,1,s,400,0.0,0.0,0.0,1.0,0.0,0.0
0,O1s_m1000,elastic,1,s,1000,0.0,0.0,0.0,1.0,0.0,0.0
0,O1s_m4000,elastic,1,s,4000,0.0,0.0,0.0,1.0,0.0,0.0
0,O1v_m10,elastic,1,v,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O1v_m12,elastic,1,v,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O1v_m14,elastic,1,v,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O1v_m17,elastic,1,v,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O1v_m21,elastic,1,v,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O1v_m30,elastic,1,v,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O1v_m40,elastic,1,v,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O1v_m50,elastic,1,v,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O1v_m100,elastic,1,v,100,0.0,0.0,0.0,1.0,0.0,0.0
0,O1v_m200,elastic,1,v,200,0.0,0.0,0.0,1.0,0.0,0.0
0,O1v_m400,elastic,1,v,400,0.0,0.0,0.0,1.0,0.0,0.0
0,O1v_m1000,elastic,1,v,1000,0.0,0.0309840627014637,0.16584997517929878,0.3915133333333333,0.2753769296001896,0.17602290213108063
0,O1v_m4000,elastic,1,v,4000,0.0,0.1126498132944107,0.2991816559660947,0.31038666666666664,0.49475463076192516,0.33563345670700073
0,O3s_m10,elastic,3,s,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O3s_m12,elastic,3,s,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O3s_m14,elastic,3,s,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O3s_m17,elastic,3,s,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O3s_m21,elastic,3,s,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O3s_m30,elastic,3,s,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O3s_m40,elastic,3,s,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O3s_m50,elastic,3,s,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O3s_m100,elastic,3,s,100,0.0,0.0,0.0,1.0,0.0,0.0
0,O3s_m200,elastic,3,s,200,0.0,2.1982126235961914,0.8588539720949484,0.05023333333333333,1.6425954313164062,1.4826370477676392
0,O3s_m400,elastic,3,s,400,0.0,3.4856088161468506,0.9310115365224192,0.022033333333333332,2.0134561210814512,1.8669785261154175
0,O3s_m1000,elastic,3,s,1000,0.0,4.0992231369018555,0.9502037317870418,0.01544,2.1586156189892365,2.024653911590576
0,O3s_m4000,elastic,3,s,4000,0.0,4.359386444091797,0.9565544833458262,0.013406666666666667,2.214224586783081,2.08791446685791
0,O3v_m10,elastic,3,v,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O3v_m12,elastic,3,v,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O3v_m14,elastic,3,v,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O3v_m17,elastic,3,v,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O3v_m21,elastic,3,v,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O3v_m30,elastic,3,v,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O3v_m40,elastic,3,v,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O3v_m50,elastic,3,v,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O3v_m100,elastic,3,v,100,0.0,0.10635093599557877,0.29167067240632605,0.21344,0.7945419455903134,0.3261149227619171
0,O3v_m200,elastic,3,v,200,0.0,2.6787025928497314,0.8926909477595473,0.025386666666666665,1.9533905652558612,1.6366742849349976
0,O3v_m400,elastic,3,v,400,0.0,3.6683974266052246,0.9374406350689242,0.01612,2.14142227772771,1.9153060913085938
0,O3v_m1000,elastic,3,v,1000,0.0,4.113811492919922,0.9505844483355759,0.013426666666666667,2.213643196433141,2.0282533168792725
0,O3v_m4000,elastic,3,v,4000,0.0,4.298233985900879,0.9551422649092274,0.01254,2.2401682815982853,2.07321834564209
0,O4s_m10,elastic,4,s,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O4s_m12,elastic,4,s,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O4s_m14,elastic,4,s,14,0.0,0.0,0.0,1.0,0.0,0.0
