subspace,n_models_raw,n_models_distinct_1pct,p_global@2.0,Z_global@2.0,N_eff@2.0,N_eff_err@2.0,p_global@2.5,Z_global@2.5,N_eff@2.5,N_eff_err@2.5,p_global@3.0,Z_global@3.0,N_eff@3.0,N_eff_err@3.0,p_global@3.4,Z_global@3.4,N_eff@3.4,N_eff_err@3.4,Bonferroni_Z_global@3.4_raw,Bonferroni_Z_global@3.4_distinct
(c) full LZ-like space (elastic 14 ops x s/v x 13 m + inelastic O1/O4 x s/v x 3 m x 8 delta),456,287,0.10499333333333333,1.2536021024449924,4.820082083487185,0.04061977957176799,0.03660666666666667,1.7914985109919161,5.987052843330448,0.08232102255615459,0.01114,2.285560213736885,8.29318320144436,0.20401773015306368,0.0041066666666666665,2.643171864411803,12.211550931108233,0.4930311588298224,1.0209471254598395,1.3005941850705716
(a) inelastic O1/O4 s+v (96 raw),92,65,0.07043333333333333,1.4725713060550136,3.173729588029615,0.03203254920976928,0.024146666666666667,1.9747781178947068,3.924045124028851,0.06600522725950797,0.008033333333333333,2.407397612504752,5.97106522964561,0.1727073966964321,0.0033466666666666666,2.711728784296527,9.94782837421829,0.4447383394574773,1.8663316102254344,2.0159920746064572
(a') inelastic O1/O4 isoscalar only (48 raw),46,40,0.06569333333333334,1.5086561900999733,2.9527147902297446,0.030778972561036344,0.020633333333333333,2.0408406695235213,3.347100567061232,0.06079581183074256,0.007253333333333333,2.444466216058926,5.389186371791437,0.1639798566828663,0.0029866666666666665,2.7492416353644042,8.876141172091412,0.4199860598667122,2.15710489321759,2.2121783919799336
"(b) elastic, m >= 100 GeV (all operators, s+v)",140,116,0.06867333333333334,1.485744683591891,3.0915337577744952,0.03157002649072305,0.023253333333333334,1.990765565810408,3.7771490555445992,0.06471351012589865,0.005933333333333333,2.516084682702202,4.405509026985154,0.14811327441074607,0.00152,2.9636640233047977,4.514004129148579,0.29917471553557773,1.6729344835972384,1.7614185381731144
"(b') elastic, m >= 100 GeV, isoscalar only",70,65,0.06552,1.5100134195537527,2.9446539403607233,0.030732638676701063,0.021893333333333334,2.0161272937546126,3.553773992980266,0.06270526541670929,0.00534,2.5529983571055226,3.963776476081338,0.14042877107025964,0.00138,2.9932760318091396,4.097953377064978,0.2850242071918312,1.9847697257656778,2.0159920746064572
"elastic, all masses",364,229,0.10190666666666667,1.2707619940606514,4.670477768574071,0.039880701743713054,0.034686666666666664,1.8159806962895677,5.667424651166816,0.07997371619232085,0.008673333333333333,2.3792763325533555,6.448846121701207,0.17957106285604052,0.002213333333333333,2.8460397649324793,6.5753061514869975,0.3612669060792948,1.1618792781309177,1.4244591446786137
"elastic, m <= 50 GeV",224,115,0.08140666666666667,1.395671855414103,3.689744887258732,0.03484894492790502,0.02516,1.9572336861939945,4.090836371200559,0.06744601047051635,0.005546666666666667,2.539744950688578,4.117608462382612,0.14315012974155605,0.00132,3.0068154311692163,3.919663766974996,0.2787424261514835,1.4362039653382903,1.765416864510329
"single model: O1s 1000 GeV (sanity, N_eff=1)",1,1,0.02292,1.9968636213191184,1.0075539187109004,0.01738441377165839,0.005973333333333333,2.5137157889820223,0.9618270251994214,0.03222883510909291,0.0011133333333333334,3.058205709151582,0.8246560051674525,0.06384935372754796,0.0002466666666666667,3.484350308103031,0.7320691817242582,0.12036627857397225,3.4,3.4
single model: O6s 1000 GeV,1,1,0.02228,2.0087844316628733,0.9791003903503784,0.0171287614392725,0.006,2.5121443279304616,0.9661338421594402,0.03230156091554509,0.0013866666666666667,2.9918050178689546,1.0272569901083912,0.07127689847630897,0.00048,3.3019943613003306,1.4247333158583437,0.16794674535313248,3.4,3.4
"O1s elastic, 13 masses",13,12,0.05122,1.633137886293619,2.284731993997955,0.02676314609256858,0.01556,2.155534908038003,2.517621325792665,0.05252303612228815,0.00332,2.7143797592478434,2.461873627943491,0.11050283401552341,0.0006933333333333333,3.197412098760942,2.0581677564675718,0.20188995794307518,2.621274833615142,2.648444925081725
"O1s+O1v elastic, 13 masses",26,20,0.05244666666666667,1.621579881064742,2.340949349825945,0.02711678403724571,0.015946666666666668,2.145744943661701,2.5806898515932217,0.0531925242110145,0.0034466666666666665,2.701953832393012,2.5559628637196403,0.11260539905474642,0.00074,3.1785768083405865,2.1967495660604626,0.2085834367879712,2.3756025784071144,2.47090476009254
"inelastic O1s 1000 GeV, LZ delta grid (8)",8,8,0.06281333333333333,1.53157774970536,2.8189742677533114,0.03000424702127069,0.018446666666666667,2.086942491018668,2.9890595546269196,0.057356062453278955,0.005686666666666666,2.531013924745322,4.221835391972084,0.14496586230244457,0.0014133333333333333,2.9859848282998223,4.19700778921569,0.28845561738961334,2.7826996705181033,2.7826996705181033
"(d) continuous delta scan O1s 1000 GeV, 10 keV steps, delta <= 100",11,10,0.03598666666666667,1.799286747532368,1.5925910403023587,0.02207855526192981,0.010226666666666667,2.3179261802567575,1.6502289676403945,0.042351185752969256,0.00204,2.8719093381108323,1.5117475348247837,0.08650915423308625,0.0005466666666666667,3.265338499085743,1.6226670542091584,0.17924260123327684,2.6777232392367787,2.709494348589987
"(d) continuous delta scan O1s 1000 GeV, 10 keV steps, delta <= 200",21,20,0.05361333333333333,1.6107846556220125,2.394484508895961,0.02745052745484511,0.016326666666666666,2.136320079228259,2.642695138113608,0.053843358812991404,0.0035533333333333333,2.6918041423100854,2.63520518066401,0.11434680504209438,0.0008133333333333333,3.151082265351171,2.414534057634352,0.21869060094719406,2.453406578650214,2.47090476009254
"(d) continuous delta scan O1s 1000 GeV, 10 keV steps, delta <= 300",31,30,0.06423333333333334,1.52017632211594,2.8848643334127653,0.03038754212813566,0.01874,2.080496678221426,3.037043097285239,0.05782757480669365,0.005013333333333333,2.574908296465145,3.7206878683892364,0.13602105826546707,0.00158,2.9517291296225348,4.692329452516181,0.30504066176963596,2.3099736231773402,2.3223191725054955
"(d) continuous delta scan O1s 1000 GeV, 10 keV steps, delta <= 350",36,35,0.06423333333333334,1.52017632211594,2.8848643334127653,0.03038754212813566,0.019193333333333333,2.0707018562140016,3.1112277024563646,0.05854988895348101,0.0060866666666666664,2.5070794861691854,4.519707502641051,0.15003803346390798,0.0024933333333333335,2.807893813396315,7.408161097874062,0.3835454442694721,2.253003835563253,2.2638222640816177
"(d) continuous delta scan O1s 1000 GeV, 10 keV steps, delta <= 400",40,39,0.06423333333333334,1.52017632211594,2.8848643334127653,0.03038754212813566,0.019193333333333333,2.0707018562140016,3.1112277024563646,0.05854988895348101,0.006873333333333334,2.4638159838785922,5.105872527027909,0.15956556752944406,0.00312,2.7348959356411178,9.273017232168176,0.4293158064494822,2.2121783919799336,2.2220417724300123
