width,k,line,E_keV,tail,f,Ne_mean,sigma_Ne,z_event,z_ROI_edge,P_Ne_le_event,P_Ne_le_ROI,P_V,P_G,P_B,S1c_if_Ne_event,P_G_over_P_V
cal,0.5,Xe124_KK,64.3,nest_skew,0.0,1118.3103491653558,135.11620771921187,6.28845852284176,5.24644073998933,5.1156418270766335e-19,2.9432139226605616e-13,1.97019294004806e-18,1.79981267661298e-13,6.97389691814426e-21,496.7002665330681,91352.10263057161
cal,0.5,Xe124_KK,64.3,nest_skew,0.1,1006.4793142488202,135.06707479291512,5.46277939476115,4.4203825603670825,2.3493843128439113e-14,1.5586804774506985e-09,6.527180928165922e-14,9.58929407853813e-10,5.829478733311782e-16,496.7002665330681,14691.32567960336
cal,0.5,Xe124_KK,64.3,nest_skew,0.2,894.6482793322847,135.01220031255627,4.636696511305169,3.593876004202393,1.9451045731524565e-10,1.5352566527931932e-06,3.901809065483365e-10,9.524086764344331e-07,8.740534865932562e-12,496.7002665330681,2440.9412671156592
cal,0.5,Xe124_KK,64.3,nest_skew,0.3,782.817244415749,134.9515772741834,3.810104139884645,2.7668151762517925,2.9707212040939756e-07,0.0002945694732479076,4.2921386486656384e-07,0.00018462636136530516,2.3973798583450454e-08,496.7002665330681,430.15004052281193
cal,0.5,Xe124_KK,64.3,nest_skew,0.4,670.9862094992135,134.88519792687086,2.9828960814360803,1.939093697194231,8.705122006744115e-05,0.011997556417571942,8.951562380275964e-05,0.007554212975633236,1.2429494810363602e-05,496.7002665330681,84.38988251121756
cal,0.5,Xe124_KK,64.3,gauss,0.0,1118.3103491653558,135.11620771921187,6.28845852284176,5.24644073998933,1.6031685351882855e-10,7.753284707334406e-08,1.8418848068781897e-10,4.854028079458937e-08,2.0744877368667942e-11,496.7002665330681,263.5359204512919
cal,0.5,Xe124_KK,64.3,gauss,0.1,1006.4793142488202,135.06707479291512,5.46277939476115,4.4203825603670825,2.3436848262955384e-08,4.926316001171533e-06,2.323026612278681e-08,3.0894675137148814e-06,3.825835768768527e-09,496.7002665330681,132.99320366736524
cal,0.5,Xe124_KK,64.3,gauss,0.2,894.6482793322847,135.01220031255627,4.636696511305169,3.593876004202393,1.7701080818615564e-06,0.00016289746347236843,1.4976412892149355e-06,0.00010187386309131645,3.642235800358955e-07,496.7002665330681,68.02287291686436
cal,0.5,Xe124_KK,64.3,gauss,0.3,782.817244415749,134.9515772741834,3.810104139884645,2.7668151762517925,6.945413348019789e-05,0.0028303418773005014,4.935551908550439e-05,0.0017469945460301208,1.7989559311811594e-05,496.7002665330681,35.396133571274895
cal,0.5,Xe124_KK,64.3,gauss,0.4,670.9862094992135,134.88519792687086,2.9828960814360803,1.939093697194231,0.0014276746254588103,0.026244965018644144,0.0008311524177576308,0.01563925369342868,0.0004643363052673342,496.7002665330681,18.816348673594526
cal,0.5,Xe124_KK,64.3,exp_tail,0.0,1118.3103491653558,135.11620771921187,6.28845852284176,5.24644073998933,5.064581119471069e-06,4.070321162305484e-05,1.8731384392405657e-06,2.2225970481172656e-05,2.427795126735763e-06,496.7002665330681,11.865631506758158
cal,0.5,Xe124_KK,64.3,exp_tail,0.1,1006.4793142488202,135.06707479291512,5.46277939476115,4.4203825603670825,2.640701486524655e-05,0.00021238981967184502,9.769925838316305e-06,0.00011598929195961885,1.2656430709703946e-05,496.7002665330681,11.87207496547464
cal,0.5,Xe124_KK,64.3,exp_tail,0.2,894.6482793322847,135.01220031255627,4.636696511305169,3.593876004202393,0.0001377989110785901,0.0011092467613358983,5.1001204500767084e-05,0.0006058576594322816,6.603164455945428e-05,496.7002665330681,11.879281388798752
cal,0.5,Xe124_KK,64.3,exp_tail,0.3,782.817244415749,134.9515772741834,3.810104139884645,2.7668151762517925,0.0007198048972170977,0.005799680602407714,0.000266519661750388,0.0031681871912030814,0.000344846986847312,496.7002665330681,11.887255035503847
