m_GeV,delta_keV,halo,eff_sigma_keV,N_p,N_p_lo,N_p_hi,N_p_noeff,N_iso,N_iso_lo,N_iso_hi,N_iso_noeff,N_hig,N_hig_lo,N_hig_hi,N_hig_noeff
300.0,200.0,june16,8.0,343971.4152039741,82472.61978996299,14542.356949469868,358618.66851468233,1496215.867642582,393803.4291407842,36153.448893730696,1562549.800783792,91956.53378553901,25405.70541936284,1165.95339971519,96520.09222145037
300.0,200.0,june16,11.5,343916.98144558293,82472.61978996299,14482.77145105343,358618.66851468233,1496215.0244142357,393803.4291407842,36106.37130434747,1562549.800783792,91966.20859018703,25405.70541936284,1160.4561498481564,96520.09222145037
300.0,200.0,june16,15.0,343835.6004072944,82472.61978996299,14397.505748399628,358618.66851468233,1496181.1496893766,393803.4291407842,36012.362899499545,1562549.800783792,91977.74451571914,25405.70541936284,1155.7541150781847,96520.09222145037
300.0,200.0,annual,8.0,256829.75981644457,52474.911507475525,11694.033241881129,267773.9591054739,1112123.8565665605,249646.37616321378,29110.371170270664,1161519.9225881195,68282.97433806238,16047.63474096565,938.8191580587628,71691.06582651171
300.0,200.0,annual,11.5,256786.67067180458,52474.911507475525,11646.937437264376,267773.9591054739,1112122.7153942883,249646.37616321378,29073.155102839977,1161519.9225881195,68290.45051199253,16047.63474096565,934.4628644367833,71691.06582651171
300.0,200.0,annual,15.0,256722.0484144133,52474.911507475525,11579.299039618109,267773.9591054739,1112094.7828651355,249646.37616321378,28998.513801835124,1161519.9225881195,68299.33795108172,16047.63474096565,930.7299000290622,71691.06582651171
300.0,200.0,sun,8.0,242176.22285236532,46611.21636988666,11269.324822413115,252498.6815264475,1046898.0038442151,221312.7228299288,28061.530766485575,1093430.865384113,64237.83290117803,14198.535828173832,904.9947385648704,67451.1349639043
300.0,200.0,sun,11.5,242134.84941810084,46611.21636988666,11224.120633758092,252498.6815264475,1046896.7995423371,221312.7228299288,28025.808015594474,1093430.865384113,64244.96963645362,14198.535828173832,900.8108428130719,67451.1349639043
300.0,200.0,sun,15.0,242072.75468160879,46611.21636988666,11159.143380841871,252498.6815264475,1046869.7233764895,221312.7228299288,27954.088097332806,1093430.865384113,64253.4471217923,14198.535828173832,897.2240658105962,67451.1349639043
300.0,205.0,june16,8.0,254354.5243694235,47070.380396566245,12773.14558946771,265229.8479911544,1098412.885432565,223427.71258855067,31727.38002347515,1147690.7736663292,67424.58824287825,14330.114731520162,1022.7967507242671,70878.01444966685
300.0,205.0,june16,11.5,254306.56014433462,47070.380396566245,12720.64434362426,265229.8479911544,1098412.2498496647,223427.71258855067,31685.931541410133,1147690.7736663292,67433.11914345146,14330.114731520162,1017.9387694331472,70878.01444966685
300.0,205.0,june16,15.0,254234.85617481708,47070.380396566245,12645.519164094838,265229.8479911544,1098382.515867655,223427.71258855067,31603.186000268353,1147690.7736663292,67443.27941587174,14330.114731520162,1013.7853667776174,70878.01444966685
300.0,205.0,annual,8.0,187534.10066525298,28135.07690595663,10185.203474140746,195559.50049233358,806932.4602389372,133051.03490595403,25332.65599609001,843214.2851358,49561.927913800566,8502.27428436993,816.6304100691826,52117.014383454276
300.0,205.0,annual,11.5,187496.47407662563,28135.07690595663,10144.083645873745,195559.50049233358,806931.53106596,133051.03490595403,25300.18892440428,843214.2851358,49568.45242053758,8502.27428436993,812.814271601526,52117.014383454276
300.0,205.0,annual,15.0,187440.03876615994,28135.07690595663,10085.018878557674,195559.50049233358,806907.183016538,133051.03490595403,25235.07560729318,843214.2851358,49576.197532262566,8502.27428436993,809.5454197331771,52117.014383454276
300.0,205.0,sun,8.0,176101.55328548825,24195.650769521202,9796.311217854416,183640.31894924876,756573.5305777392,114146.99009217929,24372.933144893123,790623.2605307046,46459.498542260415,7276.867633107588,785.6880127366467,48861.18009640927
300.0,205.0,sun,11.5,176065.50272456382,24195.650769521202,9756.929167338609,183640.31894924876,756572.5395578537,114146.99009217929,24341.83723201663,790623.2605307046,46465.71053980354,7276.867633107588,782.0305315074594,48861.18009640927
300.0,205.0,sun,15.0,176011.38855005126,24195.650769521202,9700.308425375471,183640.31894924876,756548.9723527482,114146.99009217929,24279.405007197092,790623.2605307046,46473.07841670771,7276.867633107588,778.8961603264023,48861.18009640927
300.0,210.0,june16,8.0,187080.89459279532,24828.49765310327,11166.25148185147,195134.54198695897,803400.608658783,117128.14876252024,27716.27578906568,840123.7982465426,49380.77161447311,7466.634771221083,893.2745111998654,52022.103406778304
300.0,210.0,june16,11.5,187038.91763264433,24828.49765310327,11120.309405060427,195134.54198695897,803400.266340124,117128.14876252024,27680.070835172828,840123.7982465426,49388.23711233546,7466.634771221083,888.9913862880666,52022.103406778304
