m_GeV,delta_keV,sigma_p_N1_cm2,eps2alphaD_over_mA4_GeV_m4,m_A_GeV,S_propagator,alpha_D_label,alpha_D,eps_required,eps_over_babar
300.0,250.0,2.4099540222830677e-42,1.9286590321981244e-14,0.3,0.4950126603212958,alpha_D=0.1,0.1,5.617745802791228e-08,5.617745802791228e-05
300.0,250.0,2.4099540222830677e-42,1.9286590321981244e-14,0.3,0.4950126603212958,alpha_D=thermal,0.007347859393541885,2.072438565363268e-07,0.00020724385653632678
300.0,250.0,2.4099540222830677e-42,1.9286590321981244e-14,1.0,0.9257478147395207,alpha_D=0.1,0.1,4.564375651315246e-07,0.0004564375651315246
300.0,250.0,2.4099540222830677e-42,1.9286590321981244e-14,1.0,0.9257478147395207,alpha_D=thermal,0.007347859393541885,1.6838405400776265e-06,0.0016838405400776265
300.0,250.0,2.4099540222830677e-42,1.9286590321981244e-14,3.0,1.0080820638910228,alpha_D=0.1,0.1,3.936609111309428e-06,0.0039366091113094285
300.0,250.0,2.4099540222830677e-42,1.9286590321981244e-14,3.0,1.0080820638910228,alpha_D=thermal,0.007347859393541885,1.452251637121871e-05,0.01452251637121871
300.0,250.0,2.4099540222830677e-42,1.9286590321981244e-14,10.0,0.9987870275780603,alpha_D=0.1,0.1,4.394315968955512e-05,0.04394315968955512
300.0,250.0,2.4099540222830677e-42,1.9286590321981244e-14,10.0,0.9987870275780603,alpha_D=thermal,0.007347859393541885,0.00016211039449186523,0.16211039449186523
300.0,300.0,2.2249259684179673e-40,1.7805831668507435e-12,0.3,0.44493095019659934,alpha_D=0.1,0.1,5.693473879900383e-07,0.0005693473879900383
300.0,300.0,2.2249259684179673e-40,1.7805831668507435e-12,0.3,0.44493095019659934,alpha_D=thermal,0.007347859393541885,2.1003753558467105e-06,0.0021003753558467104
300.0,300.0,2.2249259684179673e-40,1.7805831668507435e-12,1.0,0.9149683446019208,alpha_D=0.1,0.1,4.411416845059749e-06,0.004411416845059748
300.0,300.0,2.2249259684179673e-40,1.7805831668507435e-12,1.0,0.9149683446019208,alpha_D=thermal,0.007347859393541885,1.627412616827999e-05,0.01627412616827999
300.0,300.0,2.2249259684179673e-40,1.7805831668507435e-12,3.0,1.0018253277463016,alpha_D=0.1,0.1,3.7942648062855845e-05,0.03794264806285584
300.0,300.0,2.2249259684179673e-40,1.7805831668507435e-12,3.0,1.0018253277463016,alpha_D=thermal,0.007347859393541885,0.000139973950189057,0.13997395018905698
300.0,300.0,2.2249259684179673e-40,1.7805831668507435e-12,10.0,0.9987870275780603,alpha_D=0.1,0.1,0.00042222572021188197,0.422225720211882
300.0,300.0,2.2249259684179673e-40,1.7805831668507435e-12,10.0,0.9987870275780603,alpha_D=thermal,0.007347859393541885,0.0015576298689424775,1.5576298689424775
1000.0,250.0,1.1986893779135281e-42,9.55114876487567e-15,0.3,0.4950126603212958,alpha_D=0.1,0.1,3.9533217421561965e-08,3.9533217421561965e-05
1000.0,250.0,1.1986893779135281e-42,9.55114876487567e-15,0.3,0.4950126603212958,alpha_D=thermal,0.024492864645139615,7.988079339266481e-08,7.988079339266481e-05
1000.0,250.0,1.1986893779135281e-42,9.55114876487567e-15,1.0,0.9257478147395207,alpha_D=0.1,0.1,3.212043786806332e-07,0.0003212043786806332
