delta_keV,halo,edge,c1s_mv2_sq,sigma_SI_cm2,N_events_at_edge,effective_A_over_Z_sq,A_over_Z_sq_q0,sigma_p_edge_cm2,sigma_p_edge_q0_conversion_cm2
200.0,annual,lower,4.515e-07,1.338355690314379e-44,0.47361689112042454,4.348404924658545,5.91999572881594,5.819712474707834e-44,7.923059970297634e-44
200.0,annual,median,2.432e-06,7.209038845724409e-44,2.5511324013396957,4.348404924658545,5.91999572881594,3.134782001880277e-43,4.267747917555669e-43
200.0,annual,upper,6.098e-06,1.807595348734681e-43,6.396712739872312,4.348404924658545,5.91999572881594,7.860156516227766e-43,1.070095674393687e-42
200.0,sun,lower,4.515e-07,1.338355690314379e-44,0.4550207644535516,4.342961885498138,5.91999572881594,5.812427752274897e-44,7.923059970297634e-44
200.0,sun,median,2.432e-06,7.209038845724409e-44,2.4509645606888983,4.342961885498138,5.91999572881594,3.1308580938056594e-43,4.267747917555669e-43
200.0,sun,upper,6.098e-06,1.807595348734681e-43,6.145551764424712,4.342961885498138,5.91999572881594,7.850317703958433e-43,1.070095674393687e-42
250.0,annual,lower,2.888e-06,8.560733629297735e-44,0.30205689139733044,4.229455125252649,5.91999572881594,3.620723872435601e-43,5.067950652097358e-43
250.0,annual,median,1.74e-05,5.157782726792956e-43,1.8198718526016446,4.229455125252649,5.91999572881594,2.1814610588774048e-42,3.053405171277493e-42
250.0,annual,upper,3.874e-05,1.1483477174480409e-42,4.051829630447569,4.229455125252649,5.91999572881594,4.856885139132797e-42,6.798213582487936e-42
250.0,sun,lower,2.888e-06,8.560733629297735e-44,0.28785479155816346,4.2320427029022225,5.91999572881594,3.622939028735914e-43,5.067950652097358e-43
250.0,sun,median,1.74e-05,5.157782726792956e-43,1.734305184595583,4.2320427029022225,5.91999572881594,2.1827956752079257e-42,3.053405171277493e-42
250.0,sun,upper,3.874e-05,1.1483477174480409e-42,3.8613208535191315,4.2320427029022225,5.91999572881594,4.8598565780204043e-42,6.798213582487936e-42
300.0,annual,lower,1.284e-05,3.80608794321963e-43,0.1742948907722936,3.9355837313525166,5.91999572881594,1.4979177789432138e-42,2.2532024367358054e-42
300.0,annual,median,0.000132,3.912800689291209e-42,1.791816634107691,3.9355837313525166,5.91999572881594,1.5399154736799394e-41,2.3163763368312023e-41
300.0,annual,upper,0.0002595,7.692210445992944e-42,3.5225486102344385,3.9355837313525166,5.91999572881594,3.0273338289389714e-41,4.553785298543159e-41
300.0,sun,lower,1.284e-05,3.80608794321963e-43,0.16143486072009886,3.9134106399623585,5.91999572881594,1.4894785053628148e-42,2.2532024367358054e-42
300.0,sun,median,0.000132,3.912800689291209e-42,1.6596107176832593,3.9134106399623585,5.91999572881594,1.5312395849524266e-41,2.3163763368312023e-41
300.0,sun,upper,0.0002595,7.692210445992944e-42,3.26264379726368,3.9134106399623585,5.91999572881594,3.010277820417839e-41,4.553785298543159e-41
350.0,annual,lower,0.001384,4.1025122378629034e-41,0.36675186044304176,2.669031484735725,5.91999572881594,1.0949734329369706e-40,2.428685492556351e-40
350.0,annual,median,0.01026,3.0413132630399846e-40,2.718839659064746,2.669031484735725,5.91999572881594,8.117360853998063e-40,1.800456152718798e-39
350.0,annual,upper,0.02247,6.660653900634352e-40,5.954417849823084,2.669031484735725,5.91999572881594,1.7777494969720904e-39,3.94310426428766e-39
350.0,sun,lower,0.001384,4.1025122378629034e-41,0.21422986880408765,2.4039517508072614,5.91999572881594,9.862241476918742e-41,2.428685492556351e-40
350.0,sun,median,0.01026,3.0413132630399846e-40,1.5881491719146958,2.4039517508072614,5.91999572881594,7.311170343438315e-40,1.800456152718798e-39
350.0,sun,upper,0.02247,6.660653900634352e-40,3.478139560713764,2.4039517508072614,5.91999572881594,1.6011890605951165e-39,3.94310426428766e-39
