delta_keV,alpha_D,eps_floor_chi2_decay,eps_ceiling_babar_recalled,mA_min_GeV,mA_max_GeV,eps_req_at_1GeV,eps_req_at_10GeV
250.0,0.1,7.756935221289854e-06,0.001,5.032159359259993,56.80492161728423,3.212043786806332e-07,3.0923693367087726e-05
250.0,0.024492864645139615,1.5673658259704022e-05,0.001,5.032159359259993,39.490372295766974,6.490253585131341e-07,6.248439469151751e-05
300.0,0.1,5.437536140444953e-06,0.001,2.5839297473398077,34.28370261699623,8.651135242075359e-07,8.280178311252265e-05
300.0,0.024492864645139615,1.0987081986479761e-05,0.001,2.5839297473398077,24.320075132679474,1.748047823973238e-06,0.00016730922906740568
350.0,0.1,4.456190368251221e-06,0.001,0.9412049672680666,14.096873644493142,5.131410129066208e-06,0.00048803802177212186
350.0,0.024492864645139615,9.004175357872871e-06,0.001,0.9412049672680666,10.0,1.036852396712339e-05,0.0009861293091637116
365.0,0.1,4.3857603944037405e-06,0.001,0.5239601353002644,8.507942799627445,1.424776413464811e-05,0.0013506008220218043
365.0,0.024492864645139615,8.861864598554486e-06,0.001,0.5239601353002644,6.035340185482205,2.8789022937619484e-05,0.0027290231419677953
380.0,0.1,4.455720441993569e-06,0.001,0.08681534415584921,3.79269019073225,7.075683776850905e-05,0.006681098236637462
380.0,0.024492864645139615,9.003225825182501e-06,0.001,0.08681534415584921,2.6904477449252284,0.00014297122034448513,0.013499822748700733
