m_GeV,delta_keV,halo,eff_sigma_keV,N_p_unit,N_iso_unit,N_hig,N_lo_per_event,frac_hi,N_lo_per_hi_event,delta_max_248keV_june,sigma_p_N1_cm2,sigma_p_N0p3_cm2,sigma_p_N3_cm2,sigma_p_N0p105_cm2,sigma_p_N3p65_cm2,sigma_p_higgsino_equiv_cm2,effective_A_over_Z_sq
300.0,200.0,june16,8.0,343971.4152039741,1496215.867642582,91956.533785539,0.23976591119078006,0.042277806546355864,5.6712003478204736,315.7939536557191,8.580126604009798e-44,2.5740379812029395e-44,2.5740379812029395e-43,9.009132934210288e-45,3.131746210463576e-43,7.88998701945829e-39,4.349826181792839
300.0,205.0,june16,8.0,254354.5243694235,1098412.885432565,67424.58824287825,0.18505816050750254,0.05021788238732503,3.6851048214293307,315.7939536557191,1.1603168050292024e-43,3.480950415087607e-44,3.4809504150876075e-43,1.2183326452806623e-44,4.235156338356588e-43,7.823388281038601e-39,4.318432660695409
300.0,210.0,june16,8.0,187080.89459279532,803400.608658783,49380.77161447311,0.13271530322294836,0.05968675479212453,2.2235302235004357,315.7939536557191,1.5775626351554645e-43,4.732687905466394e-44,4.732687905466394e-43,1.6564407669132376e-44,5.758103618317445e-43,7.790126019413837e-39,4.294402217861336
300.0,215.0,june16,8.0,137672.19375748816,588855.2907101338,36321.71545601635,0.08569232983998636,0.07070499104147945,1.2119700261289121,315.7939536557191,2.1437286717529282e-43,6.431186015258785e-44,6.4311860152587855e-43,2.2509151053405743e-44,7.824609651898188e-43,7.786390283031372e-39,4.2772274824603445
300.0,220.0,june16,8.0,101365.93452373536,432941.15891146654,26875.857020661184,0.04720313429298755,0.08316717930044161,0.5675692585709338,315.7939536557191,2.911548445221952e-43,8.734645335665857e-44,8.734645335665857e-43,3.0571258674830496e-44,1.0627151825060125e-42,7.825035972251356e-39,4.271071548302957
300.0,225.0,june16,8.0,74801.07166182133,319879.43803618156,20039.16335651545,0.020136180126491307,0.09713457075189595,0.20730189026030438,315.7939536557191,3.945556159881704e-43,1.1836668479645109e-43,1.1836668479645111e-42,4.142833967875788e-44,1.4401279983568216e-42,7.906564442017525e-39,4.276401807214333
300.0,230.0,june16,8.0,55389.3208730631,237775.8612594473,15062.255618217558,0.005384500614457401,0.11249978285744973,0.047862320065810156,315.7939536557191,5.328316440950988e-43,1.5984949322852964e-43,1.5984949322852966e-42,5.594732262998537e-44,1.9448355009471105e-42,8.025646424835501e-39,4.292810554662032
300.0,235.0,june16,8.0,41338.64751071723,178568.19622731683,11449.929277933952,0.0006553927179898904,0.12825457681364202,0.0051100922421052995,315.7939536557191,7.139368286892735e-43,2.1418104860678203e-43,2.1418104860678205e-42,7.49633670123737e-44,2.605869424715848e-42,8.174526197404629e-39,4.3196429244817995
300.0,240.0,june16,8.0,31076.20717769769,135309.15099466132,8779.688303509687,2.536862938629465e-05,0.14422868564785057,0.00017589170470730636,315.7939536557191,9.497035058797577e-43,2.849110517639273e-43,2.8491105176392732e-42,9.971886811737456e-44,3.466417796461115e-42,8.338100762374652e-39,4.354107636782907
300.0,245.0,june16,8.0,23562.714351000228,103417.8474202713,6776.147592486366,0.0,0.1592003122138932,0.0,315.7939536557191,1.2525374821620398e-42,3.757612446486119e-43,3.7576124464861195e-42,1.3151643562701418e-43,4.571761809891445e-42,8.487378844251241e-39,4.389046434961397
300.0,250.0,june16,8.0,17997.09689245887,79568.63098978071,5249.601796411245,0.0,0.1731943797363835,0.0,315.7939536557191,1.6398857594900086e-42,4.919657278470025e-43,4.919657278470026e-42,1.7218800474645089e-43,5.985583022138531e-42,8.608747228927968e-39,4.421192565958874
300.0,255.0,june16,8.0,13810.266783991494,61311.45673697403,4053.137466425339,0.0,0.18512002866219807,0.0,315.7939536557191,2.1370465442648878e-42,6.411139632794663e-43,6.411139632794664e-42,2.243898871478132e-43,7.80021988656684e-42,8.661743416054814e-39,4.439556287793419
300.0,260.0,june16,8.0,10597.597060452448,47080.05049072001,3104.53485479904,0.0,0.19554884141001821,0.0,315.7939536557191,2.7848938526112604e-42,8.35468155783378e-43,8.354681557833782e-42,2.924138545241823e-43,1.01648625620311e-41,8.64580003234724e-39,4.442521283094528
300.0,265.0,june16,8.0,8072.19646325609,35716.7352917939,2337.004469336319,0.0,0.20483278859680162,0.0,315.7939536557191,3.656152701491661e-42,1.0968458104474983e-42,1.0968458104474985e-41,3.838960336566244e-43,1.3344957360444563e-41,8.544445203962068e-39,4.424661299359258
300.0,270.0,june16,8.0,6059.680562305929,26567.28770230704,1716.223870752628,0.0,0.2140503062185971,0.0,315.7939536557191,4.8704189276397017e-42,1.4611256782919104e-42,1.4611256782919107e-41,5.113939874021686e-43,1.777702908588491e-41,8.358729224180673e-39,4.3842719808644866
300.0,275.0,june16,8.0,4443.299103170111,19198.00960640894,1218.0279346341908,0.0,0.2235574679878096,0.0,315.7939536557191,6.642177854974639e-42,1.9926533564923917e-42,1.992653356492392e-41,6.974286747723371e-43,2.4243949170657434e-41,8.090358174167719e-39,4.320665604688181
300.0,280.0,june16,8.0,3147.1596312936604,13324.494813689113,825.815008390885,0.0,0.23427492994425936,0.0,315.7939536557191,9.37772034587696e-42,2.8133161037630875e-42,2.813316103763088e-41,9.846606363170806e-43,3.4228679262450895e-41,7.744262206117755e-39,4.233816003865044
300.0,285.0,june16,8.0,2132.6680560472923,8788.718111500757,528.6922621413521,0.0,0.24912670677266374,0.0,315.7939536557191,1.3838620043292253e-41,4.151586012987676e-42,4.1515860129876766e-41,1.4530551045456866e-42,5.051096315801673e-41,7.316371335602839e-39,4.120996742357483
