m_GeV,eff_variant,N_unit_wd,N_unit_lz,R_lo,R_mid,R_hi,R_roi,N_lo_per_hi,N_mid_per_hi,f_lo,f_hi,d10_lz_bestfit,d10_wd_bestfit,d10_lz_lo68,d10_wd_lo68,d10_lz_up68,d10_wd_up68,d10_lz_plr_lo,d10_wd_plr_lo,d10_lz_plr_hi,d10_wd_plr_hi,fig6_lower,fig6_upper,fig6_median,N_at_fig6_lower_lz,N_at_fig6_upper_lz,N_at_fig6_lower_wd,N_at_fig6_upper_wd,N_at_fig6_median_lz
100,P003,4.5666,17.613,0.59627,0.90875,0.098041,1.608,6.0818,9.2691,0.37082,0.060972,0.23828,0.46795,0.13051,0.25631,0.36914,0.72495,0.077211,0.15163,0.45523,0.89402,0.15436,0.63196,0.45498,0.41964,7.034,0.1088,1.8238,3.6459
100,sig_hi_11p5,4.5652,17.607,0.59627,0.90875,0.09732,1.6075,6.1269,9.3378,0.37094,0.060542,0.23832,0.46803,0.13053,0.25635,0.3692,0.72506,0.077223,0.15166,0.4553,0.89416,0.15436,0.63196,0.45498,0.41951,7.0318,0.10877,1.8232,3.6448
100,hard,4.5941,17.719,0.60944,0.90875,0.099198,1.6176,6.1437,9.161,0.37675,0.061322,0.23756,0.46655,0.13012,0.25554,0.36803,0.72278,0.07698,0.15118,0.45387,0.89135,0.15436,0.63196,0.45498,0.42216,7.0764,0.10946,1.8347,3.6679
200,P003,7.4299,28.656,0.3669,1.6267,0.6089,2.6161,0.60256,2.6716,0.14024,0.23275,0.18681,0.36687,0.10232,0.20094,0.2894,0.56835,0.060532,0.11888,0.35689,0.7009,0.11227,0.42872,0.29854,0.36118,5.2669,0.093645,1.3656,2.554
200,sig_hi_11p5,7.4198,28.617,0.3669,1.6267,0.60106,2.6126,0.61042,2.7064,0.14043,0.23006,0.18693,0.36712,0.10239,0.20108,0.2896,0.56874,0.060573,0.11896,0.35714,0.70138,0.11227,0.42872,0.29854,0.36069,5.2598,0.093518,1.3637,2.5505
200,hard,7.4531,28.746,0.37388,1.6267,0.62377,2.6243,0.59938,2.6079,0.14246,0.23769,0.18651,0.36629,0.10216,0.20063,0.28895,0.56746,0.060438,0.11869,0.35634,0.69981,0.11227,0.42872,0.29854,0.36231,5.2834,0.093938,1.3699,2.5619
400,P003,6.3432,24.465,0.19839,1.3172,0.70053,2.2335,0.28319,1.8803,0.088822,0.31365,0.20218,0.39705,0.11074,0.21747,0.31321,0.61511,0.065513,0.12866,0.38626,0.75857,0.12466,0.44991,0.30858,0.38019,4.9522,0.098575,1.284,2.3295
400,sig_hi_11p5,6.3319,24.421,0.19839,1.3172,0.69031,2.2295,0.28739,1.9082,0.088981,0.30962,0.20236,0.39741,0.11083,0.21767,0.31349,0.61566,0.065571,0.12877,0.3866,0.75924,0.12466,0.44991,0.30858,0.37951,4.9434,0.098399,1.2817,2.3254
400,hard,6.3606,24.532,0.20195,1.3172,0.72062,2.2397,0.28025,1.8279,0.09017,0.32175,0.2019,0.39651,0.11058,0.21718,0.31278,0.61427,0.065423,0.12848,0.38573,0.75752,0.12466,0.44991,0.30858,0.38124,4.9658,0.098846,1.2875,2.336
1000,P003,3.336,12.867,0.082482,0.66667,0.41452,1.1747,0.19898,1.6083,0.070218,0.35288,0.27878,0.5475,0.1527,0.29988,0.43189,0.84818,0.090336,0.17741,0.53262,1.046,0.17118,0.61414,0.41652,0.37704,4.8528,0.097757,1.2582,2.2323
1000,sig_hi_11p5,3.3295,12.842,0.082482,0.66667,0.40812,1.1724,0.2021,1.6335,0.070354,0.34811,0.27905,0.54803,0.15284,0.30017,0.43231,0.84901,0.090424,0.17758,0.53313,1.047,0.17118,0.61414,0.41652,0.3763,4.8434,0.097567,1.2558,2.2279
1000,hard,3.3449,12.901,0.083923,0.66667,0.42728,1.1778,0.19641,1.5603,0.071256,0.36279,0.27842,0.54678,0.15249,0.29948,0.43132,0.84707,0.090217,0.17718,0.53191,1.0446,0.17118,0.61414,0.41652,0.37803,4.8657,0.098016,1.2616,2.2382
4000,P003,0.94188,3.6327,0.020979,0.18466,0.12265,0.33165,0.17104,1.5055,0.063257,0.36983,0.52467,1.0304,0.28737,0.56437,0.81281,1.5963,0.17001,0.33389,1.0024,1.9686,0.32159,1.1443,0.78933,0.37569,4.7567,0.097407,1.2333,2.2633
4000,sig_hi_11p5,0.93999,3.6254,0.020979,0.18466,0.12072,0.33098,0.17378,1.5297,0.063384,0.36473,0.52519,1.0314,0.28766,0.56493,0.81363,1.5979,0.17018,0.33422,1.0034,1.9705,0.32159,1.1443,0.78933,0.37493,4.7472,0.097212,1.2308,2.2588
4000,hard,0.94433,3.6422,0.021341,0.18466,0.12654,0.33251,0.16865,1.4593,0.064182,0.38057,0.52399,1.0291,0.287,0.56364,0.81176,1.5942,0.16979,0.33345,1.0011,1.966,0.32159,1.1443,0.78933,0.37666,4.7691,0.09766,1.2365,2.2692
