m_GeV,eff_variant,f_lo,N_lo_per_hi,N_mid_per_hi,N2024_lo_per_ROI_event,N2024_lo_bestfit,N2024_lo_up68,N2024_lo_plr_hi,N2024_lo_fig6_upper,N_ROI_max_for_tol3,d10_lz_max_for_tol3,N_ROI_max_for_tol5,d10_lz_max_for_tol5,N_ROI_max_for_tol10,d10_lz_max_for_tol10
100,P003,0.37082,6.0818,9.2691,0.5484,0.5484,1.3162,2.0017,3.8575,5.4705,0.55731,9.1175,0.71949,18.235,1.0175
100,sig_hi_11p5,0.37094,6.1269,9.3378,0.54857,0.54857,1.3166,2.0023,3.8575,5.4688,0.55731,9.1146,0.71949,18.229,1.0175
100,hard,0.37675,6.1437,9.161,0.55716,0.55716,1.3372,2.0336,3.9427,5.3844,0.55125,8.974,0.71166,17.948,1.0064
200,P003,0.14024,0.60256,2.6716,0.2074,0.2074,0.49777,0.75702,1.0924,14.465,0.71047,24.108,0.91721,48.216,1.2971
200,sig_hi_11p5,0.14043,0.61042,2.7064,0.20768,0.20768,0.49844,0.75805,1.0924,14.445,0.71047,24.075,0.91721,48.15,1.2971
200,hard,0.14246,0.59938,2.6079,0.21069,0.21069,0.50565,0.76901,1.1132,14.239,0.70381,23.732,0.90861,47.464,1.285
400,P003,0.088822,0.28319,1.8803,0.13136,0.13136,0.31526,0.47945,0.6505,22.838,0.96619,38.064,1.2473,76.128,1.764
400,sig_hi_11p5,0.088981,0.28739,1.9082,0.13159,0.13159,0.31582,0.48031,0.6505,22.798,0.96619,37.996,1.2473,75.993,1.764
400,hard,0.09017,0.28025,1.8279,0.13335,0.13335,0.32004,0.48673,0.66219,22.497,0.95763,37.495,1.2363,74.99,1.7484
1000,P003,0.070218,0.19898,1.6083,0.10384,0.10384,0.24922,0.37903,0.50393,28.89,1.4984,48.15,1.9345,96.299,2.7358
1000,sig_hi_11p5,0.070354,0.2021,1.6335,0.10405,0.10405,0.24971,0.37976,0.50393,28.834,1.4984,48.056,1.9345,96.112,2.7358
1000,hard,0.071256,0.19641,1.5603,0.10538,0.10538,0.25291,0.38463,0.51274,28.469,1.4855,47.448,1.9178,94.896,2.7122
4000,P003,0.063257,0.17104,1.5055,0.093549,0.093549,0.22452,0.34145,0.44498,32.069,2.9712,53.448,3.8357,106.9,5.4246
4000,sig_hi_11p5,0.063384,0.17378,1.5297,0.093737,0.093737,0.22497,0.34214,0.44498,32.005,2.9712,53.341,3.8357,106.68,5.4246
4000,hard,0.064182,0.16865,1.4593,0.094917,0.094917,0.2278,0.34645,0.45267,31.607,2.9458,52.678,3.8031,105.36,5.3783
