m_GeV,x_pt,mass_from_x,d10_upper,d10_median_sens,d10_lower
10,73.97,10.001,7.7199,10.371,
12,86.54,12,4.51,6.056,
14,97.17,14,2.8923,4.1463,
17,110.56,16.999,1.7963,2.7899,
21,125.14,21.001,1.2766,1.9862,
30,149.73,29.998,0.83373,1.3371,
40,169.58,40.003,0.71245,1.1187,
50,184.96,49.997,0.63101,0.9965,
100,232.77,100,0.63196,0.45498,0.15436
200,280.57,199.99,0.42872,0.29854,0.11227
400,328.38,400.02,0.44991,0.30858,0.12466
1000,391.57,999.99,0.61414,0.41652,0.17118
4000,487.18,4000,1.1443,0.78933,0.32159
