target,Q_MeV,218Po(U),214Po(U),210Po(U),220Rn(Th),216Po(Th),212Po(Th)
19F,-1.951,3.6473741504386474,5.257716983389176,2.977425331437228,3.9201986067005343,4.388941786465029,6.306221796735614
13C,2.216,7.951323672494646,9.5289763085044,7.2956614297034355,8.218492788954263,8.67765862413682,10.556674357738748
17O,0.587,6.306932149652738,7.903199957235978,5.644284672813702,6.577097332335609,7.04157792653298,8.943924708102228
18O,-0.697,4.968316806814284,6.569254810960034,4.303669957504386,5.23928417077403,5.70513090264384,7.61296392750586
10B,1.059,6.651374038609052,8.197616515545976,6.009238638584266,6.91312494516821,7.363083377214231,9.205429651898607
11B,0.158,5.714561245899995,7.269715862280036,5.069034488160782,5.9777571471176545,6.430267585126443,8.283696958288202
27Al,-2.644,3.0271958463900663,4.662435447485266,2.3458397333211383,3.3044219029062147,3.7805145285037494,5.72631554104548
9Be,5.702,11.519135924500782,13.083692479124469,10.86570371379815,11.784773713661018,12.24059327691568,14.098714855016116
25Mg,2.654,8.518288088413845,10.144035143488761,7.842911088876275,8.793545212961646,9.266671473472003,11.20338613250609
29Si,-1.527,4.2242613878428825,5.856365142998627,3.5463279230819063,4.500570915688458,4.97552750387065,6.920046509030326
