source,thr_keV,fv,p_ss_roi,p_ss_200_270,p_ss_200_270_err,F_200_270_of_roiSS,F_200_270_of_allSS,companions_lt55_per_200_270,companions_lt55_per_gt200,p_single_nonel_fv
alpha_n (f_C=2.5e-3),1.0,fv63x131,0.0048010175,3.1833333333333334e-07,2.303379160180876e-08,6.630538908332106e-05,7.960754895463097e-06,14432.225130890052,9219.247491638796,0.035186815
alpha_n (f_C=2.5e-3),1.0,fv60x115,0.0018799075,1.45e-07,1.5545631755148028e-08,7.713145460614418e-05,6.174162478408172e-06,12384.649425287358,7430.789655172415,0.02160505916666667
alpha_n (f_C=2.5e-3),3.0,fv63x131,0.0078865375,4e-07,2.5819888974716113e-08,5.0719342930912325e-05,7.703146290724025e-06,19014.595833333333,12201.879679144384,0.04404029666666667
alpha_n (f_C=2.5e-3),3.0,fv60x115,0.0034291883333333333,1.9166666666666668e-07,1.7873008824606013e-08,5.589272096944224e-05,6.125663512562524e-06,17216.03913043478,10587.403743315508,0.027859939166666667
alpha_n (f_C=2.5e-3),5.0,fv63x131,0.012604021666666668,4.933333333333333e-07,2.8674417556808754e-08,3.9140946150388764e-05,7.2956984155456046e-06,24809.386824324327,15558.429025423731,0.0550157325
alpha_n (f_C=2.5e-3),5.0,fv60x115,0.00597826,2.533333333333333e-07,2.0548046676563253e-08,4.237576373950503e-05,6.050839672433813e-06,22888.516447368424,13751.203557312252,0.035889207500000006
alpha_n (f_C=1e-2),1.0,fv63x131,0.00478907,1.2733333333333334e-06,9.213516640723504e-08,0.0002658832160175845,3.1669971701802515e-05,3594.528795811518,2296.1705685618726,0.03541726
alpha_n (f_C=1e-2),1.0,fv60x115,0.0018746300000000002,5.8e-07,6.218252702059211e-08,0.000309394387159066,2.4545208323929037e-05,3082.925287356322,1849.7551724137932,0.021755236666666667
alpha_n (f_C=1e-2),3.0,fv63x131,0.007861149999999999,1.6e-06,1.0327955589886445e-07,0.00020353256202972848,3.067935402830465e-05,4733.345833333334,3037.4411764705883,0.04429118666666666
alpha_n (f_C=1e-2),3.0,fv60x115,0.0034167533333333334,7.666666666666667e-07,7.149203529842405e-08,0.00022438455219672476,2.4383900985247425e-05,4283.430434782609,2634.1951871657757,0.028024756666666664
alpha_n (f_C=1e-2),5.0,fv63x131,0.012556086666666666,1.9733333333333332e-06,1.1469767022723502e-07,0.0001571614935226634,2.9090616040477234e-05,6173.407094594594,3871.458686440678,0.055277929999999996
alpha_n (f_C=1e-2),5.0,fv60x115,0.005953040000000001,1.0133333333333333e-06,8.219218670625301e-08,0.0001702211531139272,2.4118445048939418e-05,5692.792763157895,3420.1758893280626,0.03606183
alpha_n (f_C=5e-4),1.0,fv63x131,0.0048042035000000005,6.366666666666667e-08,4.606758320361751e-09,1.3252283477722512e-05,1.5944742767659816e-06,72233.27225130891,46142.32441471573,0.035125363
alpha_n (f_C=5e-4),1.0,fv60x115,0.0018813148333333336,2.9e-08,3.1091263510296054e-09,1.5414751154976807e-05,1.236867523526784e-06,61993.84482758621,37196.30689655173,0.021565011833333335
alpha_n (f_C=5e-4),3.0,fv63x131,0.0078933075,8e-08,5.163977794943223e-09,1.0135168305555054e-05,1.542415456216238e-06,95181.2625,61078.88502673797,0.04397339266666667
