target,A,m_chi_GeV,delta_keV,blind_june,blind_mean,E_minus_june_keV,E_plus_june_keV,E_minus_mean_keV,E_plus_mean_keV,threshold_keV,accessible_above_threshold_june
C,12,400.0,250.0,1,1,,,,,3.3,0
C,12,400.0,300.0,1,1,,,,,3.3,0
C,12,400.0,350.0,1,1,,,,,3.3,0
C,12,400.0,380.0,1,1,,,,,3.3,0
C,12,400.0,366.0,1,1,,,,,3.3,0
C,12,1000.0,250.0,1,1,,,,,3.3,0
C,12,1000.0,300.0,1,1,,,,,3.3,0
C,12,1000.0,350.0,1,1,,,,,3.3,0
C,12,1000.0,380.0,1,1,,,,,3.3,0
C,12,1000.0,366.0,1,1,,,,,3.3,0
C,12,4000.0,250.0,1,1,,,,,3.3,0
C,12,4000.0,300.0,1,1,,,,,3.3,0
C,12,4000.0,350.0,1,1,,,,,3.3,0
C,12,4000.0,380.0,1,1,,,,,3.3,0
C,12,4000.0,366.0,1,1,,,,,3.3,0
O,16,400.0,250.0,1,1,,,,,1.0,0
O,16,400.0,300.0,1,1,,,,,1.0,0
O,16,400.0,350.0,1,1,,,,,1.0,0
O,16,400.0,380.0,1,1,,,,,1.0,0
O,16,400.0,366.0,1,1,,,,,1.0,0
O,16,1000.0,250.0,1,1,,,,,1.0,0
O,16,1000.0,300.0,1,1,,,,,1.0,0
O,16,1000.0,350.0,1,1,,,,,1.0,0
O,16,1000.0,380.0,1,1,,,,,1.0,0
O,16,1000.0,366.0,1,1,,,,,1.0,0
O,16,4000.0,250.0,1,1,,,,,1.0,0
O,16,4000.0,300.0,1,1,,,,,1.0,0
O,16,4000.0,350.0,1,1,,,,,1.0,0
O,16,4000.0,380.0,1,1,,,,,1.0,0
O,16,4000.0,366.0,1,1,,,,,1.0,0
F,19,400.0,250.0,1,1,,,,,3.3,0
F,19,400.0,300.0,1,1,,,,,3.3,0
F,19,400.0,350.0,1,1,,,,,3.3,0
F,19,400.0,380.0,1,1,,,,,3.3,0
F,19,400.0,366.0,1,1,,,,,3.3,0
F,19,1000.0,250.0,1,1,,,,,3.3,0
F,19,1000.0,300.0,1,1,,,,,3.3,0
F,19,1000.0,350.0,1,1,,,,,3.3,0
F,19,1000.0,380.0,1,1,,,,,3.3,0
F,19,1000.0,366.0,1,1,,,,,3.3,0
F,19,4000.0,250.0,1,1,,,,,3.3,0
F,19,4000.0,300.0,1,1,,,,,3.3,0
F,19,4000.0,350.0,1,1,,,,,3.3,0
F,19,4000.0,380.0,1,1,,,,,3.3,0
F,19,4000.0,366.0,1,1,,,,,3.3,0
Na,23,400.0,250.0,1,1,,,,,4.0,0
Na,23,400.0,300.0,1,1,,,,,4.0,0
Na,23,400.0,350.0,1,1,,,,,4.0,0
Na,23,400.0,380.0,1,1,,,,,4.0,0
Na,23,400.0,366.0,1,1,,,,,4.0,0
Na,23,1000.0,250.0,1,1,,,,,4.0,0
Na,23,1000.0,300.0,1,1,,,,,4.0,0
Na,23,1000.0,350.0,1,1,,,,,4.0,0
Na,23,1000.0,380.0,1,1,,,,,4.0,0
Na,23,1000.0,366.0,1,1,,,,,4.0,0
Na,23,4000.0,250.0,1,1,,,,,4.0,0
Na,23,4000.0,300.0,1,1,,,,,4.0,0
Na,23,4000.0,350.0,1,1,,,,,4.0,0
Na,23,4000.0,380.0,1,1,,,,,4.0,0
Na,23,4000.0,366.0,1,1,,,,,4.0,0
Ar,40,400.0,250.0,1,1,,,,,10.0,0
