target,A,delta_keV,halo,E_minus_june_keV,E_plus_june_keV,rate_unit_coupling_per_tyr,ratio_to_Xe,events_per_tyr_element_at_LZ_bestfit,june_over_annual,isovector_weight_rel_Xe
Xe,131,250,annual,54.4,912.0,41456.7,1,0.3964,1.279,1.000
Xe,131,250,june16,54.4,912.0,53024.9,1,0.507,1.279,1.000
Xe,131,300,annual,90.9,786.4,5830.62,1,0.4298,1.425,1.000
Xe,131,300,june16,90.9,786.4,8307.62,1,0.6124,1.425,1.000
Xe,131,350,annual,153.2,635.0,208.815,1,0.7892,2.094,1.000
Xe,131,350,june16,153.2,635.0,437.281,1,1.653,2.094,1.000
Xe,131,366,annual,185.2,574.5,44.0585,1,2.029,2.441,1.000
Xe,131,366,june16,185.2,574.5,107.549,1,4.954,2.441,1.000
Xe,131,380,annual,225.0,509.7,8.70119,1,12.73,2.989,1.000
Xe,131,380,june16,225.0,509.7,26.0094,1,38.05,2.989,1.000
I,127,250,annual,57.2,873.8,29119.3,0.7024,0.2784,1.315,0.980
I,127,250,june16,57.2,873.8,38285.2,0.722,0.366,1.315,0.980
I,127,300,annual,96.6,745.0,3448.61,0.5915,0.2542,1.472,0.980
I,127,300,june16,96.6,745.0,5074.92,0.6109,0.3741,1.472,0.980
I,127,350,annual,167.6,584.6,61.7831,0.2959,0.2335,2.551,0.980
I,127,350,june16,167.6,584.6,157.592,0.3604,0.5956,2.551,0.980
I,127,366,annual,207.6,515.9,6.29754,0.1429,0.2901,3.331,0.980
I,127,366,june16,207.6,515.9,20.9792,0.1951,0.9664,3.331,0.980
I,127,380,annual,268.6,429.9,0.197544,0.0227,0.289,5.277,0.980
I,127,380,june16,268.6,429.9,1.04236,0.04008,1.525,5.277,0.980
W,184,250,annual,33.5,1359.4,377624,9.109,3.61,1.172,1.039
W,184,250,june16,33.5,1359.4,442695,8.349,4.233,1.172,1.039
W,184,300,annual,52.3,1255.3,93124.2,15.97,6.865,1.250,1.039
W,184,300,june16,52.3,1255.3,116389,14.01,8.58,1.250,1.039
W,184,350,annual,78.0,1144.1,17094.6,81.86,64.61,1.345,1.039
W,184,350,june16,78.0,1144.1,22994.7,52.59,86.9,1.345,1.039
W,184,366,annual,88.2,1106.6,9772.3,221.8,450.1,1.365,1.039
W,184,366,june16,88.2,1106.6,13334.6,124,614.2,1.365,1.039
W,184,380,annual,98.1,1072.8,6080.12,698.8,8895,1.377,1.039
W,184,380,june16,98.1,1072.8,8374.89,322,1.225e+04,1.377,1.039
Ge,73,250,annual,,,0,0,0,nan,0.901
Ge,73,250,june16,,,0,0,0,nan,0.901
Ge,73,300,annual,,,0,0,0,nan,0.901
Ge,73,300,june16,,,0,0,0,nan,0.901
Ge,73,350,annual,,,0,0,0,nan,0.901
Ge,73,350,june16,,,0,0,0,nan,0.901
Ge,73,366,annual,,,0,0,0,nan,0.901
Ge,73,366,june16,,,0,0,0,nan,0.901
Ge,73,380,annual,,,0,0,0,nan,0.901
Ge,73,380,june16,,,0,0,0,nan,0.901
Ar,40,250,annual,,,0,0,0,nan,0.859
Ar,40,250,june16,,,0,0,0,nan,0.859
Ar,40,300,annual,,,0,0,0,nan,0.859
Ar,40,300,june16,,,0,0,0,nan,0.859
Ar,40,350,annual,,,0,0,0,nan,0.859
Ar,40,350,june16,,,0,0,0,nan,0.859
Ar,40,366,annual,,,0,0,0,nan,0.859
Ar,40,366,june16,,,0,0,0,nan,0.859
Ar,40,380,annual,,,0,0,0,nan,0.859
Ar,40,380,june16,,,0,0,0,nan,0.859
F,19,250,annual,,,0,0,0,nan,0.776
F,19,250,june16,,,0,0,0,nan,0.776
F,19,300,annual,,,0,0,0,nan,0.776
F,19,300,june16,,,0,0,0,nan,0.776
F,19,350,annual,,,0,0,0,nan,0.776
F,19,350,june16,,,0,0,0,nan,0.776
F,19,366,annual,,,0,0,0,nan,0.776
F,19,366,june16,,,0,0,0,nan,0.776
F,19,380,annual,,,0,0,0,nan,0.776
F,19,380,june16,,,0,0,0,nan,0.776
