target,delta_keV,halo,E_keV,dRdE_unit_coupling_per_tyr_keV
Xe,300,annual,88.18,0.00390258
Xe,300,annual,100.41,0.0726827
Xe,300,annual,112.64,2.68958
Xe,300,annual,124.88,14.7807
Xe,300,annual,137.11,35.1042
Xe,300,annual,149.35,54.5073
Xe,300,annual,161.58,66.426
Xe,300,annual,173.82,66.9977
Xe,300,annual,186.05,58.9679
Xe,300,annual,198.29,45.3975
Xe,300,annual,210.52,30.7564
Xe,300,annual,222.76,17.908
Xe,300,annual,234.99,8.63285
Xe,300,annual,247.23,3.04251
Xe,300,annual,259.46,0.657175
Xe,300,annual,271.70,0.605764
Xe,300,annual,283.93,1.90185
Xe,300,annual,296.17,3.71807
Xe,300,annual,308.40,5.48643
Xe,300,annual,320.64,6.77834
Xe,300,annual,332.87,7.53092
Xe,300,annual,345.10,7.63698
Xe,300,annual,357.34,7.34555
Xe,300,annual,369.57,6.61104
Xe,300,annual,381.81,5.7033
Xe,300,annual,394.04,4.70003
Xe,300,annual,406.28,3.72703
Xe,300,annual,418.51,2.82252
Xe,300,annual,430.75,2.06818
Xe,300,annual,442.98,1.43096
Xe,300,annual,455.22,0.948596
Xe,300,annual,467.45,0.584145
Xe,300,annual,479.69,0.33492
Xe,300,annual,491.92,0.172233
Xe,300,annual,504.16,0.0766578
Xe,300,annual,516.39,0.0280113
Xe,300,annual,528.63,0.00857548
Xe,300,annual,540.86,0.00724526
Xe,300,annual,553.10,0.0149622
Xe,300,annual,565.33,0.0254689
Xe,300,annual,577.56,0.0348919
Xe,300,annual,589.80,0.0411163
Xe,300,annual,602.03,0.0444557
Xe,300,annual,614.27,0.043981
Xe,300,annual,626.50,0.0411083
Xe,300,annual,638.74,0.0358937
Xe,300,annual,650.97,0.0300673
Xe,300,annual,663.21,0.0243209
Xe,300,annual,675.44,0.0184975
Xe,300,annual,687.68,0.0135726
Xe,300,annual,699.91,0.00975086
Xe,300,annual,712.15,0.00629405
Xe,300,annual,724.38,0.00401721
Xe,300,annual,736.62,0.00245435
Xe,300,annual,748.85,0.00126889
Xe,300,annual,761.09,0.000643064
Xe,300,annual,773.32,0.000291938
Xe,300,annual,785.56,0.000108132
Xe,300,annual,797.79,4.00344e-05
Xe,300,annual,810.02,9.76051e-06
Xe,300,june16,88.18,0.0182216
Xe,300,june16,100.41,0.193127
Xe,300,june16,112.64,5.1515
Xe,300,june16,124.88,24.7651
Xe,300,june16,137.11,54.4411
Xe,300,june16,149.35,80.7465
Xe,300,june16,161.58,95.3797
Xe,300,june16,173.82,94.2604
Xe,300,june16,186.05,81.7284
Xe,300,june16,198.29,62.2891
Xe,300,june16,210.52,41.9092
Xe,300,june16,222.76,24.306
Xe,300,june16,234.99,11.6903
Xe,300,june16,247.23,4.12196
Xe,300,june16,259.46,0.89105
Xe,300,june16,271.70,0.801853
Xe,300,june16,283.93,2.53049
Xe,300,june16,296.17,4.97123
Xe,300,june16,308.40,7.36159
Xe,300,june16,320.64,9.13358
Xe,300,june16,332.87,10.1878
Xe,300,june16,345.10,10.3849
Xe,300,june16,357.34,10.0332
Xe,300,june16,369.57,9.08523
Xe,300,june16,381.81,7.88634
Xe,300,june16,394.04,6.54478
Xe,300,june16,406.28,5.22817
Xe,300,june16,418.51,3.99365
Xe,300,june16,430.75,2.95074
Xe,300,june16,442.98,2.06302
Xe,300,june16,455.22,1.38205
Xe,300,june16,467.45,0.862322
Xe,300,june16,479.69,0.501399
Xe,300,june16,491.92,0.262226
Xe,300,june16,504.16,0.118978
Xe,300,june16,516.39,0.0443546
Xe,300,june16,528.63,0.013796
Xe,300,june16,540.86,0.0113938
Xe,300,june16,553.10,0.0238938
Xe,300,june16,565.33,0.0418162
Xe,300,june16,577.56,0.0590037
Xe,300,june16,589.80,0.0717977
Xe,300,june16,602.03,0.080137
Xe,300,june16,614.27,0.0822269
Xe,300,june16,626.50,0.0799797
Xe,300,june16,638.74,0.0731882
Xe,300,june16,650.97,0.0643464
Xe,300,june16,663.21,0.0548212
Xe,300,june16,675.44,0.0442498
Xe,300,june16,687.68,0.034382
Xe,300,june16,699.91,0.0261505
Xe,300,june16,712.15,0.0181356
Xe,300,june16,724.38,0.0123386
Xe,300,june16,736.62,0.00801554
Xe,300,june16,748.85,0.00448371
Xe,300,june16,761.09,0.00239922
Xe,300,june16,773.32,0.00115528
Xe,300,june16,785.56,0.000456614
Xe,300,june16,797.79,0.000180853
Xe,300,june16,810.02,4.86847e-05
Xe,350,annual,148.65,0.0312545
Xe,350,annual,157.21,0.169983
Xe,350,annual,165.78,0.474395
Xe,350,annual,174.34,0.903566
Xe,350,annual,182.91,1.29623
Xe,350,annual,191.47,1.63083
Xe,350,annual,200.04,1.67974
Xe,350,annual,208.60,1.57588
Xe,350,annual,217.17,1.30654
Xe,350,annual,225.74,0.988022
Xe,350,annual,234.30,0.639905
Xe,350,annual,242.87,0.351726
Xe,350,annual,251.43,0.148485
Xe,350,annual,260.00,0.0531431
Xe,350,annual,268.56,0.0559337
