f_exp,sig_theta,mu_sig,with_mid,chi2,rms,max_abs,Z_L10s,Z_L4s=O6s,Z_L4v=O6v,Z_L2s=O10s,Z_L2v=O10v,Z_L15s=O4s,Z_L15v=O4v,Z_L3v=O11v,Z_L3s=O11s,Z_L1v=O1v,Z_L1s=O1s
0.5,0.3,0.0,True,18.934128330749424,0.1967965925984266,0.46087198860577316,3.3996348004305905,3.2631170922317994,3.251804847679691,3.07680210585423,3.0667142302494588,2.6923016337776566,2.6751864164842454,2.716852665412335,1.8802874351163397,1.6318482744520042,0.46087198860577316
0.5,0.3,0.0,False,50.919013137189445,0.3227267061640915,0.49185691807642995,3.578181253985558,3.5570232483635866,3.5552392420502534,3.3765310309810115,3.3728592239758806,2.8282661561838194,2.8135839857832146,2.7655563787892996,1.953759181027214,1.6442514384074727,0.49185691807642995
0.5,0.3,-0.3,True,7.741965245016662,0.12584052606839516,0.25377911226021543,3.38694315984638,3.2452777165669047,3.2333776007679003,3.039182850907761,3.0286165077205003,2.6228522561327767,2.6049708831697473,2.641509693992987,1.7713169298917992,1.5056753130830203,0.25377911226021543
0.5,0.3,-0.3,False,33.493555959964674,0.2617432831645273,0.4460998421131728,3.5726691108477184,3.546099842113173,3.5438855174874915,3.335638613343069,3.331552066047962,2.7529654895285036,2.7376828011581957,2.687722352854929,1.842711146830671,1.517783371792651,0.28594529406542335
0.5,1.0,0.0,True,19.027592321483326,0.1972817153286996,0.46181627424225846,3.399664118934841,3.2631688366272593,3.2518595351854627,3.076996766365727,3.0669130018655086,2.6928552667025816,2.6757484284857838,2.7175056075123294,1.8812255862833995,1.6329389392328748,0.46181627424225846
0.5,1.0,0.0,False,51.06035594113308,0.3231743138807873,0.49284229853520317,3.5781889553100847,3.557046652925618,3.555264239514817,3.376779390293711,3.373112155895828,2.8289438566070344,2.8142687010970056,2.766263281685678,1.9547665747155838,1.6453544608652901,0.49284229853520317
0.5,1.0,-0.3,True,7.7606347691984645,0.12599216509080866,0.2541368922284085,3.386963724649878,3.2453127170301226,3.233414449300276,3.0393003891528343,3.028736305025309,2.6231520581125967,2.605274887337354,2.641854984965417,1.771808276907333,1.5062372916776423,0.2541368922284085
0.5,1.0,-0.3,False,33.535474616426626,0.2619070235563479,0.44611644291269403,3.5726749148498325,3.546116442912694,3.5439031759200486,3.3357827459908043,3.331698554748365,2.7533198274571564,2.7380405849853715,2.688091077531193,1.8432322688877185,1.5183507540767427,0.28632971718163114
1.0,0.3,0.0,True,20.550803615985977,0.20502618044791798,0.4760263762035074,3.400010193797789,3.26383153619133,3.2525649049441845,3.0798672612427342,3.069848940624882,2.7017269925103364,2.6847618420670947,2.728142116782408,1.896560552539166,1.6508498899454498,0.4760263762035074
1.0,0.3,0.0,False,53.36236529801695,0.33037901364196043,0.5078134012643462,3.5782560388208298,3.557314085753337,3.555553351768223,3.3805563772678697,3.3769646353761935,2.8400658380399504,2.825511498861463,2.777887488995637,1.9714016844452984,1.6634990372317864,0.5078134012643462
1.0,0.3,-0.3,True,8.123720310908073,0.12890578201131372,0.25986160234671135,3.3872645947392854,3.245872747124935,3.234008650749283,3.041490584387359,3.030972398364641,2.6292091629382908,2.6114212828690953,2.648933853506051,1.7818699166652001,1.5177504807116413,0.25986160234671135
1.0,0.3,-0.3,False,34.36175393888137,0.2651139486788191,0.44635082949320726,3.572736008588101,3.5463508294932073,3.5441558194972367,3.338554480872942,3.334519942722628,2.760631986471804,2.74542693671398,2.695712431493717,1.8540039613491532,1.5299937431646715,0.2926849569319775
1.0,1.0,0.0,True,20.586134562931512,0.20520234529626402,0.47636716877119906,3.4000206053799005,3.2638492704065865,3.252583592861664,3.0799315852231572,3.069914629526668,2.701916563106054,2.68495441885332,2.728369104841886,1.8968889716396544,1.6512348028665886,0.47636716877119906
1.0,1.0,0.0,False,53.414779366573036,0.3305412277610895,0.5081682980270926,3.578259121359584,3.5573225167459017,3.555562308988158,3.3806389018491285,3.3770487208772892,2.84030324033814,2.8257514910579205,2.778135661213786,1.9717580103287065,1.6638889480591685,0.5081682980270926
1.0,1.0,-0.3,True,8.131121496947301,0.12896448900985893,0.25999749204877365,3.387272147781736,3.2458851334601184,3.234021649725271,3.0415302089707597,3.0310127764211323,2.6293112839656465,2.611524869724481,2.649052324531402,1.782039138679826,1.5179448909344275,0.25999749204877365
1.0,1.0,-0.3,False,34.37726086465017,0.2651737628346276,0.44635701575378794,3.5727384066843295,3.546357015753788,3.5441623646788494,3.3386030115452114,3.3345692709427626,2.7607540232255983,2.745550193749985,2.6958395593332463,1.8541843169471082,1.5301901649716971,0.2928290799064461
