model,operator,isospin,m_chi_GeV,N_lo,N_L2,N_M,Z_joint,s_hat,lo_events_hat,theta_hat,P_ge1_event_at_shat,s_total_hat,Z_analytic,Z_LZ_table,Z_Nmax3,Z_only2024_Nmax3,Z_Nmax5,Z_only2024_Nmax5,Z_Nmax10,Z_only2024_Nmax10,Z_Nmax20,Z_only2024_Nmax20,B10_flat,B10_exp_penalty,B10_loguniform,w_B10_flat,w_B10_exp_penalty
O1s_200,O1,s,200,7872.768898428506,191.96515486089967,13.914780250013317,0.0,0.0,0.0,0.9992767296750985,0.0,0.0,0.0,0.0,0.0,0.46895101358893987,0.0,0.6929565285819883,0.0,1.0518379881428457,0.0,1.4234694041491387,1.0,1.0,1.0,,
O1s_1000,O1,s,1000,2744.703770862073,82.3709378046107,9.813542794880556,0.4782404730536186,0.00036980915401551163,1.0150165795256878,0.9944938439752826,0.0003697407830386412,1.0494770534635605,1.0602232644481449,0.0,0.36527113739501205,0.9712806998919169,0.42353559144638997,1.2463250672699198,0.4618376921081352,1.609871189516139,0.47390456959857685,1.9458810990785465,1.0000000132870137,1.0000000000000062,1.0,0.004456659270101999,0.0018439466118887174
O1s_4000,O1,s,4000,2377.971804173399,73.4925109257473,9.370164235979441,0.5925761302806399,0.0005050959922514925,1.2011040279750347,0.9936361981512427,0.0005049684527449472,1.2434627290987117,1.1854722699260634,0.0,0.4638239744088011,1.0481717194131102,0.5306210508929693,1.3231913711948706,0.5740365266022741,1.6819333724050471,0.5876761319033581,2.0114700812199855,1.0000001366895976,1.000000000000338,1.0,,
O1v_200,O1,v,200,1610.4171334680282,15.494114811314972,3.339340993329276,0.9044119294710584,0.0010326206008697766,1.6629499080127386,0.9917017080235166,0.0010320876316844974,1.6834303430630544,1.497125921551537,0.0,0.7434299586989779,1.2583412110787806,0.8272289229370365,1.5280493892012816,0.8812218767175138,1.8711239661467438,0.8982655824649778,2.1829507069139926,1.000408750829913,1.0000000014061246,1.0000000000000002,,
O1v_1000,O1,v,1000,476.90672412229316,6.666815275666115,1.83761364344942,1.6505042906564196,0.004672069558560149,2.228141388044409,0.989208431146566,0.004661172418916948,2.2725467410689073,2.1532037870352467,1.3,1.4896275265262393,1.8772411551406036,1.57433636459044,2.1096332336572807,1.6276963070950925,2.3984926879638415,1.644458990935853,2.6593957136871924,1.0045537996871907,1.0007687965951992,1.1505318386813823,0.004476953944206756,0.0018453642317656552
O1v_4000,O1,v,4000,404.2065416758892,5.9556191536041405,1.6961104603140569,1.7370141563397479,0.005592451239957447,2.260505375194238,0.9890619798804631,0.005576842594939069,2.308889751201371,2.2268586612690657,1.2,1.5794914412505086,1.9543632525932753,1.662488996526763,2.1812521050237685,1.71470568224553,2.4631852848929148,1.7311017333240684,2.717784037368478,1.006309467120261,1.0010694114688994,1.2443346976945497,,
O3s_200,O3,s,200,37.244548069466866,18.38672280566121,0.9660809886244247,2.591234255963978,0.04174663177513368,1.5548344338872992,0.988940782271709,0.04088724151319223,2.4044954394788856,2.9464695931143816,,2.527636593793576,2.8813837370965434,2.5642327438740518,3.03915170421428,2.583837318832984,3.2285625550192565,2.5893360699725885,3.383597775895531,1.301990232796047,1.1200490331898625,8.376169882002042,,
O3s_1000,O3,s,1000,12.645696874581077,7.53124591943548,0.6969964104728378,2.917008680631001,0.10467803226840391,1.3237266654938524,0.9898352248216392,0.09938555529921866,2.2897209138846466,3.201190375719859,,2.8733685093531087,3.1970248878386003,2.8990728224306666,3.3199269393173503,2.912201460346822,3.451852067082803,2.9157835011599746,3.536717039347473,2.878784625588528,1.9429882779005987,22.11444582577558,0.012829762017787,0.0035827666519742804
O3s_4000,O3,s,4000,10.922824318860746,6.679174336792159,0.6675177796333835,2.955700012377252,0.11754560079093547,1.2839299468943268,0.9900192225340968,0.11090003283970074,2.265046886336532,3.2279829397398037,,2.914752119015788,3.2342240544370684,2.938964120191686,3.3513990278060266,2.9512302287840977,3.473844014224964,2.9545620518685634,3.5486029835585704,3.368615414059334,2.235206146106581,24.935175494279004,,
O3v_200,O3,v,200,14.173185461105733,10.947186049339846,7.6783536005281245,2.681512908621163,0.05452087135967513,0.7727344212817635,0.9930557942096429,0.053061255247558226,1.8427359438964188,2.7075087096638133,,2.663011097385827,3.167048470626543,2.674457305289094,3.294204774035271,2.6797011169862395,3.433243306932721,2.6810567928020137,3.526066810020847,1.5229131600028885,1.7626832367208678,11.092295595911422,,
O3v_1000,O3,v,1000,5.034525139046728,5.134273360234525,5.222123506864726,2.8914587248347448,0.0993545515850862,0.5002029876338314,0.9946510801315018,0.09457836756696825,1.6285127059867552,2.571516949648343,,2.8838876346619973,3.4033496057296344,2.8886601902774385,3.485123390040175,2.890750890885868,3.5543812895934095,2.8912812410072455,3.5843989628920787,2.733719684289102,5.821825970184762,20.844659056770997,0.012183257010968233,0.01073513627272787
O3v_4000,O3,v,4000,4.37751989479446,4.642774940743889,4.96544952929708,2.9157095763596725,0.10675559536274994,0.46732474258106504,0.9948632020201462,0.10125469633024242,1.5998120616219813,2.5265379618064228,,2.9091226596726862,3.4282892998969428,2.9132824712786554,3.502922175987084,2.915096572809511,3.563027690727803,2.915555927747562,3.5874075281741984,3.001874875245798,7.072026829490688,22.460263587512507,,
O4s_200,O4,s,200,86.16709604311957,16.373980874051053,4.344681449452702,2.3320525161926793,0.021584363301605736,1.8598619056390469,0.9894039138335246,0.021353087898158152,2.328645403654449,2.7017584185515906,2.3,2.2398213167788454,2.5919506281939633,2.2911472371559354,2.7726630428264456,2.3204709933796526,2.9956485114464066,2.329047044397741,3.1913481979059197,1.0827917377193257,1.0231096079518294,4.098732945679701,,
O4s_1000,O4,s,1000,28.084161072578794,7.139001261833763,2.840298783673645,2.7019217435209324,0.056850676055086195,1.596603543416039,0.9903044500040864,0.05526486958906296,2.2207841736147738,2.98277353133144,2.7,2.6385178120475032,2.970354526926123,2.674815527855081,3.119948855822101,2.694458520467787,3.2963397147331577,2.7000033537903394,3.434807806412831,1.5601689522778308,1.2075795906009061,11.630695465017851,0.0069531413317078326,0.0022267122946744915
O4s_4000,O4,s,4000,24.09118779825188,6.378909756894232,2.6820982972943925,2.7460471197423644,0.06432839476311811,1.5497474389983612,0.9904863712174032,0.06230298582573812,2.1969559368231177,3.012440772867601,2.7,2.6864936290854073,3.0168492934233226,2.720751123927263,3.1617912284426546,2.7391143725641536,3.3305729662836336,2.7442677670217552,3.459392232586006,1.7163374180373696,1.278904352283234,13.256576516352503,,
O4v_200,O4,v,200,90.07912797517656,17.721532314610744,4.499147393037612,2.312137387746034,0.020555288212366855,1.8516024374484321,0.9893928997733217,0.02034546837059803,2.328910201326203,2.6851417974404828,2.4,2.2197550510505413,2.5755813446940845,2.2712020033817795,2.7575063224343754,2.3005556855484084,2.982147390612367,2.3091326345634964,3.1797147227574856,1.0752576375604181,1.0211670339161798,3.8887934663564234,,
O4v_1000,O4,v,1000,29.337055028973037,7.715091453868584,2.930896710255489,2.6855084351222174,0.05432806791073718,1.5938255179150809,0.9902593671877759,0.05287866459014834,2.226529553783255,2.9704451700764474,2.7,2.6218888148657724,2.956882907892562,2.658320791515503,3.107770906325096,2.6780249209164926,3.286254439402893,2.683585009150263,3.4273870238668405,1.5118693076389982,1.190787929423323,11.082682026398835,0.006737886275545644,0.002195749367938104
