A,model,E_node1_keV,E_node2_keV,q_node1_MeV,q_node2_MeV,F2_at_node2
128,shell,109.1,277.6,161.3,257.2,-1.208e-06
128,Helm,98.4,290.8,153.1,263.3,1.762e-10
128,2pF,107.7,321.7,160.2,276.9,8.431e-12
129,shell,105.4,276,159.1,257.5,6.466e-08
129,Helm,97.1,287,152.7,262.6,1.777e-10
129,2pF,106.4,317.6,159.9,276.2,1.294e-12
130,shell,105.2,270.3,159.6,255.8,2.105e-06
130,Helm,95.9,283.3,152.4,261.9,3.79e-11
130,2pF,105,313.6,159.4,275.5,9.742e-13
131,shell,101.9,268.4,157.7,255.9,2.679e-07
131,Helm,94.6,279.7,151.9,261.2,8.754e-11
131,2pF,103.7,309.7,159,274.9,1.719e-11
132,shell,101.7,263.3,158.1,254.4,1.492e-07
132,Helm,93.4,276.1,151.5,260.5,6.999e-15
132,2pF,102.4,305.8,158.6,274.2,1.13e-10
134,shell,96.7,258.4,155.3,253.9,3.707e-07
134,Helm,91.1,269.2,150.8,259.2,1.149e-10
134,2pF,100,298.4,158,272.9,2.106e-11
136,shell,94.8,251.1,154.9,252.2,-1.025e-06
136,Helm,88.8,262.5,150,257.8,1.892e-11
136,2pF,97.6,291.2,157.2,271.6,1.066e-11
0,shell,102,266.9,158,255.6,3.5e-06
0,Helm,94.3,278.9,151.9,261.3,6.475e-06
0,2pF,103.3,308.8,159,274.9,4.179e-06
