A,response,combo,minima_keV,W_over_W0_at_248,W_over_W0_at_150,W_over_W0_at_400,q4W_peak_keV,q4W_248_over_peak
129,Sigma',W00,90;375,0.006858,0.004193,9.557e-05,233,0.9617
129,Sigma',Wnn,75;110;401,0.00652,0.002429,9.084e-07,241.5,0.9934
129,Sigma',Wpp,50;278,0.01756,0.3497,0.1223,420,0.04546
129,Sigma'',W00,none <420 keV,0.01326,0.01739,0.005132,308.5,0.9053
129,Sigma'',Wnn,none <420 keV,0.01254,0.01719,0.005202,322,0.8879
129,Sigma'',Wpp,76;398,0.0529,0.02463,0.02023,420,0.8901
131,Sigma',W00,36;292,0.009838,0.04809,0.01536,420,0.2114
131,Sigma',Wnn,37;286,0.009108,0.04759,0.01891,420,0.1596
131,Sigma',Wpp,28;280,0.07493,1.019,0.1688,420,0.1525
131,Sigma'',W00,none <420 keV,0.06356,0.2275,0.03283,420,0.7073
131,Sigma'',Wnn,none <420 keV,0.06674,0.2363,0.03542,420,0.6868
131,Sigma'',Wpp,140;292,0.003981,0.01529,0.01621,420,0.0727
