halo,ratio_eta_400,ratio_eta_600,ratio_eta_700,ratio_eta_750,ratio_eta_780,ratio_eta_800,vmax_june
std,1,1,1,1,1,1,810
vesc500,0.9869,0.8689,0.5457,0.1129,0,0,766
vesc528,0.9961,0.9599,0.848,0.6358,0.26,0,794
vesc560,1.003,1.033,1.133,1.359,1.969,5.631,826
vesc600,1.008,1.089,1.378,2.114,4.454,23,866
v0_220,0.8311,0.5507,0.3899,0.2556,0.0812,0,792.5
v0_250,1.098,1.37,1.65,2.006,2.784,6.958,822
king1,0.9733,0.8076,0.5567,0.3474,0.1876,0.06559,810
king2,0.6073,0.09661,0.01763,0.004279,0.0009522,9.799e-05,810
king3,0.3926,0.0114,0.0005048,4.521e-05,4.019e-06,1.194e-07,810
shmpp,0.9772,0.8546,0.8011,0.8,0.8,0.8,810
shmpp_iso,1.065,1.38,1.737,1.979,2.141,2.255,810
shmpp_evans,0.9259,0.6939,0.531,0.3434,0.07336,0,789
env_low,0.2252,0.001473,5.147e-06,0,0,0,748.5
env_high,1.108,1.496,2.225,3.801,8.779,49.57,878
