m_GeV,delta_keV,epoch,halo,family,N
400,100,june16,std,std,1.5924e+07
400,100,june16,vesc500,vesc,1.5106e+07
400,100,june16,vesc528,vesc,1.5674e+07
400,100,june16,vesc560,vesc,1.6127e+07
400,100,june16,vesc600,vesc,1.6474e+07
400,100,june16,v0_220,v0,1.1117e+07
400,100,june16,v0_250,v0,1.9301e+07
400,100,june16,king1,king,1.4567e+07
400,100,june16,king2,king,5.0316e+06
400,100,june16,king3,king,1.9822e+06
400,100,june16,shmpp,shmpp,1.4738e+07
400,100,june16,shmpp_iso,shmpp,1.885e+07
400,100,june16,shmpp_evans,shmpp,1.3173e+07
400,100,june16,env_low,env,7.8007e+05
400,100,june16,env_high,env,2.0068e+07
400,100,annual,std,std,1.4303e+07
400,100,annual,vesc500,vesc,1.347e+07
400,100,annual,vesc528,vesc,1.4049e+07
400,100,annual,vesc560,vesc,1.4511e+07
400,100,annual,vesc600,vesc,1.4867e+07
400,100,annual,v0_220,v0,9.796e+06
400,100,annual,v0_250,v0,1.7517e+07
400,100,annual,king1,king,1.295e+07
400,100,annual,king2,king,4.0889e+06
400,100,annual,king3,king,1.4803e+06
400,100,annual,shmpp,shmpp,1.3234e+07
400,100,annual,shmpp_iso,shmpp,1.7192e+07
400,100,annual,shmpp_evans,shmpp,1.1749e+07
400,100,annual,env_low,env,5.4847e+05
400,100,annual,env_high,env,1.8307e+07
400,125,june16,std,std,5.2314e+06
400,125,june16,vesc500,vesc,4.7147e+06
400,125,june16,vesc528,vesc,5.0696e+06
400,125,june16,vesc560,vesc,5.366e+06
400,125,june16,vesc600,vesc,5.6033e+06
400,125,june16,v0_220,v0,3.2057e+06
400,125,june16,v0_250,v0,6.8143e+06
400,125,june16,king1,king,4.4751e+06
400,125,june16,king2,king,9.4192e+05
400,125,june16,king3,king,2.302e+05
400,125,june16,shmpp,shmpp,4.6538e+06
400,125,june16,shmpp_iso,shmpp,6.7587e+06
400,125,june16,shmpp_evans,shmpp,3.9495e+06
400,125,june16,env_low,env,61747
400,125,june16,env_high,env,7.3536e+06
400,125,annual,std,std,4.5475e+06
400,125,annual,vesc500,vesc,4.0418e+06
400,125,annual,vesc528,vesc,4.3886e+06
400,125,annual,vesc560,vesc,4.6805e+06
400,125,annual,vesc600,vesc,4.9168e+06
400,125,annual,v0_220,v0,2.7265e+06
400,125,annual,v0_250,v0,5.9946e+06
400,125,annual,king1,king,3.8261e+06
400,125,annual,king2,king,7.2645e+05
400,125,annual,king3,king,1.608e+05
400,125,annual,shmpp,shmpp,4.0523e+06
400,125,annual,shmpp_iso,shmpp,5.9851e+06
400,125,annual,shmpp_evans,shmpp,3.406e+06
400,125,annual,env_low,env,40117
400,125,annual,env_high,env,6.5321e+06
400,150,june16,std,std,1.5594e+06
400,150,june16,vesc500,vesc,1.2891e+06
400,150,june16,vesc528,vesc,1.4718e+06
400,150,june16,vesc560,vesc,1.6345e+06
400,150,june16,vesc600,vesc,1.7735e+06
400,150,june16,v0_220,v0,8.3817e+05
400,150,june16,v0_250,v0,2.1856e+06
400,150,june16,king1,king,1.2146e+06
400,150,june16,king2,king,1.5513e+05
400,150,june16,king3,king,23303
400,150,june16,shmpp,shmpp,1.3297e+06
400,150,june16,shmpp_iso,shmpp,2.2104e+06
400,150,june16,shmpp_evans,shmpp,1.0612e+06
400,150,june16,env_low,env,4169.7
400,150,june16,env_high,env,2.5074e+06
400,150,annual,std,std,1.3061e+06
400,150,annual,vesc500,vesc,1.0527e+06
400,150,annual,vesc528,vesc,1.2234e+06
400,150,annual,vesc560,vesc,1.3778e+06
400,150,annual,vesc600,vesc,1.5119e+06
400,150,annual,v0_220,v0,6.8509e+05
400,150,annual,v0_250,v0,1.8559e+06
400,150,annual,king1,king,9.9251e+05
400,150,annual,king2,king,1.1353e+05
400,150,annual,king3,king,15319
400,150,annual,shmpp,shmpp,1.1165e+06
400,150,annual,shmpp_iso,shmpp,1.8898e+06
400,150,annual,shmpp_evans,shmpp,8.7852e+05
400,150,annual,env_low,env,2513.7
400,150,annual,env_high,env,2.1666e+06
400,175,june16,std,std,4.1921e+05
400,175,june16,vesc500,vesc,3.028e+05
400,175,june16,vesc528,vesc,3.7957e+05
400,175,june16,vesc560,vesc,4.5492e+05
400,175,june16,vesc600,vesc,5.2548e+05
400,175,june16,v0_220,v0,1.9838e+05
400,175,june16,v0_250,v0,6.3227e+05
400,175,june16,king1,king,2.9015e+05
400,175,june16,king2,king,23837
400,175,june16,king3,king,2369.5
400,175,june16,shmpp,shmpp,3.4608e+05
