m_GeV,epoch,halo,family,delta_N1,delta_N3p65,delta_N0p105,shift_N1_vs_std,N_at_300,N_at_350,N_at_366
400,june16,std,std,334.6,330.5,341.4,0,438.8,0.0003537,0
400,june16,vesc500,vesc,302.8,300.4,307.1,-31.74,4.447,0,0
400,june16,vesc528,vesc,323.2,319.6,329.1,-11.41,186.3,0,0
400,june16,vesc560,vesc,346.1,341.3,353.8,11.56,754.8,0.3248,0
400,june16,vesc600,vesc,373.8,367.5,384.3,39.26,1559,47.66,4.932
400,june16,v0_220,v0,319.5,314.7,325.2,-15.05,68.3,0,0
400,june16,v0_250,v0,345,340.5,352.3,10.44,1082,0.2182,0
400,june16,king1,king,326.1,321.1,333.6,-8.457,108.9,2.16e-06,0
400,june16,king2,king,299,289.2,312,-35.6,0.8695,2.894e-10,0
400,june16,king3,king,263.3,250.7,281.9,-71.29,0.00622,3.201e-14,0
400,june16,shmpp,shmpp,333.9,329.7,340.8,-0.7015,351,0.000283,0
400,june16,shmpp_iso,shmpp,337.1,333,343.6,2.551,913,0.000816,0
400,june16,shmpp_evans,shmpp,318.5,314.3,323.7,-16.05,83,0,0
400,june16,env_low,env,228.6,217.7,244.7,-105.9,0,0,0
400,june16,env_high,env,385,378.5,396.4,50.46,3027,159.6,27.94
400,annual,std,std,330.3,325,337.1,0,213.9,5.802e-05,0
400,annual,vesc500,vesc,300,295.8,304.1,-30.29,1.023,0,0
400,annual,vesc528,vesc,319.2,314.4,325.1,-11.11,72.01,0,0
400,annual,vesc560,vesc,341.3,335.5,349.1,10.97,432.4,0.08088,0
400,annual,vesc600,vesc,368.2,361.3,378.5,37.83,1094,19.87,1.582
400,annual,v0_220,v0,314.6,310.2,321.6,-15.69,25.63,0,0
400,annual,v0_250,v0,340.4,335,347.7,10.05,600.3,0.05108,0
400,annual,king1,king,321.3,315.3,329.5,-9.027,46.28,3.513e-07,0
400,annual,king2,king,292.3,282.3,306.1,-37.99,0.3222,4.675e-11,0
400,annual,king3,king,256.5,243.6,275.3,-73.8,0.002071,5.134e-15,0
400,annual,shmpp,shmpp,329.5,324.1,336.4,-0.8075,171.1,4.642e-05,0
400,annual,shmpp_iso,shmpp,332.8,328.4,339.6,2.438,451.8,0.0001339,0
400,annual,shmpp_evans,shmpp,314,310.1,320.6,-16.28,29.52,0,0
400,annual,env_low,env,222.6,211.1,238.2,-107.7,0,0,0
400,annual,env_high,env,379.2,372.3,390.2,48.85,2211,76.87,10.43
1000,june16,std,std,372.1,364.2,386.4,0,1146,26.92,2.781
1000,june16,vesc500,vesc,341.1,334.7,352,-31.04,386.8,0.1679,3.605e-06
1000,june16,vesc528,vesc,361,353.7,374.1,-11.12,862.4,6.866,0.4423
1000,june16,vesc560,vesc,383,374.5,398.7,10.91,1411,65.98,11.86
1000,june16,vesc600,vesc,409.2,399,428,37.1,1957,221.7,81.12
1000,june16,v0_220,v0,354.8,347.3,367.9,-17.35,372.4,2.328,0.1458
1000,june16,v0_250,v0,383.7,375.2,398.3,11.55,2078,88.61,14.22
1000,june16,king1,king,360.6,352.3,374.1,-11.58,515.9,5.075,0.4097
1000,june16,king2,king,324.5,312.1,342.2,-47.64,10.93,0.03155,0.002022
1000,june16,king3,king,284.7,270.4,306.5,-87.39,0.2175,0.0001951,9.821e-06
1000,june16,shmpp,shmpp,370.7,362.8,385.2,-1.39,916.7,21.54,2.224
1000,june16,shmpp_iso,shmpp,377.2,369,390.3,5.067,2134,57.59,6.057
1000,june16,shmpp_evans,shmpp,355.1,347.9,368,-17.03,509.4,2.54,0.1544
1000,june16,env_low,env,250.6,237.3,269.7,-121.5,0.0007281,0,0
1000,june16,env_high,env,421.9,411.2,,49.74,3384,478.8,199.3
1000,annual,std,std,365.7,357.6,379.5,0,783.7,10.88,0.9681
1000,annual,vesc500,vesc,335.3,328.9,346.1,-30.38,199.1,0.04381,5.888e-07
1000,annual,vesc528,vesc,354.8,347.4,367.5,-10.89,548.6,2.347,0.1392
1000,annual,vesc560,vesc,376.4,367.7,391.3,10.69,1016,31.64,4.666
1000,annual,vesc600,vesc,402.1,391.7,419.9,36.45,1511,140.5,45.44
1000,annual,v0_220,v0,348.6,340.7,361.1,-17.05,232.4,0.788,0.04491
1000,annual,v0_250,v0,376.9,368.5,391.5,11.17,1490,40.78,5.376
1000,annual,king1,king,354.1,345.5,367.4,-11.62,319.7,1.888,0.137
1000,annual,king2,king,317.4,304.8,335.3,-48.26,5.798,0.01088,0.0006354
1000,annual,king3,king,277.7,263.3,299.6,-87.99,0.1009,6.317e-05,2.881e-06
1000,annual,shmpp,shmpp,364.3,356.1,378.1,-1.346,627.2,8.704,0.7745
1000,annual,shmpp_iso,shmpp,370.4,362.6,384,4.686,1497,23.43,2.114
1000,annual,shmpp_evans,shmpp,349,341.5,361.3,-16.66,314.3,0.8368,0.04498
1000,annual,env_low,env,243.4,230.6,263,-122.3,0.0002237,0,0
1000,annual,env_high,env,414.5,403.8,433.1,48.84,2672,320.8,120.4
4000,june16,std,std,383.3,373,401.9,0,541.2,33.89,8.006
4000,june16,vesc500,vesc,354.4,346,369.7,-28.96,271,1.987,0.1831
4000,june16,vesc528,vesc,373,363.4,390.5,-10.35,447.8,16.51,2.641
4000,june16,vesc560,vesc,393.4,382.3,413.1,10.1,625.3,56.51,17.5
4000,june16,vesc600,vesc,417.4,404.2,439.6,34.06,793.3,120,54.02
4000,june16,v0_220,v0,365.5,355.1,382.1,-17.83,204,6.346,0.9488
4000,june16,v0_250,v0,394.9,384.3,414.6,11.54,911.9,80.82,23.9
4000,june16,king1,king,370.5,359.5,387.7,-12.89,289.8,9.572,1.747
4000,june16,king2,king,327.5,312.1,349.7,-55.8,8.972,0.1012,0.01377
4000,june16,king3,king,284.7,268.4,310,-98.6,0.2682,0.001066,0.0001133
4000,june16,shmpp,shmpp,381.6,371.1,400,-1.714,433.7,27.11,6.405
4000,june16,shmpp_iso,shmpp,389.2,379.2,407.9,5.903,953.2,69.29,16.89
4000,june16,shmpp_evans,shmpp,366.7,356.9,383.4,-16.65,277.5,8.097,1.118
4000,june16,env_low,env,251.9,236.9,274.1,-131.5,0.00399,3.042e-07,7.679e-10
4000,june16,env_high,env,430.2,417.1,,46.87,1313,235.5,115.6
4000,annual,std,std,376.3,365.7,393.8,0,398.2,17.78,3.542
4000,annual,vesc500,vesc,347.9,339.1,362.3,-28.43,168.8,0.7132,0.06051
4000,annual,vesc528,vesc,366.1,356.2,382.5,-10.15,315.4,7.52,1.033
4000,annual,vesc560,vesc,386.2,374.8,404.9,9.922,474.7,33.14,8.871
4000,annual,vesc600,vesc,409.8,396.4,431.3,33.55,629.2,83.43,34.67
4000,annual,v0_220,v0,358.5,347.8,374.8,-17.76,141,2.842,0.3691
4000,annual,v0_250,v0,387.7,376.9,406.2,11.43,693.4,46.32,11.72
4000,annual,king1,king,363.3,352.1,380.4,-13.01,197.2,4.54,0.7199
4000,annual,king2,king,320.2,304.6,342.5,-56.07,5.246,0.04297,0.005294
