m_GeV,delta_keV,epoch,halo,family,N_unit,N_std,ratio,log10_ratio,c2_one_event,log10_c2_shift
400,250,june16,std,std,1.1857e+05,1.1857e+05,1,0,8.434e-06,-0
400,250,june16,vesc500,vesc,60502,1.1857e+05,0.51027,-0.2922,1.6528e-05,0.2922
400,250,june16,vesc528,vesc,96527,1.1857e+05,0.81411,-0.089316,1.036e-05,0.089316
400,250,june16,vesc560,vesc,1.4171e+05,1.1857e+05,1.1952,0.077446,7.0565e-06,-0.077446
400,250,june16,vesc600,vesc,2.0211e+05,1.1857e+05,1.7046,0.23162,4.9479e-06,-0.23162
400,250,june16,v0_220,v0,44257,1.1857e+05,0.37327,-0.42798,2.2595e-05,0.42798
400,250,june16,v0_250,v0,2.0493e+05,1.1857e+05,1.7284,0.23764,4.8797e-06,-0.23764
400,250,june16,king1,king,63655,1.1857e+05,0.53686,-0.27013,1.571e-05,0.27013
400,250,june16,king2,king,2055.1,1.1857e+05,0.017333,-1.7611,0.00048658,1.7611
400,250,june16,king3,king,62.498,1.1857e+05,0.00052711,-3.2781,0.016,3.2781
400,250,june16,shmpp,shmpp,95011,1.1857e+05,0.80133,-0.096189,1.0525e-05,0.096189
400,250,june16,shmpp_iso,shmpp,2.0838e+05,1.1857e+05,1.7575,0.24489,4.7989e-06,-0.24489
400,250,june16,shmpp_evans,shmpp,59910,1.1857e+05,0.50529,-0.29646,1.6692e-05,0.29646
400,250,june16,env_low,env,0.83998,1.1857e+05,7.0844e-06,-5.1497,1.1905,5.1497
400,250,june16,env_high,env,3.5393e+05,1.1857e+05,2.9851,0.47496,2.8254e-06,-0.47496
400,250,annual,std,std,86520,86520,1,0,1.1558e-05,-0
400,250,annual,vesc500,vesc,39098,86520,0.45189,-0.34496,2.5577e-05,0.34496
400,250,annual,vesc528,vesc,68616,86520,0.79306,-0.10069,1.4574e-05,0.10069
400,250,annual,vesc560,vesc,1.0521e+05,86520,1.216,0.084941,9.5048e-06,-0.084941
400,250,annual,vesc600,vesc,1.5441e+05,86520,1.7847,0.25156,6.4762e-06,-0.25156
400,250,annual,v0_220,v0,30945,86520,0.35766,-0.44653,3.2316e-05,0.44653
400,250,annual,v0_250,v0,1.5249e+05,86520,1.7625,0.24612,6.5578e-06,-0.24612
400,250,annual,king1,king,43674,86520,0.50478,-0.2969,2.2897e-05,0.2969
400,250,annual,king2,king,1212.4,86520,0.014013,-1.8535,0.00082481,1.8535
400,250,annual,king3,king,31.954,86520,0.00036933,-3.4326,0.031295,3.4326
400,250,annual,shmpp,shmpp,69361,86520,0.80168,-0.096,1.4417e-05,0.096
400,250,annual,shmpp_iso,shmpp,1.5551e+05,86520,1.7974,0.25463,6.4305e-06,-0.25463
400,250,annual,shmpp_evans,shmpp,41999,86520,0.48542,-0.31388,2.381e-05,0.31388
400,250,annual,env_low,env,0.30337,86520,3.5063e-06,-5.4551,3.2963,5.4551
400,250,annual,env_high,env,2.7406e+05,86520,3.1676,0.50073,3.6488e-06,-0.50073
400,300,june16,std,std,7738,7738,1,0,0.00012923,-0
400,300,june16,vesc500,vesc,109.31,7738,0.014126,-1.85,0.0091487,1.85
400,300,june16,vesc528,vesc,3517,7738,0.45451,-0.34246,0.00028433,0.34246
400,300,june16,vesc560,vesc,12751,7738,1.6479,0.21693,7.8422e-05,-0.21693
400,300,june16,vesc600,vesc,25015,7738,3.2327,0.50957,3.9976e-05,-0.50957
400,300,june16,v0_220,v0,1306.5,7738,0.16885,-0.7725,0.00076538,0.7725
400,300,june16,v0_250,v0,18403,7738,2.3783,0.37626,5.4339e-05,-0.37626
400,300,june16,king1,king,2010.6,7738,0.25983,-0.58531,0.00049737,0.58531
400,300,june16,king2,king,16.917,7738,0.0021862,-2.6603,0.059114,2.6603
400,300,june16,king3,king,0.12666,7738,1.6368e-05,-4.786,7.8952,4.786
400,300,june16,shmpp,shmpp,6190.5,7738,0.8,-0.096908,0.00016154,0.096908
400,300,june16,shmpp_iso,shmpp,16011,7738,2.0692,0.31579,6.2456e-05,-0.31579
400,300,june16,shmpp_evans,shmpp,1615,7738,0.2087,-0.68047,0.00061921,0.68047
400,300,june16,env_low,env,0,7738,0,-inf,inf,inf
400,300,june16,env_high,env,48085,7738,6.2141,0.79338,2.0797e-05,-0.79338
400,300,annual,std,std,3893.2,3893.2,1,0,0.00025686,-0
