m_GeV,epoch,delta_keV,N_std,spread_gaia_dex,spread_shape_dex,spread_single_dex,spread_envelope_dex,spread_envelope_plus_rho_dex,lr_std,lr_vesc500,lr_vesc528,lr_vesc560,lr_vesc600,lr_v0_220,lr_v0_250,lr_king1,lr_king2,lr_king3,lr_shmpp,lr_shmpp_iso,lr_shmpp_evans,lr_env_low,lr_env_high
400,june16,100,1.592e+07,0.2396,0.9049,0.9884,1.41,1.632,0,-0.0229,-0.006852,0.005507,0.01475,-0.156,0.08352,-0.03866,-0.5003,-0.9049,-0.03361,0.07328,-0.08237,-1.31,0.1005
400,june16,125,5.231e+06,0.3275,1.357,1.471,2.076,2.298,0,-0.04517,-0.01364,0.01103,0.02983,-0.2127,0.1148,-0.06782,-0.7446,-1.357,-0.05081,0.1112,-0.1221,-1.928,0.1479
400,june16,150,1.559e+06,0.4162,1.826,1.972,2.779,3.001,0,-0.08267,-0.02509,0.02044,0.05588,-0.2696,0.1466,-0.1085,-1.002,-1.826,-0.0692,0.1515,-0.1672,-2.573,0.2063
400,june16,175,4.192e+05,0.5034,2.248,2.426,3.436,3.658,0,-0.1413,-0.04315,0.0355,0.09812,-0.3249,0.1785,-0.1598,-1.245,-2.248,-0.08326,0.1891,-0.2125,-3.156,0.2797
400,june16,200,1.032e+05,0.5799,2.563,2.771,3.998,4.219,0,-0.2128,-0.0663,0.05553,0.1561,-0.3724,0.2074,-0.2095,-1.427,-2.563,-0.08946,0.2166,-0.2536,-3.632,0.3656
400,june16,225,2.573e+04,0.6243,2.848,3.073,4.625,4.847,0,-0.2481,-0.08072,0.07056,0.2064,-0.3992,0.2251,-0.2344,-1.553,-2.848,-0.09336,0.2286,-0.2781,-4.189,0.4361
400,june16,250,7651,0.6583,3.289,3.523,5.645,5.866,0,-0.2867,-0.08556,0.07322,0.2189,-0.4243,0.234,-0.2675,-1.763,-3.289,-0.09623,0.2441,-0.292,-5.185,0.4591
400,june16,260,4873,0.694,3.531,3.774,6.29,6.512,0,-0.3577,-0.09826,0.07888,0.2275,-0.4502,0.2437,-0.3026,-1.897,-3.531,-0.09665,0.257,-0.3137,-5.819,0.4712
400,june16,270,3044,0.7536,3.807,4.069,7.189,7.411,0,-0.4905,-0.1249,0.09336,0.2533,-0.4923,0.2614,-0.3537,-2.059,-3.807,-0.09682,0.2724,-0.355,-6.687,0.5024
400,june16,280,1796,0.8454,4.117,4.424,8.532,8.754,0,-0.7219,-0.1711,0.1205,0.3074,-0.5562,0.2892,-0.4205,-2.246,-4.117,-0.09688,0.2885,-0.424,-7.967,0.5649
400,june16,290,959.4,0.9835,4.461,4.863,10.81,11.03,0,-1.14,-0.2465,0.1652,0.4011,-0.6529,0.3306,-0.5035,-2.459,-4.461,-0.0969,0.304,-0.5354,-10.14,0.6714
400,june16,300,438.8,1.2,4.848,5.399,inf,inf,0,-1.994,-0.3721,0.2356,0.5506,-0.8078,0.392,-0.6052,-2.703,-4.848,-0.09691,0.3182,-0.7231,-inf,0.8387
