shape,ffmodel,C_norm,C_recalled,N_pred_with_recalled_flux,phi_total_implied,phi_above_110MeV_implied,N_roi_eff,N_total_raw,frac_above_50_raw,N_above_50_eff,frac_above_100_raw,N_above_100_eff,frac_above_150_raw,N_above_150_eff,frac_above_200_raw,N_above_200_eff,frac_above_248_raw,N_above_248_eff,N_225_271_eff,N_200_270_eff,N_lo_5p4_200_eff,N_lo_per_hi,dRdE_at_248_per_tyr_keV,dRdE_at_20_per_tyr_keV
"central (g1=1, Eb=100, g2=2.5)",helm,0.05339031638334235,0.035370385786357525,0.07287356022698584,15.849369735778208,3.0816327243322004,0.11000000000006106,0.17585710384785208,0.020464485312519,0.003432221709991131,0.003997233995156575,0.000666653325610322,0.0021451976893948344,0.0003556158030008423,0.00041558280642985806,6.513816680471029e-05,4.1399961211510276e-05,2.3524173458862754e-06,1.6562139378024115e-05,6.505875065471546e-05,0.1061396796908312,1631.4435586711993,1.01065865260551e-07,0.0010010019580979008
"central (g1=1, Eb=100, g2=2.5)",wimpydd,0.06015422073051681,0.035370385786357525,0.06467945871877145,17.857292297729025,3.472038145997933,0.11000000000001908,0.18270960611508666,0.013240091368359765,0.0023074829995988655,0.00088511731215391,0.0001516923161790958,0.0003607624346481076,6.019885333649857e-05,4.3023674861007346e-05,4.757356253638619e-06,1.7908062624552386e-05,3.7591936299963775e-07,6.183697225669692e-07,4.600112884718809e-06,0.10583045368215631,23006.05579348199,1.8470938658415726e-09,0.0009866593475190664
"soft high-E (g1=1, Eb=100, g2=3)",helm,0.06090429697757612,0.03746607857341281,0.06766794540938198,17.068642959563867,2.516401965191812,0.1100000000000385,0.17930838013686562,0.017674560632382947,0.003023602325332316,0.00298118714287717,0.0005075163511447854,0.0015426754031072035,0.00026118631572273924,0.0002834980426381784,4.556541029577208e-05,2.6422894872957405e-05,1.5819903612557058e-06,1.134136236174165e-05,4.5513246499728265e-05,0.10599340139692395,2328.8473037746667,6.842670608982143e-08,0.0009932789941213592
"soft high-E (g1=1, Eb=100, g2=3)",wimpydd,0.06838055435699059,0.03746607857341281,0.060269599768959604,19.16389032659306,2.8253008392526198,0.11000000000001196,0.18630975257647076,0.01165408087995735,0.002071801859530723,0.0006664583598117184,0.00011682018188967153,0.00025997873314216905,4.4496963557739716e-05,2.8573533857196476e-05,3.324005178946098e-06,1.1285616272332807e-05,2.4866820103646265e-07,4.196502359733624e-07,3.2211783990822226e-06,0.10566500935730608,32803.21555223769,1.2462098345833201e-09,0.0009756288426520267
"hard high-E (g1=1, Eb=100, g2=2)",helm,0.04294655707091076,0.03188983641556971,0.08168016821280144,14.140519360720182,3.8612859039209777,0.11000000000010059,0.17099805151536124,0.024789426277375796,0.004040641978880901,0.005642044161724017,0.0009138143719872162,0.0031352965213657423,0.0005044546131416115,0.0006392994889617659,9.685046233801463e-05,6.79595759095697e-05,3.634130621024697e-06,2.5139372725682693e-05,9.672491895615429e-05,0.10634262446440687,1099.4335855955828,1.5510074419064076e-07,0.0010114053108215891
"hard high-E (g1=1, Eb=100, g2=2)",wimpydd,0.04863790670211603,0.03188983641556971,0.0721223885558392,16.01444465619391,4.372989975308433,0.11000000000003153,0.17761155896222908,0.015679495751309433,0.002655074883361687,0.001239818815583131,0.00020583076081233425,0.000527389909617022,8.498925456266605e-05,6.8158034380001e-05,7.094785296249792e-06,2.9807620493966322e-05,5.912478830233036e-07,9.486736669849413e-07,6.8447002772107426e-06,0.10606546610685169,15495.998628310139,2.849320224133616e-09,0.0010020755112564827
"Honda-like (g1=1.5, Eb=1000, g2=2.7)",helm,0.000926865589767693,0.0005652303110230407,0.06708128438355114,17.21791719723266,4.269815205907055,0.11000000000013344,0.17614963863740737,0.02581540648530424,0.004332812905604711,0.0065008831171812385,0.0010836676778847717,0.003694394168157074,0.0006115519543137601,0.0007780276854365138,0.00012095231285945938,8.600247423782287e-05,4.646071155779102e-06,3.179781834675158e-05,0.00012078959232449518,0.10620161030176531,879.2281541646404,1.9749529755527962e-07,0.0009973644051598633
"Honda-like (g1=1.5, Eb=1000, g2=2.7)",wimpydd,0.0010511251056193685,0.0005652303110230407,0.05915122175290265,19.526223901593756,4.842244667222058,0.11000000000004193,0.18349807497467732,0.015953947762966766,0.00278990934495504,0.0014139171107055897,0.00024190475375663513,0.0006184313745497213,0.0001025033070586679,8.4066096648848e-05,8.860782224923013e-06,3.784478957312747e-05,7.627376615921124e-07,1.2056497759285116e-06,8.536028692431937e-06,0.10592907074290682,12409.643238057972,3.6330825528576294e-09,0.0009895100550529742
"steep low-E (g1=2, Eb=100, g2=2.5)",helm,0.038412506291331854,0.010862818129736006,0.031107316591331178,37.12952856633957,2.217129330365177,0.11000000000004397,0.21603742698500436,0.012527954425185513,0.002581364189557143,0.0023426808813077652,0.0004799819130294577,0.0012563507697353274,0.00025585490916623537,0.0002433877085484719,4.686468280552113e-05,2.424605045580915e-05,1.6924838101706308e-06,1.1915892733963214e-05,4.6807545602223687e-05,0.10491405534131752,2241.3919378061423,7.271343284961404e-08,0.0009143074711600985
"steep low-E (g1=2, Eb=100, g2=2.5)",wimpydd,0.04279157861555355,0.010862818129736006,0.0279239521637242,41.362339873238,2.469884764134237,0.11000000000001356,0.22635913276274583,0.008002875840308702,0.001728049382427011,0.0005087226777416557,0.00010801602223728942,0.00020714781363212646,4.28236876460429e-05,2.4703760371367392e-05,3.3842144683705766e-06,1.0282629022778569e-05,2.6741569884134725e-07,4.3988628354516403e-07,3.2723571140371177e-06,0.1045281790777065,31942.778686752117,1.3139570492410783e-09,0.0008910593454673579
