sigma_low,sigma_high,green_top,green_mid,green_bot
-8.0,-7.5,0.0,0.0,0.0
-7.5,-7.0,0.0,0.0,0.0
-7.0,-6.5,0.0018001933328915445,0.0,0.0
-6.5,-6.0,0.003403414882518307,0.0,0.0
-6.0,-5.5,0.004874648020177973,0.0,0.0
-5.5,-5.0,0.006227679315078501,0.0,0.0
-5.0,-4.5,0.007453159674382292,0.0,0.0
-4.5,-4.0,0.008220412614574901,0.0,0.0
-4.0,-3.5,0.00891978959117906,0.0,0.0
-3.5,-3.0,0.00891978959117906,0.0,0.0
-3.0,-2.5,0.008775308866117352,2.073321573485954e-05,1.2395505680249337e-06
-2.5,-2.0,0.0090666491134128,4.2986623470822724e-05,1.611587484455653e-06
-2.0,-1.5,0.011395610288557869,7.498942093324559e-05,4.2867124504654955e-06
-1.5,-1.0,0.014798331982375294,0.0001122018454301963,5.84573842286055e-06
-1.0,-0.5,0.01859959750095305,0.00013856918628031274,5.84573842286055e-06
-0.5,0.0,0.020514301665692167,0.00014399033208816327,5.707904311994009e-06
0.0,0.5,0.01859959750095305,0.00012115276586285876,4.946528528199383e-06
0.5,1.0,0.013638034132877458,8.743124580220732e-05,2.4761809802357082e-06
1.0,1.5,0.007453159674382292,5.108969774506924e-05,1.7729833746196925e-06
1.5,2.0,0.0029866016793638653,2.417315480804106e-05,0.0
2.0,2.5,0.0,0.0,0.0
2.5,3.0,0.0,0.0,0.0
3.0,3.5,0.0,0.0,0.0
3.5,4.0,0.0,0.0,0.0
4.0,4.5,0.0,0.0,0.0
4.5,5.0,0.0,0.0,0.0
5.0,5.5,0.0,0.0,0.0
5.5,6.0,0.0,0.0,0.0
6.0,6.5,0.0,0.0,0.0
6.5,7.0,0.0,0.0,0.0
7.0,7.5,0.0,0.0,0.0
7.5,8.0,0.0,0.0,0.0
