end,k,N_new,P_DM|b=2e-4,P_U|b=2e-4,P_K|b=2e-4,BF2_DMvsK|b=2e-4,p_comb|b=2e-4,Z_comb|b=2e-4,Z_new_only|b=2e-4,P_DM|b=1e-3,P_U|b=1e-3,P_K|b=1e-3,BF2_DMvsK|b=1e-3,p_comb|b=1e-3,Z_comb|b=1e-3,Z_new_only|b=1e-3,P_DM|b=0.0106,P_U|b=0.0106,P_K|b=0.0106,BF2_DMvsK|b=0.0106,p_comb|b=0.0106,Z_comb|b=0.0106,Z_new_only|b=0.0106,"P_DM|b=2e-4,piDM=0.05"
2026-09-02,2.38,0,0.01144,0.9653,0.02324,0.08761,0.0006758,3.205,0,0.01042,0.884,0.1056,0.08777,0.003374,2.709,0,0.005137,0.4602,0.5346,0.08975,0.0352,1.809,0,0.05473
2026-09-02,2.38,1,0.06226,0.9377,4.277e-05,259.2,2.284e-07,5.044,3.304,0.06148,0.9375,0.001053,51.93,5.7e-06,4.389,2.823,0.049,0.8597,0.09129,5.013,0.0006268,3.226,1.961,0.2492
2026-09-02,2.38,2,0.3583,0.6417,5.546e-08,1.15e+06,5.147e-11,6.463,5.176,0.3537,0.6463,6.826e-06,4.609e+04,6.421e-09,5.688,4.539,0.3017,0.6916,0.006713,419.7,7.463e-06,4.33,3.42,0.7362
2026-09-02,2.38,3,0.8622,0.1378,2.256e-11,6.805e+09,8.698e-15,7.669,6.62,0.8589,0.1411,1.401e-08,5.454e+07,5.425e-12,6.795,5.865,0.8164,0.1834,0.0001627,4.686e+04,6.673e-08,5.274,4.554,0.969
2026-09-02,2.38,4,0.9887,0.01127,3.498e-15,5.033e+13,1.176e-18,8.739,7.847,0.9883,0.01167,1.09e-11,8.068e+10,3.667e-15,7.779,6.994,0.9827,0.01731,1.404e-06,6.539e+06,4.776e-10,6.117,5.524,0.9977
2026-12-31,2.703,0,0.009865,0.9661,0.02406,0.07299,0.0007404,3.178,0,0.008965,0.882,0.109,0.07315,0.003696,2.679,0,0.004365,0.4522,0.5434,0.07502,0.03849,1.768,0,0.0475
2026-12-31,2.703,1,0.04965,0.9503,4.485e-05,197.1,2.742e-07,5.009,3.269,0.04903,0.9499,0.001104,39.51,6.84e-06,4.349,2.782,0.03896,0.8659,0.09513,3.825,0.0007506,3.174,1.907,0.2071
2026-12-31,2.703,2,0.2862,0.7138,6.383e-08,7.983e+05,6.768e-11,6.421,5.128,0.2822,0.7178,7.844e-06,3.2e+04,8.441e-09,5.641,4.485,0.2373,0.7551,0.007583,292.3,9.79e-06,4.27,3.351,0.6672
2026-12-31,2.703,3,0.804,0.196,3.32e-11,4.311e+09,1.253e-14,7.622,6.563,0.7997,0.2003,2.058e-08,3.457e+07,7.814e-12,6.742,5.802,0.7452,0.2545,0.0002337,2.979e+04,9.588e-08,5.207,4.474,0.9535
2026-12-31,2.703,4,0.9813,0.0187,6.003e-15,2.911e+13,1.856e-18,8.687,7.782,0.9806,0.01935,1.869e-11,4.667e+10,5.787e-15,7.721,6.922,0.9715,0.0285,2.391e-06,3.794e+06,7.518e-10,6.044,5.435,0.9962
2027-12-31,3.686,0,0.006837,0.9665,0.0267,0.0456,0.0009368,3.11,0,0.00616,0.874,0.1198,0.04573,0.004675,2.599,0,0.002887,0.4274,0.5697,0.04732,0.04846,1.66,0,0.03332
2027-12-31,3.686,1,0.02781,0.9721,5.089e-05,97.3,4.389e-07,4.917,3.18,0.02747,0.9713,0.001252,19.52,1.095e-05,4.245,2.68,0.0217,0.872,0.1063,1.908,0.001194,3.037,1.771,0.1251
2027-12-31,3.686,2,0.1478,0.8522,8.451e-08,3.115e+05,1.371e-10,6.313,5.01,0.1455,0.8545,1.036e-05,1.249e+04,1.709e-08,5.519,4.351,0.1196,0.8707,0.009697,115.2,1.968e-05,4.111,3.177,0.4645
2027-12-31,3.686,3,0.5838,0.4162,7.82e-11,1.329e+09,3.212e-14,7.499,6.423,0.5774,0.4226,4.816e-08,1.067e+07,2.002e-11,6.604,5.644,0.5026,0.4969,0.0005059,9278,2.438e-07,5.031,4.273,0.8752
2027-12-31,3.686,4,0.9341,0.06588,2.345e-14,7.092e+12,6.021e-18,8.553,7.624,0.932,0.068,7.285e-11,1.138e+10,1.876e-14,7.569,6.745,0.903,0.09703,9.03e-06,9.339e+05,2.418e-09,5.853,5.211,0.9861
