end,cal_days,live_frac,live_days,M_t,exposure_tyr,k
2026-09-02,884,0.593,524.2,4.71,6.76,2.38
2026-09-02,884,0.5,442.0,4.71,5.7,2.007
2026-09-02,884,0.75,663.0,4.71,8.55,3.01
2026-09-02,884,0.593,524.2,5.5,7.894,2.779
2026-09-02,884,0.5,442.0,5.5,6.656,2.344
2026-09-02,884,0.75,663.0,5.5,9.984,3.515
2026-12-31,1004,0.593,595.4,4.71,7.677,2.703
2026-12-31,1004,0.5,502.0,4.71,6.473,2.279
2026-12-31,1004,0.75,753.0,4.71,9.71,3.419
2026-12-31,1004,0.593,595.4,5.5,8.965,3.157
2026-12-31,1004,0.5,502.0,5.5,7.559,2.662
2026-12-31,1004,0.75,753.0,5.5,11.339,3.993
2027-12-31,1369,0.593,811.8,4.71,10.468,3.686
2027-12-31,1369,0.5,684.5,4.71,8.827,3.108
2027-12-31,1369,0.75,1026.8,4.71,13.24,4.662
2027-12-31,1369,0.593,811.8,5.5,12.224,4.304
2027-12-31,1369,0.5,684.5,5.5,10.307,3.629
2027-12-31,1369,0.75,1026.8,5.5,15.461,5.444
