tag,m_GeV,cfg,delta_peak_keV,Z_peak,kappa_hat_peak,sigma_n_peak_cm2,S_tot_unit_peak,mu_hat_peak,Z_300,Z_350,delta_last_keV,Z_last,delta_248_median_keV,ceiling_june,dmax248_june,peak_minus_dmax248,peak_minus_ceiling
s,400,E246,340.0,3.444829994822237,2.413109528334107,7.133347501498178e-38,0.41440307133110166,1.0,2.7388050934351433,,340.0,3.444829994822237,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
s,400,E262,340.0,3.1625529110994406,2.413109528334107,7.133347501498178e-38,0.41440307133110166,1.0,2.119290159912632,,340.0,3.1625529110994406,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
s,400,bH_half,340.0,3.5923004972307937,2.413109528334107,7.133347501498178e-38,0.41440307133110166,1.0,2.922019603409663,,340.0,3.5923004972307937,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
s,400,bH_x2,340.0,3.1836318427622965,2.413109528334107,7.133347501498178e-38,0.41440307133110166,1.0,2.407607833449186,,340.0,3.1836318427622965,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
s,400,baseline,340.0,3.3940371776548766,2.413109528334107,7.133347501498178e-38,0.41440307133110166,1.0,2.67623838921007,,340.0,3.3940371776548766,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
s,400,gauss3,340.0,3.3940371776548957,2.413109528334107,7.133347501498178e-38,0.41440307133110166,1.0,2.677806158960408,,340.0,3.3940371776548957,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
s,400,june,340.0,3.3980078614446416,0.5303626194200542,1.5677949225702372e-38,1.8855024154860105,1.0,2.645485494560439,,340.0,3.3980078614446416,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
s,400,obscut,340.0,3.4034860525579105,2.311664357872064,6.833467349040265e-38,0.43258875216665155,1.0,2.684034779439485,,340.0,3.4034860525579105,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
s,400,sig15,340.0,3.468520951820578,2.427561336899846,7.176068219855174e-38,0.4119360383606476,1.0,2.7586434982959376,,340.0,3.468520951820578,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
s,400,sig8,340.0,3.3058371903683015,2.4024705802255726,7.101897907927107e-38,0.4162381875686103,1.0,2.6150483336957677,,340.0,3.3058371903683015,,341.31577795320413,341.0872248036917,-1.0872248036916972,-1.3157779532041332
s,400,sun,335.0,3.470019287066452,36.550374922438365,1.0804587299930402e-36,0.027359500473580572,1.0,2.703410589092332,,340.0,0.0,,341.31577795320413,341.0872248036917,-6.087224803691697,-6.315777953204133
s,1000,E246,380.0,3.6080983627027035,2.1940883486518437,6.504155462248778e-38,0.45577016103952667,1.0,2.73353269819512,3.168423670572248,395.0,0.0,380.4610420025079,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
s,1000,E262,385.0,3.679495763874944,12.517976682573696,3.71082898581966e-37,0.07988511445241005,1.0,2.1405747945880136,2.718501400956314,395.0,2.3999591204505464,382.6828888396057,397.14218013402126,386.6151128700423,-1.61511287004231,-12.14218013402126
s,1000,bH_half,380.0,3.7738664995136832,2.1940883486518437,6.504155462248778e-38,0.45577016103952667,1.0,2.9199828556097254,3.3355914306297336,395.0,0.0,380.7645473598143,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
