sigma_low,sigma_high,S1c<250_acc,S1c<250_acc_filled,S1c<250_total,250<S1c<500_acc,250<S1c<500_acc_filled,250<S1c<500_total,S1c>500_acc,S1c>500_acc_filled,S1c>500_total
-8.0,-7.5,2.557e-02,2.557e-02,2.962e-02,1.762e-04,1.762e-04,2.095e-04,3.303e-05,3.303e-05,3.997e-05
-7.5,-7.0,3.111e-02,3.111e-02,3.545e-02,1.601e-04,1.601e-04,1.940e-04,3.548e-05,3.548e-05,4.502e-05
-7.0,-6.5,3.847e-02,3.847e-02,4.529e-02,1.762e-04,1.762e-04,2.095e-04,3.226e-05,3.226e-05,4.192e-05
-6.5,-6.0,4.529e-02,4.529e-02,5.693e-02,1.540e-04,1.540e-04,1.903e-04,3.303e-05,3.303e-05,4.722e-05
-6.0,-5.5,5.510e-02,5.510e-02,7.273e-02,1.601e-04,1.601e-04,1.940e-04,2.933e-05,2.933e-05,4.502e-05
-5.5,-5.0,6.703e-02,6.703e-02,9.141e-02,1.373e-04,1.373e-04,1.696e-04,3.076e-05,3.076e-05,4.722e-05
-5.0,-4.5,8.021e-02,8.021e-02,1.187e-01,1.399e-04,1.399e-04,1.940e-04,2.666e-05,2.666e-05,4.093e-05
-4.5,-4.0,9.444e-02,9.444e-02,1.541e-01,1.321e-04,1.321e-04,2.177e-04,3.003e-05,3.003e-05,4.396e-05
-4.0,-3.5,1.130e-01,1.130e-01,2.002e-01,1.347e-04,1.347e-04,2.177e-04,2.796e-05,2.796e-05,4.293e-05
-3.5,-3.0,1.353e-01,1.353e-01,2.686e-01,1.200e-04,1.200e-04,3.385e-04,2.863e-05,2.863e-05,4.396e-05
-3.0,-2.5,1.541e-01,1.541e-01,3.663e-01,1.133e-04,1.133e-04,5.165e-04,2.730e-05,2.730e-05,4.396e-05
-2.5,-2.0,1.728e-01,1.728e-01,5.078e-01,9.904e-05,9.904e-05,4.263e-04,1.956e-05,1.956e-05,3.634e-05
-2.0,-1.5,1.845e-01,1.845e-01,7.273e-01,1.070e-04,1.070e-04,1.051e-03,1.956e-05,1.956e-05,3.997e-05
-1.5,-1.0,1.845e-01,1.845e-01,1.076e+00,9.716e-05,9.716e-05,8.190e-04,2.542e-05,2.542e-05,4.722e-05
-1.0,-0.5,1.700e-01,1.700e-01,1.673e+00,8.494e-05,8.494e-05,4.876e-04,2.101e-05,2.101e-05,4.293e-05
-0.5,0.0,1.468e-01,1.468e-01,2.962e+00,8.494e-05,8.494e-05,2.355e-03,1.579e-05,1.579e-05,3.811e-05
0.0,0.5,1.247e-01,1.247e-01,6.382e+00,8.332e-05,8.332e-05,4.793e-03,1.778e-05,1.778e-05,4.611e-05
0.5,1.0,1.076e-01,1.076e-01,1.492e+01,7.425e-05,7.425e-05,1.014e-02,1.910e-05,1.910e-05,5.194e-05
1.0,1.5,9.291e-02,9.291e-02,3.162e+01,7.569e-05,7.569e-05,1.033e-02,1.368e-05,1.368e-05,3.841e-04
1.5,2.0,7.892e-02,7.892e-02,5.979e+01,6.746e-05,6.746e-05,1.432e-02,1.656e-05,1.656e-05,9.726e-04
2.0,2.5,6.703e-02,6.703e-02,8.847e+01,7.146e-05,7.146e-05,1.947e-02,1.505e-05,1.505e-05,1.020e-03
2.5,3.0,5.693e-02,5.693e-02,1.158e+02,6.368e-05,6.368e-05,7.613e-02,1.305e-05,1.305e-05,4.760e-04
3.0,3.5,4.835e-02,4.835e-02,1.309e+02,6.368e-05,6.368e-05,1.055e-01,1.401e-05,1.401e-05,5.898e-04
3.5,4.0,4.107e-02,4.107e-02,1.331e+02,5.897e-05,5.897e-05,1.303e-01,1.305e-05,1.305e-05,1.070e-03
4.0,4.5,3.488e-02,3.488e-02,1.331e+02,6.011e-05,6.011e-05,2.757e-01,1.435e-05,1.435e-05,2.583e-03
4.5,5.0,2.962e-02,2.962e-02,1.331e+02,5.461e-05,5.461e-05,6.295e-01,8.298e-06,8.298e-06,2.463e-03
5.0,5.5,2.435e-02,2.435e-02,1.353e+02,5.461e-05,5.461e-05,1.644e+00,nan,8.298e-06,3.100e-04
5.5,6.0,1.937e-02,1.937e-02,1.375e+02,4.337e-05,4.337e-05,2.658e+00,nan,8.298e-06,nan
6.0,6.5,1.567e-02,1.567e-02,1.375e+02,3.011e-05,3.011e-05,7.497e+00,nan,8.298e-06,nan
6.5,7.0,1.288e-02,1.288e-02,1.375e+02,2.172e-05,2.172e-05,8.912e+00,nan,8.298e-06,nan
7.0,7.5,1.076e-02,1.076e-02,1.398e+02,nan,2.172e-05,3.099e+00,nan,8.298e-06,nan
7.5,8.0,7.273e-03,7.273e-03,1.331e+02,nan,2.172e-05,nan,nan,8.298e-06,nan
