M_GeV,delta_keV,coul_mQ_GeV,coul_alpha_eff,coul_E_B_MeV,coul_a0_fm,coul_pBohr_GeV,coul_2S1S_MeV,coul_alphaD_SU3,coul_LambdaD_SU3_eV,coul_alphaD_SU2,coul_LambdaD_SU2_eV,hl_LambdaD_meson_GeV,hl_LambdaD_baryon_GeV,hl_delta_at_LambdaQCD_meson_keV,hl_delta_at_LambdaQCD_baryon_keV,light_delta_over_M,light_suppression_vs_DeltaN,light_dm_q_MeV
300,250,150,0.047287,83.853,0.055639,3.5465,62.889,0.035465,359.03,0.063049,4446.8,0.2103,0.31349,616.43,277.08,8.3333e-07,2.6695e-06,0.30234
300,300,150,0.049492,91.856,0.05316,3.7119,68.892,0.037119,770.17,0.06599,8527.2,0.23034,0.34335,616.43,277.08,1e-06,3.2033e-06,0.36281
300,366,150,0.052015,101.46,0.050582,3.9011,76.094,0.039011,1707.2,0.069353,16821,0.25439,0.37917,616.43,277.08,1.22e-06,3.9081e-06,0.44263
300,400,150,0.053183,106.07,0.049471,3.9887,79.55,0.039887,2407.6,0.070911,22560,0.26592,0.39636,616.43,277.08,1.3333e-06,4.2711e-06,0.48375
1000,250,500,0.034996,153.09,0.022554,8.7491,114.82,0.026247,3.0957,0.046662,92.791,0.38415,0.5728,184.46,82.911,2.5e-07,8.0084e-07,0.30234
1000,300,500,0.036628,167.71,0.021549,9.1571,125.78,0.027471,8.5441,0.048838,220.1,0.42079,0.62741,184.46,82.911,3e-07,9.61e-07,0.36281
1000,366,500,0.038495,185.24,0.020504,9.6238,138.93,0.028871,24.615,0.051327,541.65,0.46474,0.69293,184.46,82.911,3.66e-07,1.1724e-06,0.44263
1000,400,500,0.03936,193.65,0.020054,9.8399,145.24,0.02952,38.864,0.05248,799.07,0.48583,0.72436,184.46,82.911,4e-07,1.2813e-06,0.48375
4000,250,2000,0.024746,306.19,0.007974,24.746,229.64,0.01856,0.0010653,0.032995,0.13059,0.76854,1.1461,46.077,20.711,6.25e-08,2.0021e-07,0.30234
4000,300,2000,0.0259,335.41,0.0076187,25.9,251.56,0.019425,0.0043937,0.034534,0.43472,0.84186,1.2555,46.077,20.711,7.5e-08,2.4025e-07,0.36281
4000,366,2000,0.02722,370.47,0.0072493,27.22,277.85,0.020415,0.01922,0.036294,1.5218,0.92983,1.3866,46.077,20.711,9.15e-08,2.9311e-07,0.44263
4000,400,2000,0.027832,387.3,0.00709,27.832,290.47,0.020874,0.03633,0.037109,2.6133,0.97205,1.4496,46.077,20.711,1e-07,3.2033e-07,0.48375
