S1c,log10S2c,blob_px,n_est
477.5431861804223,4.087531262849815,24.0,1.0
573.759254181519,4.065116340302899,28.0,1.0
565.7496267860952,4.062001005141268,27.0,1.0
382.506169454346,4.059446774544661,28.0,1.0
558.3848723963887,4.059591353635035,27.0,1.0
421.4357005758157,4.056063623829909,25.0,1.0
318.7460012795905,4.043962353965602,60.0,2.0
292.7447216890595,4.047735868224365,10.0,1.0
261.6397038661914,4.038627385530801,28.0,1.0
290.21113243762,4.043832232784266,2.0,1.0
353.7992548266908,4.027528814181501,102.0,4.0
459.51517736546526,4.03963943916342,27.0,1.0
440.1471529110684,4.037326173717435,24.0,1.0
366.0711649195334,4.032621792546034,26.0,1.0
392.7063339731286,4.032678988669698,28.0,1.0
449.1588574009258,4.032044784592595,34.0,1.0
484.2913425598545,4.032943144451359,19.0,1.0
545.2236822678282,4.033422538277336,26.0,1.0
241.07485604606524,4.0302779430617015,24.0,1.0
512.3443926514943,4.025763977318666,70.0,3.0
583.5444657709534,4.034203265365356,15.0,1.0
599.616122840691,4.037326173717435,5.0,1.0
232.24568138195778,4.029518902837237,26.0,1.0
413.66602687140113,4.02917191302034,15.0,1.0
521.4971209213052,4.031080357013277,20.0,1.0
558.7545318831308,4.030820114650604,18.0,1.0
197.8338360296134,4.022548125265633,28.0,1.0
212.97504798464487,4.018068238879614,50.0,2.0
222.1277762544557,4.022548125265633,28.0,1.0
270.7083001732129,4.015618152245667,82.0,3.0
383.3757687335971,4.017356555683733,49.0,2.0
542.0345489443379,4.024314055583773,1.0,1.0
187.79270633397314,4.0164026877585055,25.0,1.0
321.92732808259973,4.000824938883868,116.0,5.0
425.1165341376473,4.020596307545583,7.0,1.0
487.14011516314775,4.016506784703575,26.0,1.0
358.1573896353167,4.013904361076843,26.0,1.0
459.31348480114275,4.012391324084557,43.0,2.0
590.4030710172744,4.015205572890209,20.0,1.0
372.0054027155755,4.007735653220884,54.0,2.0
324.69167313268264,3.9764841394334143,752.0,31.0
439.085674402373,4.004677586400246,44.0,2.0
481.25399872040947,4.011085068814549,12.0,1.0
494.43378119001915,4.013904361076843,1.0,1.0
559.8141226386504,4.010480119462721,19.0,1.0
393.4880112975247,3.993543430111216,193.0,8.0
472.28702199911413,4.008899700256204,13.0,1.0
226.28847657638445,4.001952489605923,27.0,1.0
414.7152911068458,4.002518757709888,24.0,1.0
