model,delta_keV,T_star_MeV,f2_eq_Tstar,f2_freeze
Higgsino,200.0,0.8510,0.44151,0.44632
Higgsino,250.0,0.8502,0.42702,0.43302
Higgsino,300.0,0.8493,0.41260,0.41981
Higgsino,350.0,0.8483,0.39829,0.40670
Higgsino,366.0,0.8479,0.39373,0.40253
Higgsino,400.0,0.8470,0.38409,0.39371
dark photon,250.0,26.7382,0.49766,0.49788
dark photon,300.0,15.0108,0.49500,0.49533
dark photon,350.0,4.7182,0.48146,0.48262
dark photon,365.0,2.3934,0.46195,0.46443
dark photon,379.99999999999994,0.8218,0.38641,0.39625
