name,op,tau,mass,delta,physical,on_LZ_grid,distinct,N_lo,N_L2,N_M,f_hi,rho,rho_sig32,B_logu,B_flat,B_jeff,B_logu_rho,B_flat_rho,Bmu_logu
O1s_m400_d0,O1,s,400,0.0,True,True,False,3843.25927528405,106.30257287742005,10.693966988056395,0.00025244519583299187,0.3470658239259165,0.45603487332907855,0.030138070645328405,0.00014661838013526723,0.011145688791254842,0.016075094078232748,0.00013510711800894708,0.8191323854804616
O1s_m400_d10,O1,s,400,10.0,True,False,False,3847.681200605701,107.48936970542195,10.742135628518936,0.0002520852043209078,0.34651250528648964,0.4554473627862077,0.03002402590909098,0.00014647290590776192,0.011131997450410639,0.016003938283728442,0.00013502953954643365,0.8189728384278604
O1s_m400_d20,O1,s,400,20.0,True,False,False,3690.820562077903,107.80714922081006,10.780639422866338,0.00026243906373200904,0.3461951835005202,0.4550135923631766,0.03332418032761148,0.0001508285333408092,0.011521846657927843,0.017707116214653755,0.00013705271332827267,0.8234499632677679
O1s_m400_d30,O1,s,400,30.0,True,False,False,3383.8091006959967,107.20552652865146,10.801234886887187,0.00028548460420559736,0.34577362392330574,0.45462318256160605,0.041062846105566805,0.00016209117582619952,0.012396646574416326,0.02167907874590158,0.00014227765574759805,0.8334142631901182
O1s_m400_d40,O1,s,400,40.0,True,False,False,2967.669748726155,105.63600874735353,10.803377829512673,0.0003241376418606921,0.34574433351696326,0.45453466380133434,0.05506354151182481,0.00018563000975164697,0.013886698582318235,0.028801763988630318,0.00015317522446904299,0.8501121750346465
O1s_m400_d50,O1,s,400,50.0,True,True,False,2499.38258015153,103.13461116407206,10.792789694381037,0.0003825101106081045,0.3455512037520803,0.4544866732825195,0.07802503399149424,0.00023124355766680326,0.016194265529722324,0.04028343099234657,0.00017412153860955383,0.8752896937682692
O1s_m400_d60,O1,s,400,60.0,True,False,False,2032.6012091744385,99.70274088224159,10.764247254175526,0.00046640307489016677,0.3456192917867296,0.45463907613188437,0.11353393903934118,0.0003152960159251218,0.019636256228870212,0.05767670011702448,0.00021223680959991224,0.9113929341596743
O1s_m400_d70,O1,s,400,70.0,True,False,False,1606.3904099461859,95.3369244076937,10.714088636405041,0.0005836207684618759,0.34593043962395087,0.45509868233258133,0.165896776082346,0.00046423652921871413,0.0246946465877286,0.08268795669966195,0.0002784777041171831,0.9616775686666855
O1s_m400_d80,O1,s,400,80.0,True,False,False,1242.535795557278,90.26528511403441,10.6599483229303,0.0007437924777545055,0.3462741137051972,0.45561377506056483,0.23972757868149253,0.0007202831259353491,0.032061007194511965,0.11692383997792541,0.00038939706745954743,1.030083895187608
O1s_m400_d90,O1,s,400,90.0,True,False,False,942.5950338002793,84.55840465408828,10.592319531282957,0.000962699478974733,0.34673852204281885,0.4562114073160501,0.3417599914945072,0.0011604418309060806,0.042923170373410285,0.16276265347584,0.0005744756549078814,1.1230186993462938
O1s_m400_d100,O1,s,400,100.0,True,True,True,704.2543121748363,78.33935938248698,10.487039860933573,0.001259317832080273,0.3474188409696495,0.45720668739800446,0.47937782756234776,0.0019142342074683722,0.05897319661468929,0.22265641267494413,0.0008821420885576238,1.2479676516391143
O1s_m400_d110,O1,s,400,110.0,True,False,False,517.7469450343358,71.68568150940185,10.377594476785374,0.0016644190877802012,0.3483209311259742,0.4583118591213,0.6642853260569291,0.00322378545354536,0.08307390787007599,0.30071038104215,0.0014022743405423437,1.4167982551300553
O1s_m400_d120,O1,s,400,120.0,True,False,False,374.1576131553187,64.66469819656339,10.243466797805654,0.0022218974393281004,0.3491859564637212,0.4595843570504198,0.9125690773573089,0.005532895206595104,0.1197768098176752,0.40241867738335224,0.002297088333275769,1.6458600118444204
O1s_m400_d130,O1,s,400,130.0,True,False,False,265.0625358187818,57.691195824312054,10.104101649102502,0.0029952869164066856,0.3505836180084706,0.4611415586278474,1.2462985628972338,0.009659768700697194,0.17632637288317224,0.5360830161843406,0.003868790961148589,1.9575158812869358
O1s_m400_d140,O1,s,400,140.0,True,False,False,183.77264683088111,50.65986079486095,9.932795577424734,0.004075555862810734,0.3515890630171372,0.46280057261990837,1.6950804011662224,0.01710769220132261,0.2641329405517523,0.7113759611347917,0.006657472000756868,2.381702527053805
O1s_m400_d150,O1,s,400,150.0,True,True,True,124.30529320341304,43.95406589000205,9.780592857107687,0.005585345556149097,0.3530302423979029,0.46444818786371944,2.29344456711477,0.03050701013047381,0.39988759251712835,0.9416953480338529,0.011628360434712907,2.953395835944722
O1s_m400_d160,O1,s,400,160.0,True,False,False,80.92339622523242,37.338002082067455,9.584721852014393,0.007761196059016219,0.35465946429491557,0.4665698601157448,3.1076119398795963,0.05524452401027105,0.6148340758200789,1.2513727519739761,0.020747437485938,3.738468130444712
O1s_m400_d170,O1,s,400,170.0,True,False,False,50.25303510052038,31.175006362554196,9.384236855976306,0.010891789402338595,0.356563445446196,0.4688882843120764,4.19427154675917,0.10019509219197242,0.9493699379224058,1.6619577278035746,0.03727705899790931,4.794101754934324
O1s_m400_d180,O1,s,400,180.0,True,False,False,29.399043637138757,25.379596150653168,9.149835103986154,0.015401563053294978,0.3582013356048631,0.4712917586086067,5.616034161287407,0.18002922907811897,1.4590734479770735,2.195068417661283,0.06655941178391796,6.183237373718697
O1s_m400_d190,O1,s,400,190.0,True,False,False,15.624706294942035,20.027849786546085,8.924367324414616,0.02194092811166996,0.36048887979322847,0.4740444926784166,7.427490767208157,0.3169798016734058,2.2122071946572115,2.877008761812149,0.11700329941366408,7.960525137361882
O1s_m400_d200,O1,s,400,200.0,True,True,True,7.153687588646703,15.127159788664034,8.67587947030449,0.03129231616142894,0.3631700505026894,0.4772530650786436,9.623802945165664,0.5368839106439921,3.262409557626989,3.7092494137706375,0.19851634093118087,10.12171857749062
O1s_m400_d210,O1,s,400,210.0,True,False,False,2.5189748188152823,10.758402239258169,8.400536698467462,0.0440957669535,0.36532368068696275,0.4803532144498548,12.085425899916366,0.8542261011258394,4.597186827426066,4.642205705597949,0.31650247619187877,12.548528309500977
O1s_m400_d220,O1,s,400,220.0,True,False,False,0.49466224524803115,6.936927991902132,8.110246067585692,0.06045278054853585,0.36835796820457867,0.48416406615927143,14.600635200451055,1.2557704696061216,6.114045768637177,5.615632606286386,0.4679113945303848,15.030787398859747
O1s_m400_d230,O1,s,400,230.0,True,False,False,0.010446472801226236,3.9065404437164912,7.795640344508567,0.07866194606883097,0.3713664009887449,0.4881912215913408,16.89020661447231,1.6881374074082647,7.615223182641783,6.5174491219102055,0.6330703056192167,17.292011515995565
O1s_m400_d240,O1,s,400,240.0,True,False,False,0.0,1.9268579956306957,7.444061830547415,0.09642346260124546,0.374808284006543,0.49290342924561337,18.868531812371046,2.1119096854330945,8.996444395150268,7.322393005858892,0.7984025912345565,19.247764553162163
O1s_m400_d250,O1,s,400,250.0,True,True,True,0.0,0.9258882239300346,7.04468523110678,0.11147559350718188,0.3787394921684992,0.49817016736903336,20.571341877111998,2.5134821571074983,10.24380450448445,8.04510127010332,0.9593713315268876,20.934083887743416
O1s_m400_d260,O1,s,400,260.0,True,False,False,0.0,0.4771386899891422,6.580367203446101,0.12410788316205118,0.3839343009194355,0.5048154074745067,22.220293243679073,2.93505514018395,11.501477883862732,8.787530241011227,1.1348164237753608,22.57058804403182
O1s_m400_d270,O1,s,400,270.0,True,False,False,0.0,0.2774657602652792,6.026600799597348,0.1369100338563738,0.3895870969133821,0.5130455105650298,24.156901715775113,3.471764024326906,13.039346228509725,9.670205505599661,1.3611207524195224,24.4956087566945
O1s_m400_d280,O1,s,400,280.0,True,False,False,0.0,0.14476555881359354,5.345971890476696,0.15406569866869935,0.3977860846614717,0.5240273416679267,26.887728485021,4.30533983654944,15.315168177680546,10.957327926446606,1.7220173487243742,27.212196302178825
O1s_m400_d290,O1,s,400,290.0,True,False,False,0.0,0.04423212021331876,4.445431131340053,0.18216053593397316,0.40884798563611946,0.5401658829839662,31.468330917726128,5.905483024900913,19.39848401056369,13.131741285221086,2.4252694922992712,31.771937762888257
O1s_m400_d300,O1,s,400,300.0,True,True,True,0.0,0.0,3.2930820723085623,0.23293288671331175,0.4272558873176746,0.5661764553646726,39.977927576938065,9.550271950112036,27.795684926568114,17.3518067076382,4.0937511381859375,40.2492539746528
O1s_m400_d310,O1,s,400,310.0,True,False,False,0.0,0.0,1.982582757371556,0.3352798836942464,0.4647291117920349,0.617986213397601,57.44546387573796,19.771872233883062,47.928829322597906,26.96869341341956,9.206511260982829,57.66427417282368
O1s_m400_d320,O1,s,400,320.0,True,False,False,0.0,0.0,0.8848835654287053,0.5305367495060928,0.5539923089284389,0.7231438729845343,90.74727368250767,49.47590746067711,95.28340546787264,50.51983471646643,27.43293460116867,90.88852463694104
O1s_m400_d330,O1,s,400,330.0,True,False,False,0.0,0.0,0.14278088322439253,0.8750583901775363,0.740742656465362,0.9231423481851562,149.4769747983704,134.52262270604948,201.65750426499628,110.87984885581817,99.66933119774406,149.51116631657715
