name,N_lo,N_M,rho,B_logu,B_flat,B_jeff,B_logu_rho,Bmu_logu,post_uniform,post_physics
L10s_m1000,0.1995,1.164,0.9102,71.45,30.6,66.49,65.07,71.66,0.01458,0.005193
O6s_m1000,0.4344,1.516,0.964,54,17.39,43.6,52.08,54.27,0.01102,0.003925
O15s_m1000,1.934,0.5378,0.9715,53.9,17.02,43.19,52.38,54.22,0.011,0.003918
O6v_m1000,0.4473,1.564,0.962,52.63,16.51,41.95,50.65,52.91,0,0
O5v_m1000,1.053,1.328,0.9988,51.84,15.95,40.94,51.77,52.13,0.01058,0.003768
O9v_m1000,2.206,1.575,0.8668,45.73,12.39,33.9,39.7,46.04,0.009332,0.003324
O9s_m1000,2.085,1.625,0.8474,45.23,12.12,33.34,38.4,45.54,0.009229,0.003287
O14v_m1000,2.508,1.631,0.8589,43.43,11.16,31.36,37.37,43.75,0.008863,0.003157
O14s_m1000,2.368,1.683,0.8397,43.01,10.95,30.91,36.19,43.33,0.008777,0.003126
O13s_m1000,4.937,0.7702,0.9463,38.23,8.484,25.71,36.2,38.59,0.007801,0.002779
O10s_m1000,3.076,2.193,0.8945,30.23,5.358,18.15,27.09,30.61,0.006169,0.002197
O15v_m1000,0.7659,3.742,0.6014,29.7,5.24,17.76,18.04,30.04,0.006061,0.002159
O10v_m1000,3.148,2.267,0.892,29.3,5.029,17.31,26.18,29.67,0,0
O8v_m1000,9.174,1.935,0.9302,21.3,2.615,10.67,19.85,21.74,0.004348,0.001548
O13v_m1000,9.683,0.4455,1.256,19.29,2.106,9.13,24.12,19.74,0.003936,0.001402
O5s_m1000,14.18,1.649,0.9609,18.44,1.943,8.568,17.73,18.89,0.003762,0.00134
O3s_m1000,12.83,0.6978,0.9129,18.06,1.848,8.279,16.52,18.52,0.003686,0.001313
O3v_m1000,5.117,5.277,0.5468,17.05,1.703,7.695,9.503,17.49,0.00348,0.00124
O11v_m1000,35.24,1.083,1.301,10.37,0.6036,3.6,13.39,10.89,0.002116,0.0007536
O7s_m1000,32.43,2.364,0.7763,10.23,0.5917,3.539,8.021,10.75,0.002088,0.0007438
O4s_m1000,28.05,2.848,0.8089,9.997,0.5656,3.421,8.151,10.52,0.00204,0.0007266
O7v_m1000,35.63,2.291,0.7945,9.641,0.5243,3.237,7.729,10.17,0.001967,0.0007008
O4v_m1000,29.27,2.934,0.8146,9.574,0.5185,3.207,7.861,10.1,0,0
O12v_m1000,41.68,7.478,0.4993,5.87,0.1959,1.555,3.076,6.435,0.001198,0.0004266
O12s_m1000,101.5,0.9101,0.8536,3.432,0.06625,0.7053,2.965,4.063,0.0007004,0.0002495
O8s_m1000,154.9,2.397,0.8903,2.575,0.03786,0.4689,2.317,3.231,0.0005256,0.0001872
O11s_m1000,266.5,7.341,0.3968,1.406,0.01203,0.2059,0.6558,2.109,0.0002868,0.0001022
O1v_m1000,492.5,1.861,1.264,0.8325,0.004702,0.1073,1.02,1.574,0,0
O1s_m1000,2826,9.98,0.359,0.06204,0.0001986,0.0146,0.03292,0.858,0,0
