model,prior,rho,posterior_weight_uniform,s_mean,s16,s50,s84,N_mean,P0,P1,P2,P3,P4,P5,P6,P7,P_ge2,P_ge3
O1v_m1000_d350,logu,1.0,0.03444978634094312,0.9865140032691084,0.1706647583545099,0.6830397775812515,1.8093018715378608,2.349536816122129,0.2989825931917566,0.20926658416291796,0.14671439158165986,0.10292504419494389,0.07221703203093743,0.05067412216055566,0.035558778441217444,0.024952578451909273,0.49175082264532544,0.34503643106366555
O1v_m1000_d350,flat,1.0,0.03444978634094312,1.9724220861633939,0.7031060717862834,1.6578366475525852,3.247232870782573,4.696275773997259,0.08898646291810426,0.12489524860006146,0.13146972725858952,0.12301358605848714,0.10790751030779508,0.09087020280963663,0.07439724599072987,0.0596674326854572,0.7861182884818343,0.6546485612232448
O1v_m1000_d350,logu,1.4023467122223663,0.03444978634094312,0.9873799617863872,0.17143192628744403,0.6839403742310632,1.8102848597571444,2.351598041325229,0.2984518469402605,0.20936844329169366,0.1468266766834208,0.10301335435080147,0.07228233613128437,0.05072135183362124,0.03559257797399806,0.024976626190918935,0.4921797097680458,0.345353033084625
O1v_m4000_d350,logu,1.0,0.034003991984191934,0.9737031059639994,0.1684371065938735,0.6741747204723871,1.7859452135098577,2.3190432718325034,0.30172547722608734,0.2103616252566759,0.14690597895186044,0.10265710114384344,0.07174787222941753,0.050148412583844705,0.035052533277844466,0.024501329968577908,0.48791289751723677,0.34100691856537635
O1v_m4000_d350,flat,1.0,0.034003991984191934,1.9472475581607585,0.6940043939773722,1.6364121040017785,3.205460317143473,4.636353305934648,0.09062368989006016,0.12669674886179952,0.1328455608223547,0.12381580749734437,0.10818733387057275,0.09075028008272094,0.07400909055309753,0.0591244745426063,0.7826795612481403,0.6498340004257857
O1v_m4000_d350,logu,1.380006616204485,0.034003991984191934,0.9745321204599905,0.16917296694264464,0.6750448337439909,1.7868734792552312,2.321016559858172,0.30121219819231754,0.2104617747955624,0.1470153506505797,0.10274269586215852,0.07181089373657894,0.050193802584598046,0.03508488453703076,0.02452425503150433,0.48832602701212013,0.34131067636154044
O4s_m1000_d350,logu,1.0,0.03251311405750922,0.9308608496129469,0.16098832289291504,0.6444754623664857,1.7073663353536574,2.2170666334757727,0.31127554536080315,0.21405722517195744,0.14744551696055117,0.10162804449385605,0.07005950264247265,0.04830021403330087,0.03330008262596833,0.022958827602448828,0.4746672294672394,0.3272217125066882
O4s_m1000_d350,flat,1.0,0.03251311405750922,1.8627707843663566,0.6635481488895882,1.5646990745742286,3.065492031844549,4.4352747880296635,0.09644391316462711,0.13299431364973302,0.13754635095565357,0.1264481691761036,0.10898012313996673,0.09016817405767458,0.07253118876256999,0.057153319060001914,0.7705617731856399,0.6330154222299863
O4s_m1000_d350,logu,1.2264028055662097,0.03251311405750922,0.9314116647811675,0.1614765271230677,0.6450554568618415,1.7079880118449138,2.21837772873534,0.3109225119394078,0.214130037467138,0.14752256270076586,0.10168731494105783,0.07010248429705015,0.04833072385338004,0.03332152057789757,0.022973806634706495,0.4749474505934542,0.32742488789268837
O1v_m400_d300,logu,1.0,0.03007858185054637,0.8609067604488929,0.14882938343411967,0.5960116110671188,1.5791545918152758,2.050556195888095,0.328240097702024,0.22017343260951025,0.1479284072031083,0.09945473675736988,0.06687636453438145,0.04497271277698678,0.030244062302675786,0.020339464196574352,0.4515864696884657,0.3036580624853574
O1v_m400_d300,flat,1.0,0.03007858185054637,1.7240695440320386,0.6137711950034613,1.4474421431838191,2.8362646894044357,4.105126765262061,0.10723958736530505,0.14424775516880067,0.1455192893804656,0.13049069328874333,0.10970079833037565,0.08853424137649914,0.06946696004233914,0.05339375524912706,0.7485126574658942,0.6029933680854287
O1v_m400_d300,logu,1.2774607653235899,0.03007858185054637,0.8615451404230975,0.14939414517237798,0.5966821196950005,1.5798701826080648,2.0520757200520463,0.327806123053802,0.22027149982788746,0.14802684420876533,0.09952819757807226,0.06692820583293423,0.04500856050619968,0.030268611690679268,0.020356186165196726,0.45192237711831046,0.30389553290954513
O4s_m4000_d350,logu,1.0,0.02752119002123462,0.7874304986282891,0.13606109688224519,0.5450793806312739,1.4443804392772583,1.8756619952165166,0.34817192281320064,0.22662595186738949,0.14775221200670116,0.09639491590316308,0.06289987828831163,0.04104645170689698,0.026786532092267452,0.017480987525236785,0.4252021253194099,0.27744991331270874
O4s_m4000_d350,flat,1.0,0.02752119002123462,1.577690321948714,0.561447848032196,1.324145119248298,2.594924995811681,3.7567029831200633,0.12066604435763129,0.15750340865149434,0.15418857099705147,0.13417199596596344,0.10945682685673584,0.08572254575465621,0.06526987921667891,0.048682818240730154,0.7218305469908743,0.5676419759938229
O4s_m4000_d350,logu,1.1077311930960667,0.02752119002123462,0.7877112086979356,0.13630822253454694,0.5453749113371532,1.4446996602863391,1.8763301642555346,0.34796819385090216,0.2266766974555526,0.14780029038728165,0.09642953724634298,0.06292352972792925,0.04106230082875814,0.026797055577592988,0.017487939319631583,0.4253551086935452,0.27755481830626355
O1v_m1000_d300,logu,1.0,0.025756367665486446,0.7366851088917907,0.1272529178437224,0.5099511092168607,1.3513106787278062,1.7548736731676684,0.36340421901068615,0.2310261623339888,0.14710678428845356,0.09373533565340328,0.05973759761490731,0.03807320717474873,0.02426627018019962,0.015466492999493245,0.40556961865532515,0.25846283436687156
O1v_m1000_d300,flat,1.0,0.025756367665486446,1.4762531268290315,0.5253023457610718,1.238918652964344,2.4278861588090654,3.515253884877439,0.13147252430678208,0.16760916287256256,0.16025592350183201,0.13619912712558388,0.10851812193619795,0.08300378346488106,0.06172420432243173,0.04496294222272454,0.7009183128206554,0.5406623893188234
O1v_m1000_d300,logu,1.3170879010785355,0.025756367665486446,0.7373711792585159,0.12785626227579547,0.5106680377799288,1.3520689358343003,1.7565067138997326,0.3628820421347001,0.23116542931390652,0.14723332571351286,0.09382399399179127,0.059796653500264293,0.0381118220891741,0.024291296426804186,0.015482632661978036,0.4059525285513934,0.2587192028378805
O1v_m4000_d300,logu,1.0,0.0249217148675444,0.7126402871608496,0.12308634487386877,0.4933183630606553,1.307324162447443,1.6976402242588087,0.37108777240780216,0.23307385601940162,0.14662302091670637,0.09230120763822253,0.05811406795225596,0.03659121375867194,0.02303978368101498,0.014507058419181519,0.3958383715727963,0.2492153506560899
O1v_m4000_d300,flat,1.0,0.0249217148675444,1.4280510138806757,0.5081773358234452,1.1985002631586075,2.348529813743002,3.400519278000367,0.13710862161475626,0.1726911801556891,0.163125913810718,0.1369662634509824,0.10781171259979712,0.08146666804327417,0.05984804598203467,0.04306809381005361,0.6902001982295547,0.5270742844188367
O1v_m4000_d300,logu,1.3245202383562946,0.0249217148675444,0.7133337779704207,0.12369670797455781,0.4940495781892561,1.3081088059409456,1.6992909277351118,0.37054751313187906,0.23322274375228116,0.14675555846804264,0.09239278441022988,0.05817428520847764,0.036630095685902614,0.023064671434082407,0.014522911464966554,0.3962297431158398,0.24947418464779716
O1s_m1000_d350,logu,1.0,0.022654013389163556,0.6476210000782888,0.11177805344204354,0.44822224054332155,1.1880868480993279,1.542876005710178,0.39366093458454876,0.23838351190879123,0.1445848392525585,0.08775799255207575,0.0532760262551513,0.032345164806286415,0.019638264145366742,0.011923563545377524,0.36795555350666,0.2233707142541015
O1s_m1000_d350,flat,1.0,0.022654013389163556,1.2982164085679837,0.46183405560566787,1.0893608434717283,2.1350103729890826,3.0914763442279027,0.1542972464525966,0.18737807619590402,0.1706617186428988,0.13816591675395964,0.10486655654230251,0.07640896641805996,0.054127402458111575,0.03756083202892091,0.6583246773514995,0.48766295870860066
O1s_m1000_d350,logu,0.6848658036169185,0.022654013389163556,0.6463483383451236,0.11066371563202625,0.44688246253407593,1.186658973324259,1.539846712288982,0.3947194171060398,0.2380642914117795,0.14431681659828052,0.0875802836162975,0.053163588606619364,0.03227524291830723,0.019595140209137288,0.011897089415574387,0.3672162914821807,0.2228994748839002
L10s_m1000,logu,1.0,0.01457968283341938,0.4153940039244812,0.07156641160678696,0.2875111406397333,0.7623070476064147,0.9901103388088613,0.5026738415084787,0.249816968911736,0.12429665731036076,0.06188270051013168,0.030808259128696218,0.015335388755247203,0.0076319154579138505,0.0037973106422820356,0.2475091895797853,0.12321253226942454
L10s_m1000,flat,1.0,0.01457968283341938,0.8324549978325559,0.2963445411815064,0.6989400481098915,1.3689286925059907,1.982832986280194,0.2519713463822598,0.25107732069814154,0.18758850333635094,0.12454935091087427,0.07750652006409621,0.046291115776268495,0.026872938279182836,0.015278175372469397,0.49695133291959864,0.3093628295832477
L10s_m1000,logu,0.9101551809815414,0.01457968283341938,0.4151460336892422,0.07135259375095364,0.2872483313321577,0.762021057862786,0.989520099798222,0.5029445264425493,0.24970152228113507,0.1242224755720463,0.061842992837938815,0.030787801197199458,0.015324999621545897,0.007626676859792127,0.0037946798821334392,0.24735395127631565,0.12313147570426936
