delta_keV,experiment,exposure_kgd,B_cpd_kg_keV,reliability,sigma_Sm_1keV,sigma_over_peak_Sm,z_peak_bin,z_all_bins,N_signal_window,N_background_window
300,"DAMA/LIBRA phase1+2 (2.46 t yr)",8.985e+05,1.0,likely,0.001492,4.229e+04,2.365e-05,5.36e-05,0.5289,5.243e+07
300,"COSINE-100 (~0.2 t yr)",7.305e+04,3.0,uncertain,0.009063,2.569e+05,3.893e-06,8.824e-06,0.043,1.279e+07
300,"ANAIS-112 (~0.3 t yr)",1.096e+05,3.0,uncertain,0.0074,2.097e+05,4.768e-06,1.081e-05,0.0645,1.918e+07
350,"DAMA/LIBRA phase1+2 (2.46 t yr)",8.985e+05,1.0,likely,0.001492,1.858e+04,5.382e-05,0.0001175,0.4863,3.372e+07
350,"COSINE-100 (~0.2 t yr)",7.305e+04,3.0,uncertain,0.009063,1.129e+05,8.86e-06,1.934e-05,0.03953,8.225e+06
350,"ANAIS-112 (~0.3 t yr)",1.096e+05,3.0,uncertain,0.0074,9.216e+04,1.085e-05,2.369e-05,0.0593,1.234e+07
366,"DAMA/LIBRA phase1+2 (2.46 t yr)",8.985e+05,1.0,likely,0.001492,1.42e+04,7.044e-05,0.0001838,0.604,2.493e+07
366,"COSINE-100 (~0.2 t yr)",7.305e+04,3.0,uncertain,0.009063,8.623e+04,1.16e-05,3.025e-05,0.0491,6.081e+06
366,"ANAIS-112 (~0.3 t yr)",1.096e+05,3.0,uncertain,0.0074,7.041e+04,1.42e-05,3.705e-05,0.07365,9.121e+06
380,"DAMA/LIBRA phase1+2 (2.46 t yr)",8.985e+05,1.0,likely,0.001492,7137,0.0001401,0.0002897,0.6054,1.305e+07
380,"COSINE-100 (~0.2 t yr)",7.305e+04,3.0,uncertain,0.009063,4.335e+04,2.307e-05,4.768e-05,0.04922,3.183e+06
380,"ANAIS-112 (~0.3 t yr)",1.096e+05,3.0,uncertain,0.0074,3.54e+04,2.825e-05,5.84e-05,0.07383,4.774e+06
