delta_keV,Q_I,E_minus_keVee,E_plus_keVee,peak_S0_keVee,peak_S0_cpd_kg_keV,peak_Sm_keVee,peak_Sm_cpd_kg_keV,window_S0_cpd_kg,window_Sm_cpd_kg,window_mod_fraction
300,0.06,5.80,44.70,10.5,1.131e-07,10.5,5.26e-08,5.887e-07,2.729e-07,0.464
300,0.09,8.69,67.05,16.5,7.604e-08,15.5,3.528e-08,5.887e-07,2.729e-07,0.464
300,0.12,11.59,89.40,21.5,5.763e-08,20.5,2.643e-08,5.887e-07,2.729e-07,0.464
350,0.06,10.05,35.08,13.5,8.122e-08,12.5,1.194e-07,5.412e-07,6.869e-07,1.269
350,0.09,15.08,52.61,19.5,5.686e-08,19.5,8.03e-08,5.412e-07,6.869e-07,1.269
350,0.12,20.11,70.15,26.5,4.254e-08,25.5,6.114e-08,5.412e-07,6.869e-07,1.269
366,0.06,12.46,30.96,21.5,1.022e-07,21.5,1.569e-07,6.721e-07,1.071e-06,1.593
366,0.09,18.69,46.43,32.5,6.835e-08,32.5,1.051e-07,6.722e-07,1.071e-06,1.593
366,0.12,24.91,61.91,43.5,5.147e-08,43.5,7.916e-08,6.722e-07,1.071e-06,1.593
380,0.06,16.11,25.80,21.5,1.563e-07,21.5,2.908e-07,6.738e-07,1.259e-06,1.869
380,0.09,24.17,38.69,31.5,1.128e-07,31.5,2.091e-07,6.738e-07,1.26e-06,1.869
380,0.12,32.23,51.59,42.5,8.634e-08,42.5,1.601e-07,6.738e-07,1.259e-06,1.869
