delta_keV,E_R_keV,dRdE_unit_annual_per_kgI_day_keV,dRdE_unit_june16_per_kgI_day_keV,dRdE_bestfit_annual_cpd_kgNaI_keVnr
300,93.704,0,0,0
300,101.273,1.00264e-07,4.39161e-07,6.2579e-12
300,108.841,1.72741e-08,5.11683e-08,1.07815e-12
300,116.410,7.71833e-07,1.79679e-06,4.81733e-11
300,123.979,5.93925e-06,1.18135e-05,3.70694e-10
300,131.548,1.7628e-05,3.18123e-05,1.10023e-09
300,139.116,3.56658e-05,6.0158e-05,2.22605e-09
300,146.685,5.76214e-05,9.25824e-05,3.59639e-09
300,154.254,7.76104e-05,0.000120808,4.84399e-09
300,161.823,9.62426e-05,0.000145749,6.00691e-09
300,169.391,0.00010619,0.000158026,6.62779e-09
300,176.960,0.000111576,0.000163413,6.96396e-09
300,184.529,0.000109657,0.00015872,6.84413e-09
300,192.097,0.000103826,0.000148634,6.48019e-09
300,199.666,9.27128e-05,0.000131695,5.78659e-09
300,207.235,7.99902e-05,0.000112782,4.99252e-09
300,214.804,6.51137e-05,9.13708e-05,4.06402e-09
300,222.372,5.09899e-05,7.12221e-05,3.1825e-09
300,229.941,3.7359e-05,5.20651e-05,2.33173e-09
300,237.510,2.59216e-05,3.60453e-05,1.61788e-09
300,245.078,1.67461e-05,2.32354e-05,1.0452e-09
300,252.647,9.76742e-06,1.35232e-05,6.09626e-10
300,260.216,4.72174e-06,6.53733e-06,2.94704e-10
300,267.785,1.61681e-06,2.23851e-06,1.00912e-10
300,275.353,8.74633e-08,1.21095e-07,5.45895e-12
300,282.922,0,0,0
300,290.491,3.63985e-07,5.05032e-07,2.27178e-11
300,298.060,1.53917e-06,2.13562e-06,9.60664e-11
300,305.628,3.00492e-06,4.17848e-06,1.8755e-10
300,313.197,4.55813e-06,6.3524e-06,2.84492e-10
300,320.766,6.04374e-06,8.44182e-06,3.77215e-10
300,328.334,7.35505e-06,1.0297e-05,4.59059e-10
300,335.903,8.42578e-06,1.18235e-05,5.25888e-10
300,343.472,9.2223e-06,1.29718e-05,5.75603e-10
300,351.041,9.51842e-06,1.34532e-05,5.94085e-10
300,358.609,9.75338e-06,1.38195e-05,6.0875e-10
300,366.178,9.52268e-06,1.35612e-05,5.9435e-10
300,373.747,9.09079e-06,1.30141e-05,5.67395e-10
300,381.315,8.71058e-06,1.25034e-05,5.43664e-10
300,388.884,8.00403e-06,1.15526e-05,4.99565e-10
300,396.453,7.22958e-06,1.04944e-05,4.51229e-10
300,404.022,6.42434e-06,9.3806e-06,4.0097e-10
300,411.590,5.61931e-06,8.25534e-06,3.50725e-10
300,419.159,4.83926e-06,7.15446e-06,3.02039e-10
300,426.728,4.103e-06,6.10583e-06,2.56085e-10
300,434.297,3.42381e-06,5.12987e-06,2.13694e-10
300,441.865,2.81018e-06,4.24029e-06,1.75395e-10
300,449.434,2.20448e-06,3.36348e-06,1.37591e-10
300,457.003,1.74367e-06,2.68115e-06,1.0883e-10
300,464.571,1.35059e-06,2.09358e-06,8.42958e-11
300,472.140,9.91686e-07,1.55697e-06,6.18953e-11
300,479.709,7.29205e-07,1.15517e-06,4.55127e-11
300,487.278,5.18617e-07,8.29273e-07,3.23691e-11
300,494.846,3.42565e-07,5.55924e-07,2.13809e-11
300,502.415,2.20838e-07,3.62133e-07,1.37834e-11
300,509.984,1.27031e-07,2.11779e-07,7.92853e-12
300,517.552,6.62847e-08,1.11803e-07,4.13711e-12
300,525.121,2.53787e-08,4.3609e-08,1.58399e-12
300,532.690,2.48068e-09,4.31905e-09,1.5483e-13
300,540.259,0,0,0
300,547.827,0,0,0
300,555.396,0,0,0
300,562.965,0,0,0
300,570.533,7.1005e-09,1.37141e-08,4.43172e-13
300,578.102,1.52493e-08,3.00281e-08,9.51775e-13
300,585.671,2.18623e-08,4.44063e-08,1.36452e-12
300,593.240,2.67791e-08,5.62509e-08,1.67139e-12
300,600.808,3.1508e-08,6.77845e-08,1.96655e-12
300,608.377,3.29346e-08,7.36067e-08,2.05559e-12
300,615.946,3.26993e-08,7.61223e-08,2.0409e-12
300,623.515,3.31669e-08,7.94408e-08,2.07008e-12
300,631.083,3.05602e-08,7.64905e-08,1.90739e-12
300,638.652,2.72928e-08,7.1399e-08,1.70346e-12
300,646.221,2.54611e-08,6.86383e-08,1.58914e-12
300,653.789,2.15212e-08,6.07385e-08,1.34323e-12
300,661.358,1.76328e-08,5.22308e-08,1.10053e-12
300,668.927,1.39524e-08,4.35764e-08,8.70829e-13
300,676.496,1.17822e-08,3.81778e-08,7.35376e-13
300,684.064,8.74559e-09,2.9968e-08,5.45849e-13
300,691.633,6.16269e-09,2.25468e-08,3.84639e-13
300,699.202,4.70511e-09,1.80973e-08,2.93666e-13
300,706.770,2.95957e-09,1.2334e-08,1.84719e-13
300,714.339,1.71137e-09,7.70857e-09,1.06814e-13
300,721.908,8.39303e-10,4.2232e-09,5.23844e-14
300,729.477,4.4758e-10,2.48677e-09,2.79354e-14
300,737.045,1.33294e-10,8.03797e-10,8.31945e-15
300,744.614,1.03423e-11,6.31177e-11,6.45509e-16
300,752.183,0,0,0
300,759.752,0,0,0
300,767.320,0,0,0
350,162.531,0,0,0
350,167.471,1.99811e-09,1.21941e-08,6.39331e-12
350,172.410,5.40046e-08,3.15328e-07,1.72798e-10
350,177.349,1.70321e-07,8.21753e-07,5.44975e-10
350,182.289,4.16287e-07,1.73487e-06,1.33199e-09
350,187.228,6.88155e-07,2.57994e-06,2.20188e-09
350,192.167,9.0203e-07,3.15507e-06,2.88621e-09
350,197.107,1.11119e-06,3.66715e-06,3.55546e-09
350,202.046,1.43411e-06,4.39882e-06,4.5887e-09
350,206.985,1.48066e-06,4.38594e-06,4.73765e-09
350,211.925,1.61395e-06,4.555e-06,5.16414e-09
350,216.864,1.57988e-06,4.32455e-06,5.05512e-09
350,221.803,1.62229e-06,4.24397e-06,5.1908e-09
350,226.743,1.50971e-06,3.83502e-06,4.83059e-09
350,231.682,1.36958e-06,3.3777e-06,4.38223e-09
350,236.621,1.13266e-06,2.75267e-06,3.62415e-09
350,241.561,9.67396e-07,2.28408e-06,3.09536e-09
350,246.500,7.47103e-07,1.73922e-06,2.39049e-09
350,251.439,5.50195e-07,1.26318e-06,1.76045e-09
350,256.379,3.79894e-07,8.60413e-07,1.21554e-09
350,261.318,2.38588e-07,5.33229e-07,7.63406e-10
350,266.257,1.27842e-07,2.82025e-07,4.09053e-10
350,271.197,4.84195e-08,1.05467e-07,1.54927e-10
350,276.136,3.3207e-10,7.14395e-10,1.06252e-12
350,281.075,0,0,0
350,286.015,0,0,0
350,290.954,3.08138e-08,6.5494e-08,9.85945e-11
350,295.893,8.45802e-08,1.79773e-07,2.7063e-10
350,300.833,1.59574e-07,3.35193e-07,5.10585e-10
350,305.772,2.3907e-07,5.02179e-07,7.64947e-10
350,310.711,3.23579e-07,6.79697e-07,1.03535e-09
350,315.651,4.09619e-07,8.60428e-07,1.31065e-09
350,320.590,4.94261e-07,1.03822e-06,1.58148e-09
350,325.529,5.75099e-07,1.20803e-06,1.84014e-09
350,330.468,6.50215e-07,1.36581e-06,2.08048e-09
350,335.408,6.81265e-07,1.44801e-06,2.17983e-09
350,340.347,7.37843e-07,1.56826e-06,2.36086e-09
350,345.286,7.85887e-07,1.67038e-06,2.51459e-09
350,350.226,7.81886e-07,1.6821e-06,2.50179e-09
350,355.165,8.1038e-07,1.7434e-06,2.59296e-09
350,360.104,7.86176e-07,1.71244e-06,2.51551e-09
350,365.044,7.9729e-07,1.73665e-06,2.55108e-09
350,369.983,7.57546e-07,1.67118e-06,2.42391e-09
350,374.922,7.12774e-07,1.593e-06,2.28065e-09
350,379.862,7.0409e-07,1.5736e-06,2.25286e-09
350,384.801,6.51397e-07,1.47534e-06,2.08427e-09
350,389.740,5.97628e-07,1.37208e-06,1.91222e-09
350,394.680,5.77594e-07,1.32609e-06,1.84812e-09
350,399.619,5.22152e-07,1.21554e-06,1.67072e-09
350,404.558,4.68435e-07,1.106e-06,1.49884e-09
350,409.498,4.17092e-07,9.99013e-07,1.33456e-09
350,414.437,3.68619e-07,8.95843e-07,1.17946e-09
350,419.376,3.23371e-07,7.97506e-07,1.03468e-09
350,424.316,2.81578e-07,7.04773e-07,9.0096e-10
350,429.255,2.43362e-07,6.18196e-07,7.7868e-10
350,434.194,2.08749e-07,5.38132e-07,6.67931e-10
350,439.134,1.77661e-07,4.64768e-07,5.68457e-10
350,444.073,1.49938e-07,3.98139e-07,4.79755e-10
350,449.012,1.25438e-07,3.38158e-07,4.01363e-10
350,453.952,1.03985e-07,2.84633e-07,3.32718e-10
350,458.891,8.53729e-08,2.37293e-07,2.73166e-10
350,463.830,6.93761e-08,1.95797e-07,2.21981e-10
350,468.770,5.13676e-08,1.49641e-07,1.6436e-10
350,473.709,4.06409e-08,1.20384e-07,1.30038e-10
350,478.648,3.17002e-08,9.55298e-08,1.01431e-10
350,483.588,2.43371e-08,7.46488e-08,7.78711e-11
350,488.527,1.83516e-08,5.7316e-08,5.87193e-11
350,493.466,1.22934e-08,3.98343e-08,3.93351e-11
350,498.406,8.83631e-09,2.91616e-08,2.82734e-11
350,503.345,6.16374e-09,2.07173e-08,1.9722e-11
350,508.284,4.13454e-09,1.41676e-08,1.32292e-11
350,513.224,2.33841e-09,8.35963e-09,7.48218e-12
350,518.163,1.37295e-09,5.02308e-09,4.39301e-12
350,523.102,7.12753e-10,2.67216e-09,2.28058e-12
350,528.042,2.47702e-10,9.78366e-10,7.92568e-13
350,532.981,2.78884e-11,1.13169e-10,8.92341e-14
350,537.920,0,0,0
350,542.860,0,0,0
350,547.799,0,0,0
350,552.738,0,0,0
350,557.677,0,0,0
350,562.617,0,0,0
350,567.556,9.46068e-12,5.52401e-11,3.02712e-14
350,572.495,1.59126e-11,9.56646e-11,5.09153e-14
350,577.435,9.9454e-12,6.0067e-11,3.18221e-14
