f,line_keV,branch,Ne_mean,sigma_Ne,P_in_ROI,contrib
0.0,67.3,0.8,1178.4509267941714,143.97614694071243,4.6141264685166255e-08,3.6913011748133004e-08
0.0,40.4,0.17,714.0378478997711,86.42847453796108,0.0002122385489957607,3.608055332927932e-05
0.0,36.5,0.03,655.2415324459272,78.0851316989005,0.0008220173283264119,2.4660519849792358e-05
0.0,total,1.0,,,6.077798619081981e-05,6.077798619081981e-05
0.1,67.3,0.8,1060.6058341147543,143.97614694071243,3.0514106533905653e-06,2.4411285227124523e-06
0.1,40.4,0.17,642.634063109794,86.42847453796108,0.003485585610607069,0.0005925495538032018
0.1,36.5,0.03,589.7173792013344,78.0851316989005,0.010476184034873978,0.00031428552104621933
0.1,total,1.0,,,0.0009092762033721337,0.0009092762033721337
0.2,67.3,0.8,942.7607414353372,143.97614694071243,0.00010599133109919955,8.479306487935964e-05
0.2,40.4,0.17,571.2302783198169,86.42847453796108,0.03059929886298052,0.005201880806706689
0.2,36.5,0.03,524.1932259567418,78.0851316989005,0.07082092920063143,0.0021246278760189427
0.2,total,1.0,,,0.007411301747604991,0.007411301747604991
0.3,67.3,0.8,824.91564875592,143.97614694071243,0.0019521822092958847,0.0015617457674367077
0.3,40.4,0.17,499.82649352983975,86.42847453796108,0.1478041907793637,0.02512671243249183
0.3,36.5,0.03,458.669072712149,78.0851316989005,0.26416186967462846,0.007924856090238854
0.3,total,1.0,,,0.03461331429016739,0.03461331429016739
