nuclide,half_life_d,half_life_readable,decay_modes,branching,progeny
Xe-125,0.7041666666666666,16.9 h,β+ & EC,1,I-125
I-125,59.4,59.400 d,EC,1,Te-125
Xe-127,36.4,36.4 d,EC,1,I-127
Xe-129m,8.88,8.88 d,IT,1,Xe-129
Xe-131m,11.84,11.84 d,IT,1,Xe-131
Xe-133,5.243,5.243 d,β-,1,Cs-133
Xe-133m,2.19,2.19 d,IT,1,Xe-133
Xe-135,0.38083333333333336,9.14 h,β-,1,Cs-135
Xe-135m,0.010618055555555556,15.29 m,IT; β-,0.994; 0.006,Xe-135; Cs-135
Xe-137,0.002651388888888889,3.818 m,β-,1,Cs-137
Cs-137,11018.29797162,30.1671 y,β-; β-,0.944; 0.056,Ba-137m; Ba-137
Kr-83m,0.07625,1.83 h,IT,1,Kr-83
