nuclide,local_deposit_keV,prob,vertex_12keV_possible,vertex_12keV_fraction,most_penetrating_gamma_keV,gamma_prob,P_gamma_20cm,P_gamma_20cm_assign,topologyA_factor,note
Xe-125,33.2,0.8,False,0.0,243.4,0.3,7.705263945805236e-07,0.002403154205131591,0.0,I K-shell vacancy (K capture)
Xe-125,4.9,0.17,False,0.0,243.4,0.3,7.705263945805236e-07,0.002403154205131591,0.0,I L-shell vacancy
Xe-125,55.0,0.068,False,0.0,243.4,0.3,7.705263945805236e-07,0.002403154205131591,0.0,"55.0 keV transition, mostly IC"
I-125,67.3,0.8,False,0.0,35.5,0.067,0.0,8.238768756238098e-125,0.0,K capture + 35.5 keV (IC 93%)
I-125,40.4,0.17,False,0.0,35.5,0.067,0.0,8.238768756238098e-125,0.0,L capture + 35.5
I-125,36.5,0.03,False,0.0,35.5,0.067,0.0,8.238768756238098e-125,0.0,M capture + 35.5
Xe-127,33.2,0.83,False,0.0,375.0,0.173,0.0010191330384112778,0.026347980814448734,0.0,I K-shell vacancy
Xe-127,4.9,0.14,False,0.0,375.0,0.173,0.0010191330384112778,0.026347980814448734,0.0,I L-shell vacancy
Xe-127,57.6,0.05,False,0.0,375.0,0.173,0.0010191330384112778,0.026347980814448734,0.0,"57.6 keV transition, mostly IC"
Xe-129m,236.1,0.88,False,0.0,196.6,0.046,3.8159509140724965e-10,7.68641412592177e-05,0.0,both steps IC
Xe-129m,196.6,0.075,False,0.0,196.6,0.046,3.8159509140724965e-10,7.68641412592177e-05,0.0,39.6 keV gamma escapes (mm)
Xe-129m,39.6,0.046,False,0.0,196.6,0.046,3.8159509140724965e-10,7.68641412592177e-05,0.0,196.6 keV gamma escapes
Xe-131m,163.9,0.98,False,0.0,163.9,0.0195,8.297495579946998e-15,2.037887265990319e-07,0.0,IC electron + Xe X-rays/Auger
Xe-133,beta,1.0,True,0.010437614999905531,81.0,0.38,9.271726913650402e-84,1.712747955823839e-34,3.6774392045399194e-86,beta 10-14 keV fraction 0.010; needs the gamma (if any) to reach a dead region >= 20 cm away
Xe-133,81.0,0.62,False,0.0,81.0,0.38,9.271726913650402e-84,1.712747955823839e-34,0.0,IC of 81 keV transition (+Cs K X-rays)
Xe-133m,233.2,0.9,False,0.0,233.2,0.1,2.178194838308603e-07,0.0013953502387716481,0.0,IC
Xe-135,beta,1.0,True,0.001784884501456447,608.2,0.029,0.0142535141426225,0.026347980814448734,7.377854180492582e-07,beta 10-14 keV fraction 0.002; needs the gamma (if any) to reach a dead region >= 20 cm away
Xe-135m,526.6,0.19,False,0.0,526.6,0.81,0.008742686838177846,0.026347980814448734,0.0,IC
Xe-137,beta,1.0,True,5.695392368006683e-05,455.5,0.31,0.004301930236823088,0.026347980814448734,7.595365997934812e-08,beta 10-14 keV fraction 0.000; needs the gamma (if any) to reach a dead region >= 20 cm away
Cs-137,beta,1.0,True,0.005274473713684792,661.7,0.85,0.018255466000224315,0.026347980814448734,8.184477921686216e-05,beta 10-14 keV fraction 0.005; needs the gamma (if any) to reach a dead region >= 20 cm away
Kr-83m,41.5,1.0,False,0.0,,0.0,0.0,0.0,0.0,two IC steps at the same site
