v_lab_kms,v_gal_antialigned_june,bound,delta_max_mono,delta_max_2sigma,delta_max_3sigma,delta_ceiling_muv2_over_2,delta_N_1em3_of_300,E_minus_380,E_plus_380,N_stream_300,N_stream_380,N_stream_400,N_stream_450
600,334.02,True,214.75,247.63,264.06,218.39,320.19,,,0.0035704,0,0,0
625,359.02,True,235.3,268.17,284.61,236.96,323.8,,,1.1789,5.2821e-13,0,0
650,384.02,True,255.84,288.72,305.15,256.3,328.46,,,112.18,6.2508e-09,1.2633e-12,0
675,409.02,True,276.39,309.26,325.7,276.39,334.89,,,3285.8,1.609e-05,1.2555e-08,0
700,434.02,True,296.94,329.81,346.25,297.25,343.86,,,32282,0.0096097,2.7822e-05,7.1749e-14
725,459.02,True,317.48,350.36,366.79,318.86,356.05,,,1.2432e+05,1.4301,0.014351,1.0764e-09
750,484.02,True,338.03,370.9,387.34,341.23,371.51,,,2.3927e+05,62.808,1.83,3.3538e-06
775,509.02,True,358.57,391.45,407.88,364.35,389.49,,,3.0301e+05,1113.2,66.816,0.002449
800,534.02,True,379.12,411.99,428.43,388.24,408.91,252.46,454.04,3.1975e+05,10017,973.21,0.43586
825,559.02,False,399.67,432.54,448.98,412.88,428.45,189.53,604.79,3.3909e+05,45917,7945.3,20.314
850,584.02,False,420.21,453.09,469.52,438.29,447.03,157.62,727.23,4.0635e+05,1.1541e+05,36530,296.23
875,609.02,False,440.76,473.63,490.07,464.45,464.29,136.14,841.94,5.4925e+05,1.9018e+05,95390,2107.1
900,634.02,False,461.3,494.18,510.61,491.37,480.51,120.17,953.85,7.7939e+05,2.416e+05,1.6479e+05,11031
925,659.02,False,481.85,514.72,531.16,519.04,496.26,107.63,1065,1.0962e+06,2.6371e+05,2.1918e+05,38423
950,684.02,False,502.4,535.27,551.71,547.48,,97.423,1176.6,1.4904e+06,2.6692e+05,2.4838e+05,86357
975,709.02,False,522.94,555.82,572.25,576.67,,88.918,1289.1,1.9507e+06,2.6755e+05,2.5678e+05,1.4123e+05
1000,734.02,False,543.49,576.36,592.8,606.63,,81.695,1403.1,2.4649e+06,2.8152e+05,2.5581e+05,1.8781e+05
