operator,halo,v_lab_kms,f_s,E_max_keV,R_lo,R_hi,N_lo_per_hi
O1,SHM (16 June),,0,1418.4,5.1064e+08,1.9873e+05,2569.5
O1,monochromatic stream,300,1,194.57,1.6307e+11,0,inf
O1,SHM + stream (sigma 20),300,0.01,280.18,5.1097e+08,1.9786e+05,2582.5
O1,SHM + stream (sigma 20),300,0.05,280.18,5.1229e+08,1.9437e+05,2635.6
O1,SHM + stream (sigma 20),300,0.2,280.18,5.1723e+08,1.8129e+05,2853
O1,monochromatic stream,500,1,540.48,1.6307e+11,1.3797e+08,1181.9
O1,SHM + stream (sigma 20),500,0.01,677.98,5.088e+08,1.995e+05,2550.3
O1,SHM + stream (sigma 20),500,0.05,677.98,5.0142e+08,2.0259e+05,2475
O1,SHM + stream (sigma 20),500,0.2,677.98,4.7374e+08,2.1418e+05,2211.9
O1,monochromatic stream,555,1,665.92,1.6307e+11,1.3797e+08,1181.9
O1,SHM + stream (sigma 20),555,0.01,817.69,5.0847e+08,1.9923e+05,2552.2
O1,SHM + stream (sigma 20),555,0.05,817.69,4.998e+08,2.0123e+05,2483.8
O1,SHM + stream (sigma 20),555,0.2,817.69,4.6728e+08,2.0871e+05,2238.9
O1,monochromatic stream,600,1,778.29,1.6307e+11,1.3797e+08,1181.9
O1,SHM + stream (sigma 20),600,0.01,941.73,5.0825e+08,1.9904e+05,2553.5
O1,SHM + stream (sigma 20),600,0.05,941.73,4.987e+08,2.0029e+05,2489.8
O1,SHM + stream (sigma 20),600,0.2,941.73,4.6287e+08,2.0498e+05,2258.1
O1,monochromatic stream,700,1,1059.3,1.6307e+11,1.3797e+08,1181.9
O1,SHM + stream (sigma 20),700,0.01,1248.7,5.0786e+08,1.9872e+05,2555.7
O1,SHM + stream (sigma 20),700,0.05,1248.7,4.9676e+08,1.9865e+05,2500.6
O1,SHM + stream (sigma 20),700,0.2,1248.7,4.551e+08,1.9841e+05,2293.8
