delta_keV,v_lab_kms,v_gal_antialigned_june,N_SHM,N_stream_pure,f_s_for_one_event,feasible
350,600,334,27.51,2.318e-11,0,True
350,625,359,27.51,1.564e-07,0,True
350,650,384,27.51,0.0002408,0,True
350,675,409,27.51,0.09044,0,True
350,700,434,27.51,9.496,0,True
350,725,459,27.51,346.6,0,True
350,750,484,27.51,5225,0,True
350,775,509,27.51,3.423e+04,0,True
350,800,534,27.51,1.073e+05,0,True
350,825,559,27.51,1.964e+05,0,True
350,850,584,27.51,2.576e+05,0,True
350,875,609,27.51,2.812e+05,0,True
350,900,634,27.51,2.844e+05,0,True
350,925,659,27.51,2.92e+05,0,True
350,950,684,27.51,3.256e+05,0,True
350,975,709,27.51,4.004e+05,0,True
350,1000,734,27.51,5.249e+05,0,True
365,600,334,3.318,1.436e-14,0,True
365,625,359,3.318,4.002e-10,0,True
365,650,384,3.318,1.671e-06,0,True
365,675,409,3.318,0.001605,0,True
365,700,434,3.318,0.379,0,True
365,725,459,3.318,25.6,0,True
365,750,484,3.318,643.4,0,True
365,775,509,3.318,7386,0,True
365,800,534,3.318,4.006e+04,0,True
365,825,559,3.318,1.117e+05,0,True
365,850,584,3.318,1.934e+05,0,True
365,875,609,3.318,2.494e+05,0,True
365,900,634,3.318,2.722e+05,0,True
365,925,659,3.318,2.752e+05,0,True
365,950,684,3.318,2.784e+05,0,True
365,975,709,3.318,3.005e+05,0,True
365,1000,734,3.318,3.555e+05,0,True
380,600,334,0.3131,0,inf,False
380,625,359,0.3131,5.282e-13,inf,False
380,650,384,0.3131,6.251e-09,inf,False
380,675,409,0.3131,1.609e-05,inf,False
380,700,434,0.3131,0.00961,inf,False
380,725,459,0.3131,1.43,0.6149,True
380,750,484,0.3131,62.81,0.01099,True
380,775,509,0.3131,1113,0.0006172,True
380,800,534,0.3131,1.002e+04,6.857e-05,True
380,825,559,0.3131,4.592e+04,1.496e-05,True
380,850,584,0.3131,1.154e+05,5.951e-06,True
380,875,609,0.3131,1.902e+05,3.612e-06,True
380,900,634,0.3131,2.416e+05,2.843e-06,True
380,925,659,0.3131,2.637e+05,2.605e-06,True
380,950,684,0.3131,2.669e+05,2.573e-06,True
380,975,709,0.3131,2.676e+05,2.567e-06,True
380,1000,734,0.3131,2.815e+05,2.44e-06,True
400,600,334,0.001398,0,inf,False
400,625,359,0.001398,0,inf,False
400,650,384,0.001398,1.263e-12,inf,False
400,675,409,0.001398,1.256e-08,inf,False
400,700,434,0.001398,2.782e-05,inf,False
400,725,459,0.001398,0.01435,77.1,False
400,750,484,0.001398,1.83,0.5461,True
400,775,509,0.001398,66.82,0.01495,True
400,800,534,0.001398,973.2,0.001026,True
400,825,559,0.001398,7945,0.0001257,True
400,850,584,0.001398,3.653e+04,2.734e-05,True
400,875,609,0.001398,9.539e+04,1.047e-05,True
400,900,634,0.001398,1.648e+05,6.06e-06,True
400,925,659,0.001398,2.192e+05,4.556e-06,True
400,950,684,0.001398,2.484e+05,4.02e-06,True
400,975,709,0.001398,2.568e+05,3.889e-06,True
400,1000,734,0.001398,2.558e+05,3.904e-06,True
450,600,334,0,0,inf,False
450,625,359,0,0,inf,False
450,650,384,0,0,inf,False
450,675,409,0,0,inf,False
450,700,434,0,7.175e-14,1.394e+13,False
450,725,459,0,1.076e-09,9.29e+08,False
450,750,484,0,3.354e-06,2.982e+05,False
450,775,509,0,0.002449,408.3,False
450,800,534,0,0.4359,2.294,False
450,825,559,0,20.31,0.04923,True
450,850,584,0,296.2,0.003376,True
450,875,609,0,2107,0.0004746,True
450,900,634,0,1.103e+04,9.065e-05,True
450,925,659,0,3.842e+04,2.603e-05,True
450,950,684,0,8.636e+04,1.158e-05,True
450,975,709,0,1.412e+05,7.08e-06,True
450,1000,734,0,1.878e+05,5.325e-06,True
