delta_keV,v_lab_kms,N_SHM,N_stream_pure,N_f0.01,N_f0.05,N_f0.2,boost_f0.01,boost_f0.05,boost_f0.2
300,600,1154.6,0.0035704,1143.1,1096.9,923.68,0.99,0.95,0.8
300,625,1154.6,1.1789,1143.1,1096.9,923.91,0.99001,0.95005,0.8002
300,650,1154.6,112.18,1144.2,1102.5,946.11,0.99097,0.95486,0.81943
300,675,1154.6,3285.8,1175.9,1261.2,1580.8,1.0185,1.0923,1.3692
300,700,1154.6,32282,1465.9,2711,7380.1,1.2696,2.348,6.3919
300,725,1154.6,1.2432e+05,2386.2,7312.8,25787,2.0667,6.3336,22.334
300,750,1154.6,2.3927e+05,3535.8,13061,48778,3.0624,11.312,42.247
300,775,1154.6,3.0301e+05,4173.2,16248,61527,3.6144,14.072,53.288
300,800,1154.6,3.1975e+05,4340.5,17084,64873,3.7593,14.797,56.187
300,825,1154.6,3.3909e+05,4533.9,18051,68741,3.9268,15.634,59.537
300,850,1154.6,4.0635e+05,5206.6,21414,82194,4.5094,18.547,71.188
300,875,1154.6,5.4925e+05,6635.5,28559,1.1077e+05,5.747,24.735,95.941
300,900,1154.6,7.7939e+05,8936.9,40066,1.568e+05,7.7403,34.701,135.81
300,925,1154.6,1.0962e+06,12105,55908,2.2017e+05,10.484,48.422,190.69
300,950,1154.6,1.4904e+06,16047,75615,2.9899e+05,13.898,65.49,258.96
300,975,1154.6,1.9507e+06,20650,98632,3.9106e+05,17.885,85.425,338.7
300,1000,1154.6,2.4649e+06,25792,1.2434e+05,4.939e+05,22.338,107.69,427.77
305,600,902.84,0.00070229,893.81,857.7,722.27,0.99,0.95,0.8
305,625,902.84,0.30109,893.81,857.71,722.33,0.99,0.95002,0.80007
305,650,902.84,37.304,894.18,859.56,729.73,0.99041,0.95207,0.80826
305,675,902.84,1435.1,908.16,929.45,1009.3,1.0059,1.0295,1.1179
305,700,902.84,18407,1077.9,1778.1,4403.7,1.1939,1.9694,4.8777
305,725,902.84,89360,1787.4,5325.7,18594,1.9798,5.8989,20.595
305,750,902.84,2.0382e+05,2932,11049,41486,3.2475,12.238,45.95
305,775,902.84,2.8551e+05,3748.9,15133,57824,4.1523,16.762,64.046
305,800,902.84,3.1248e+05,4018.6,16481,63217,4.451,18.255,70.021
305,825,902.84,3.2304e+05,4124.2,17010,65330,4.5681,18.84,72.361
305,850,902.84,3.6357e+05,4529.5,19036,73437,5.017,21.085,81.34
305,875,902.84,4.6663e+05,5560.1,24189,94047,6.1584,26.792,104.17
305,900,902.84,6.4882e+05,7382,33299,1.3049e+05,8.1764,36.882,144.53
305,925,902.84,9.1317e+05,10026,46516,1.8336e+05,11.104,51.522,203.09
305,950,902.84,1.2554e+06,13448,63630,2.5181e+05,14.895,70.477,278.91
305,975,902.84,1.6681e+06,17575,84263,3.3434e+05,19.466,93.331,370.32
305,1000,902.84,2.1399e+06,22292,1.0785e+05,4.287e+05,24.692,119.46,474.83
310,600,691.92,0.00012996,685,657.32,553.53,0.99,0.95,0.8
310,625,691.92,0.072576,685,657.32,553.55,0.99,0.95001,0.80002
310,650,691.92,11.61,685.11,657.9,555.86,0.99017,0.95084,0.80336
310,675,691.92,581.8,690.82,686.41,669.89,0.99841,0.99204,0.96817
310,700,691.92,9759.1,782.59,1145.3,2505.4,1.131,1.6552,3.6209
310,725,691.92,60429,1289.3,3678.8,12639,1.8634,5.3168,18.267
310,750,691.92,1.6622e+05,2347.2,8968.4,33798,3.3923,12.962,48.847
310,775,691.92,2.6238e+05,3308.8,13776,53030,4.7821,19.911,76.643
310,800,691.92,3.0401e+05,3725.1,15858,61356,5.3838,22.919,88.676
310,825,691.92,3.1354e+05,3820.4,16335,63262,5.5215,23.608,91.431
310,850,691.92,3.3524e+05,4037.4,17419,67601,5.8351,25.175,97.701
310,875,691.92,4.0515e+05,4736.5,20915,81583,6.8455,30.227,117.91
310,900,691.92,5.4491e+05,6134.1,27903,1.0954e+05,8.8654,40.327,158.31
310,925,691.92,7.6243e+05,8309.3,38779,1.5304e+05,12.009,56.046,221.18
310,950,691.92,1.0562e+06,11247,53469,2.118e+05,16.255,77.277,306.11
