direction,v_gal_kms,v_lab_mean_kms,v_lab_june16_kms,v_lab_min,v_lab_max,v_lab_semi_amplitude,peak_doy,orbital_projection_amplitude,delta_max_june16,delta_max_yearmax,N_mean_d350,N_june16_d350,frac_year_nonzero_d350,mod_amp_d350,peak_doy_d350,N_mean_d380,N_june16_d380,frac_year_nonzero_d380,mod_amp_d380,peak_doy_d380
"anti-aligned (retrograde, -v_sun)",400,650.6,665.2,636.5,665.7,14.61,151,14.62,268.3,268.7,0.002618,0.0104,1,0.9991,151,1.986e-07,8.831e-07,1,0.9999,151
"anti-aligned (retrograde, -v_sun)",500,750.6,765.1,736.4,765.6,14.61,151,14.62,350.5,350.9,7851,1.795e+04,1,0.8668,151,138.8,390.4,1,0.9564,151
"anti-aligned (retrograde, -v_sun)",544,794.6,809.1,780.4,809.6,14.61,151,14.62,386.6,387,9.22e+04,1.407e+05,1,0.5096,151,8751,1.886e+04,1,0.8233,151
"anti-aligned (retrograde, -v_sun)",600,850.6,865.1,836.3,865.6,14.61,151,14.62,432.6,433,2.558e+05,2.756e+05,1,0.09289,151,1.188e+05,1.622e+05,1,0.3749,151
"aligned (prograde, +v_sun)",400,149.4,137.8,137.3,166.1,14.4,334,14.62,-165.1,-141.8,0,0,0,,,0,0,0,,
"aligned (prograde, +v_sun)",500,249.4,236.8,236.3,265.3,14.54,334,14.62,-83.76,-60.29,0,0,0,,,0,0,0,,
"aligned (prograde, +v_sun)",544,293.4,280.5,280,309.2,14.56,334,14.62,-47.79,-24.27,0,0,0,,,0,0,0,,
"aligned (prograde, +v_sun)",600,349.4,336.3,335.8,365,14.58,334,14.62,-1.932,21.61,0,0,0,,,0,0,0,,
"perpendicular, vertical (+z)",400,465.8,495.5,436,495.5,29.76,166,25.84,128.9,128.9,0,0,0,,,0,0,0,,
"perpendicular, vertical (+z)",500,552.7,582.4,523,582.4,29.74,166,25.84,200.3,200.3,5.874e-16,7.021e-15,0.123,1,181,0,0,0,,
"perpendicular, vertical (+z)",544,592.3,621.9,562.6,621.9,29.67,166,25.84,232.8,232.8,7.531e-09,5.757e-08,0.582,1,166,1.664e-14,1.475e-13,0.2623,1,163
"perpendicular, vertical (+z)",600,643.4,673,613.9,673,29.56,166,25.84,274.8,274.8,0.0096,0.05926,0.7623,1,166,1.27e-06,9.091e-06,0.6311,1,166
"perpendicular, radial (+x, toward GC)",400,462.5,470.9,438,487.5,24.76,241,29.65,108.6,122.3,0,0,0,,,0,0,0,,
"perpendicular, radial (+x, toward GC)",500,549.3,556.3,523.4,575.5,26.04,244,29.65,178.8,194.6,0,0,0,,,0,0,0,,
"perpendicular, radial (+x, toward GC)",544,588.8,595.3,562.5,615.4,26.44,244,29.65,210.9,227.4,8.448e-10,3.77e-12,0.5902,1,244,1.552e-16,0,0.1475,1,253
"perpendicular, radial (+x, toward GC)",600,639.9,645.9,613.1,666.9,26.87,247,29.65,252.5,269.7,0.002528,8.031e-05,0.8115,1,247,2.114e-07,1.508e-09,0.6639,1,247
"perpendicular, in ecliptic plane",400,472,473.9,445.8,498.6,26.39,79,29.79,111.2,131.4,0,0,0,,,0,0,0,,
"perpendicular, in ecliptic plane",500,559.3,559.5,532,586.8,27.41,76,29.79,181.5,203.9,1.281e-14,0,0.2295,1,73,0,0,0,,
"perpendicular, in ecliptic plane",544,598.9,598.6,571.3,626.8,27.74,73,29.79,213.6,236.7,3.785e-08,1.365e-11,0.6311,1,73,1.333e-13,0,0.3443,1,73
"perpendicular, in ecliptic plane",600,650.2,649.3,622.2,678.3,28.05,73,29.79,255.2,279.1,0.03086,0.0001986,0.8525,1,73,6.03e-06,4.868e-09,0.6721,1,73
